# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11542947
# start_time: 1523442194
# start_time_asci: Wed Apr 11 03:23:14 2018
# end_time: 1523442204
# end_time_asci: Wed Apr 11 03:23:24 2018
# nprocs: 512
# run time: 11
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 39979 bytes (compressed), ver=3
# MPI-IO module: 60171 bytes (compressed), ver=2
# LUSTRE module: 160308 bytes (compressed), ver=1
# STDIO module: 37796 bytes (compressed), ver=1
# DXT_POSIX module: 52351 bytes (compressed), ver=1
# DXT_MPIIO module: 58126 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_rUho_P_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00494
# DXT, write_count: 69, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 95 43 27 191 1 163 51 15 153 187 55 151 239 79 25 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      3.1141      3.1146  [ 95]
 X_POSIX       0  write        1           34368         4000      3.1233      3.1234  [ 95]
 X_POSIX       0  write        2      1886632416         8008      3.1504      3.1509  [ 60]
 X_POSIX       0  write        3           40416     33514016      3.2950      3.3543  [ 95]
 X_POSIX       0  write        4      1886642472       465500      3.3798      3.4520  [ 60]
 X_POSIX       0  write        5      1887107972        66500      3.4520      3.4521  [ 60]
 X_POSIX       0  write        6      8401978568       133008      3.4537      3.4543  [154]
 X_POSIX       0  write        7      4294967296     33554432      3.6185      3.7252  [ 95]
 X_POSIX       0  write        8      8402111576      4795000      3.9199      3.9783  [154]
 X_POSIX       0  write        9      8406906576       685000      3.9784      3.9792  [154]
 X_POSIX       0  write       10    114734217624      1370008      3.9920      4.0213  [ 96]
 X_POSIX       0  write       11      8589934592     33554432      4.4298      4.5336  [ 95]
 X_POSIX       0  write       12     12884901888     33554432      4.7174      4.8081  [ 95]
 X_POSIX       0  write       13     17179869184     33554432      4.8689      4.9577  [ 95]
 X_POSIX       0  write       14     21474836480     33554432      5.0953      5.1957  [ 95]
 X_POSIX       0  write       15     25769803776     33554432      5.2936      5.3841  [ 95]
 X_POSIX       0  write       16     30064771072     33554432      5.5045      5.5922  [ 95]
 X_POSIX       0  write       17     34359738368     33554432      5.6649      5.7265  [ 95]
 X_POSIX       0  write       18     38654705664     33554432      5.9917      6.0317  [ 95]
 X_POSIX       0  write       19     42949672960     33554432      6.1418      6.2378  [ 95]
 X_POSIX       0  write       20     47244640256     33554432      6.3465      6.4455  [ 95]
 X_POSIX       0  write       21     51539607552     33554432      6.4748      6.5181  [ 95]
 X_POSIX       0  write       22     55834574848     33554432      6.6786      6.7648  [ 95]
 X_POSIX       0  write       23     60129542144     33554432      6.7765      6.8474  [ 95]
 X_POSIX       0  write       24     64424509440     33554432      7.0025      7.0460  [ 95]
 X_POSIX       0  write       25     68719476736     33554432      7.3042      7.3474  [ 95]
 X_POSIX       0  write       26     73014444032     33554432      7.4275      7.4885  [ 95]
 X_POSIX       0  write       27     77309411328     33554432      7.7483      7.8255  [ 95]
 X_POSIX       0  write       28     81604378624     33554432      7.8809      7.9452  [ 95]
 X_POSIX       0  write       29     85899345920     33554432      8.0721      8.1261  [ 95]
 X_POSIX       0  write       30     90194313216     33554432      8.2678      8.3110  [ 95]
 X_POSIX       0  write       31     94489280512     33554432      8.5763      8.6337  [ 95]
 X_POSIX       0  write       32     98784247808     33554432      8.8658      8.9243  [ 95]
 X_POSIX       0  write       33    103079215104     33554432      9.1127      9.1721  [ 95]
 X_POSIX       0  write       34    107374182400     33554432      9.4603      9.5143  [ 95]
 X_POSIX       0  write       35    111669149696     33554432      9.6254      9.6846  [ 95]
 X_POSIX       0  write       36               0           96      9.8888      9.8892  [ 95]
 X_POSIX       0  write       37              96           40      9.8892      9.8892  [ 95]
 X_POSIX       0  write       38             136          544      9.8892      9.8893  [ 95]
 X_POSIX       0  write       39             680          120      9.8893      9.8893  [ 95]
 X_POSIX       0  write       40             800           40      9.8893      9.8893  [ 95]
 X_POSIX       0  write       41             840          544      9.8893      9.8893  [ 95]
 X_POSIX       0  write       42            1384          120      9.8893      9.8894  [ 95]
 X_POSIX       0  write       43            1504          328      9.8894      9.8894  [ 95]
 X_POSIX       0  write       44            1832          160      9.8894      9.8894  [ 95]
 X_POSIX       0  write       45            1992          560      9.8894      9.8895  [ 95]
 X_POSIX       0  write       46            2552           40      9.8895      9.8895  [ 95]
 X_POSIX       0  write       47            2592          544      9.8895      9.8895  [ 95]
 X_POSIX       0  write       48            3136           32      9.8895      9.8895  [ 95]
 X_POSIX       0  write       49            3168           40      9.8895      9.8895  [ 95]
 X_POSIX       0  write       50            3208           48      9.8895      9.8896  [ 95]
 X_POSIX       0  write       51            3256          672      9.8896      9.8896  [ 95]
 X_POSIX       0  write       52            3928          392      9.8896      9.9264  [ 95]
 X_POSIX       0  write       53           32320           80      9.9264      9.9264  [ 95]
 X_POSIX       0  write       54           32400          328      9.9264      9.9264  [ 95]
 X_POSIX       0  write       55           32728          272      9.9264      9.9265  [ 95]
 X_POSIX       0  write       56           33000           40      9.9265      9.9265  [ 95]
 X_POSIX       0  write       57           33040          544      9.9265      9.9265  [ 95]
 X_POSIX       0  write       58           33584          120      9.9265      9.9265  [ 95]
 X_POSIX       0  write       59           33704          632      9.9265      9.9266  [ 95]
 X_POSIX       0  write       60           38368          272      9.9266      9.9266  [ 95]
 X_POSIX       0  write       61           38640          272      9.9266      9.9266  [ 95]
 X_POSIX       0  write       62           38912          176      9.9266      9.9266  [ 95]
 X_POSIX       0  write       63           39088          544      9.9266      9.9267  [ 95]
 X_POSIX       0  write       64           39632           32      9.9267      9.9267  [ 95]
 X_POSIX       0  write       65           39664           88      9.9267      9.9267  [ 95]
 X_POSIX       0  write       66           39752          280      9.9267      9.9267  [ 95]
 X_POSIX       0  write       67           40032          376      9.9267      9.9268  [ 95]
 X_POSIX       0  write       68               0           96      9.9446      9.9447  [ 95]

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 1, hostname: nid00494
# DXT, write_count: 27, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 95 43 27 191 1 163 51 15 153 187 55 151 239 79 25 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
