# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11543437
# start_time: 1523445369
# start_time_asci: Wed Apr 11 04:16:09 2018
# end_time: 1523445391
# end_time_asci: Wed Apr 11 04:16:31 2018
# nprocs: 512
# run time: 23
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 40068 bytes (compressed), ver=3
# MPI-IO module: 59019 bytes (compressed), ver=2
# LUSTRE module: 161349 bytes (compressed), ver=1
# STDIO module: 37852 bytes (compressed), ver=1
# DXT_POSIX module: 79967 bytes (compressed), ver=1
# DXT_MPIIO module: 59680 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_VwlA01_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01207
# DXT, write_count: 89, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 101 109 75 23 99 117 167 49 185 115 7 135 3 57 95 43 27 191 1 163 51 15 153 187 55 151 239 79 25 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      7.5563      7.5570  [225]
 X_POSIX       0  write        1           54752         6912      7.5833      7.5834  [225]
 X_POSIX       0  write        2      3260094688        13832      7.5838      7.5843  [204]
 X_POSIX       0  write        3           63712     33490720      8.5173      8.6042  [225]
 X_POSIX       0  write        4      3260110568       804384      8.6811      8.7424  [204]
 X_POSIX       0  write        5      3260914952       114912      8.7424      8.7426  [204]
 X_POSIX       0  write        6     14518608360       229832      8.7450      8.7453  [153]
 X_POSIX       0  write        7      4294967296     33554432      9.0862      9.1381  [225]
 X_POSIX       0  write        8      8589934592     33554432      9.3903      9.4400  [225]
 X_POSIX       0  write        9     12884901888     33554432      9.5781      9.6438  [225]
 X_POSIX       0  write       10     14518838192      8285760      9.7093      9.7213  [153]
 X_POSIX       0  write       11     14527123952      1183680      9.7214      9.7232  [153]
 X_POSIX       0  write       12    198260715952      2367368      9.7450      9.8069  [ 33]
 X_POSIX       0  write       13     17179869184     33554432     10.3640     10.4443  [225]
 X_POSIX       0  write       14     21474836480     33554432     10.5693     10.6502  [225]
 X_POSIX       0  write       15     25769803776     33554432     10.8318     10.8829  [225]
 X_POSIX       0  write       16     30064771072     33554432     10.9994     11.0752  [225]
 X_POSIX       0  write       17     34359738368     33554432     11.1894     11.2851  [225]
 X_POSIX       0  write       18     38654705664     33554432     11.3844     11.5076  [225]
 X_POSIX       0  write       19     42949672960     33554432     11.5971     11.6870  [225]
 X_POSIX       0  write       20     47244640256     33554432     11.7702     11.9023  [225]
 X_POSIX       0  write       21     51539607552     33554432     12.0345     12.1128  [225]
 X_POSIX       0  write       22     55834574848     33554432     12.1929     12.3169  [225]
 X_POSIX       0  write       23     60129542144     33554432     12.4081     12.5187  [225]
 X_POSIX       0  write       24     64424509440     33554432     12.5926     12.6792  [225]
 X_POSIX       0  write       25     68719476736     33554432     12.7687     12.8372  [225]
 X_POSIX       0  write       26     73014444032     33554432     12.9003     12.9445  [225]
 X_POSIX       0  write       27     77309411328     33554432     13.1402     13.2145  [225]
 X_POSIX       0  write       28     81604378624     33554432     13.2914     13.3736  [225]
 X_POSIX       0  write       29     85899345920     33554432     13.5086     13.5874  [225]
 X_POSIX       0  write       30     90194313216     33554432     13.7058     13.7784  [225]
 X_POSIX       0  write       31     94489280512     33554432     13.8956     13.9838  [225]
 X_POSIX       0  write       32     98784247808     33554432     14.1134     14.1983  [225]
 X_POSIX       0  write       33    103079215104     33554432     14.3130     14.4030  [225]
 X_POSIX       0  write       34    107374182400     33554432     14.4591     14.5413  [225]
 X_POSIX       0  write       35    111669149696     33554432     14.7062     14.7660  [225]
 X_POSIX       0  write       36    115964116992     33554432     14.8352     14.8866  [225]
 X_POSIX       0  write       37    120259084288     33554432     15.0792     15.1622  [225]
 X_POSIX       0  write       38    124554051584     33554432     15.3426     15.4151  [225]
 X_POSIX       0  write       39    128849018880     33554432     15.5703     15.6565  [225]
 X_POSIX       0  write       40    133143986176     33554432     15.7567     15.8358  [225]
 X_POSIX       0  write       41    137438953472     33554432     15.8966     15.9560  [225]
 X_POSIX       0  write       42    141733920768     33554432     16.0174     16.0785  [225]
 X_POSIX       0  write       43    146028888064     33554432     16.3006     16.3663  [225]
 X_POSIX       0  write       44    150323855360     33554432     16.4600     16.5122  [225]
 X_POSIX       0  write       45    154618822656     33554432     16.8356     16.9169  [225]
 X_POSIX       0  write       46    158913789952     33554432     17.0738     17.1375  [225]
 X_POSIX       0  write       47    163208757248     33554432     17.2151     17.2856  [225]
 X_POSIX       0  write       48    167503724544     33554432     17.3062     17.3552  [225]
 X_POSIX       0  write       49    171798691840     33554432     17.4977     17.5457  [225]
 X_POSIX       0  write       50    176093659136     33554432     17.9487     18.0120  [225]
 X_POSIX       0  write       51    180388626432     33554432     18.0989     18.1924  [225]
 X_POSIX       0  write       52    184683593728     33554432     18.3339     18.4046  [225]
 X_POSIX       0  write       53    188978561024     33554432     18.8552     18.9234  [225]
 X_POSIX       0  write       54    193273528320     33554432     19.0177     19.0670  [225]
 X_POSIX       0  write       55    197568495616     33554432     19.2637     19.3191  [225]
 X_POSIX       0  write       56               0           96     20.4710     20.4716  [225]
 X_POSIX       0  write       57              96           40     20.4716     20.4717  [225]
 X_POSIX       0  write       58             136          544     20.4717     20.4717  [225]
 X_POSIX       0  write       59             680          120     20.4717     20.4717  [225]
 X_POSIX       0  write       60             800           40     20.4717     20.4717  [225]
 X_POSIX       0  write       61             840          544     20.4717     20.4718  [225]
 X_POSIX       0  write       62            1384          120     20.4718     20.4718  [225]
 X_POSIX       0  write       63            1504          328     20.4718     20.4718  [225]
 X_POSIX       0  write       64            1832          160     20.4718     20.4718  [225]
 X_POSIX       0  write       65            1992          560     20.4718     20.4719  [225]
 X_POSIX       0  write       66            2552           40     20.4719     20.4719  [225]
 X_POSIX       0  write       67            2592          544     20.4719     20.4719  [225]
 X_POSIX       0  write       68            3136           32     20.4719     20.4719  [225]
 X_POSIX       0  write       69            3168           40     20.4719     20.4719  [225]
 X_POSIX       0  write       70            3208           48     20.4719     20.4720  [225]
 X_POSIX       0  write       71            3256          672     20.4720     20.4720  [225]
 X_POSIX       0  write       72            3928          392     20.4720     20.5155  [225]
 X_POSIX       0  write       73           52704           80     20.5155     20.5155  [225]
 X_POSIX       0  write       74           52784          328     20.5155     20.5155  [225]
 X_POSIX       0  write       75           53112          272     20.5155     20.5156  [225]
 X_POSIX       0  write       76           53384           40     20.5156     20.5156  [225]
 X_POSIX       0  write       77           53424          544     20.5156     20.5156  [225]
 X_POSIX       0  write       78           53968          120     20.5156     20.5156  [225]
 X_POSIX       0  write       79           54088          632     20.5156     20.5157  [225]
 X_POSIX       0  write       80           61664          272     20.5157     20.5157  [225]
 X_POSIX       0  write       81           61936          272     20.5157     20.5157  [225]
 X_POSIX       0  write       82           62208          176     20.5157     20.5157  [225]
 X_POSIX       0  write       83           62384          544     20.5157     20.5158  [225]
 X_POSIX       0  write       84           62928           32     20.5158     20.5158  [225]
 X_POSIX       0  write       85           62960           88     20.5158     20.5158  [225]
 X_POSIX       0  write       86           63048          280     20.5158     20.5158  [225]
 X_POSIX       0  write       87           63328          376     20.5158     20.5159  [225]
 X_POSIX       0  write       88               0           96     20.7342     20.7343  [225]

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 1, hostname: nid01207
# DXT, write_count: 47, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 101 109 75 23 99 117 167 49 185 115 7 135 3 57 95 43 27 191 1 163 51 15 153 187 55 151 239 79 25 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       1  write        0       536870912     33554432      8.5167      8.6039  [103]
 X_POSIX       1  write        1      4831838208     33554432      9.1113      9.1854  [103]
 X_POSIX       1  write        2      9126805504     33554432      9.3434      9.3890  [103]
 X_POSIX       1  write        3     13421772800     33554432      9.5781      9.6438  [103]
 X_POSIX       1  write        4     17716740096     33554432     10.3763     10.4713  [103]
 X_POSIX       1  write        5     22011707392     33554432     10.5690     10.6491  [103]
 X_POSIX       1  write        6     26306674688     33554432     10.7840     10.8352  [103]
 X_POSIX       1  write        7     30601641984     33554432     11.0004     11.0763  [103]
 X_POSIX       1  write        8     34896609280     33554432     11.1906     11.2864  [103]
 X_POSIX       1  write        9     39191576576     33554432     11.3863     11.5083  [103]
 X_POSIX       1  write       10     43486543872     33554432     11.6021     11.6879  [103]
 X_POSIX       1  write       11     47781511168     33554432     11.7695     11.9002  [103]
 X_POSIX       1  write       12     52076478464     33554432     11.9276     11.9682  [103]
 X_POSIX       1  write       13     56371445760     33554432     12.1999     12.3226  [103]
 X_POSIX       1  write       14     60666413056     33554432     12.4127     12.5235  [103]
 X_POSIX       1  write       15     64961380352     33554432     12.5633     12.6120  [103]
