# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11543440
# start_time: 1523446545
# start_time_asci: Wed Apr 11 04:35:45 2018
# end_time: 1523446575
# end_time_asci: Wed Apr 11 04:36:15 2018
# nprocs: 512
# run time: 31
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 565 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 40104 bytes (compressed), ver=3
# MPI-IO module: 59287 bytes (compressed), ver=2
# LUSTRE module: 174114 bytes (compressed), ver=1
# STDIO module: 37627 bytes (compressed), ver=1
# DXT_POSIX module: 117976 bytes (compressed), ver=1
# DXT_MPIIO module: 58730 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_7oK6dO_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00484
# DXT, write_count: 116, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832     11.6666     11.6672  [ 47]
 X_POSIX       0  write        1           83200        10976     11.6717     11.6717  [ 47]
 X_POSIX       0  write        2      5176904672        21960     11.7089     11.7093  [234]
 X_POSIX       0  write        3           96224     33458208     12.0654     12.1715  [ 47]
 X_POSIX       0  write        4      4294967296     33554432     12.1931     12.2375  [ 47]
 X_POSIX       0  write        5      5176928680      1277332     12.2514     12.3320  [234]
 X_POSIX       0  write        6      5178206012       182476     12.3321     12.3324  [234]
 X_POSIX       0  write        7     23055003784       364960     12.3359     12.3560  [214]
 X_POSIX       0  write        8      8589934592     33554432     12.5605     12.6426  [ 47]
 X_POSIX       0  write        9     12884901888     33554432     12.7562     12.8456  [ 47]
 X_POSIX       0  write       10     17179869184     33554432     12.8613     12.9266  [ 47]
 X_POSIX       0  write       11     21474836480     33554432     13.0799     13.1405  [ 47]
 X_POSIX       0  write       12     23055368744     13157480     13.4288     13.5985  [214]
 X_POSIX       0  write       13     23068526224      1879640     13.5986     13.6009  [214]
 X_POSIX       0  write       14    314830664168      3759288     13.6349     13.7181  [240]
 X_POSIX       0  write       15     25769803776     33554432     14.4736     14.5714  [ 47]
 X_POSIX       0  write       16     30064771072     33554432     14.6791     14.7807  [ 47]
 X_POSIX       0  write       17     34359738368     33554432     14.8617     14.9698  [ 47]
 X_POSIX       0  write       18     38654705664     33554432     15.0612     15.1882  [ 47]
 X_POSIX       0  write       19     42949672960     33554432     15.2571     15.3999  [ 47]
 X_POSIX       0  write       20     47244640256     33554432     15.5408     15.6349  [ 47]
 X_POSIX       0  write       21     51539607552     33554432     15.7638     15.8699  [ 47]
 X_POSIX       0  write       22     55834574848     33554432     15.9561     16.0494  [ 47]
 X_POSIX       0  write       23     60129542144     33554432     16.1597     16.2470  [ 47]
 X_POSIX       0  write       24     64424509440     33554432     16.3350     16.4446  [ 47]
 X_POSIX       0  write       25     68719476736     33554432     16.5064     16.5742  [ 47]
 X_POSIX       0  write       26     73014444032     33554432     17.2001     17.2409  [ 47]
 X_POSIX       0  write       27     77309411328     33554432     17.2600     17.3296  [ 47]
 X_POSIX       0  write       28     81604378624     33554432     17.4470     17.5199  [ 47]
 X_POSIX       0  write       29     85899345920     33554432     17.6564     17.7972  [ 47]
 X_POSIX       0  write       30     90194313216     33554432     17.9037     17.9856  [ 47]
 X_POSIX       0  write       31     94489280512     33554432     18.0829     18.1249  [ 47]
 X_POSIX       0  write       32     98784247808     33554432     18.3400     18.3871  [ 47]
 X_POSIX       0  write       33    103079215104     33554432     18.4972     18.5460  [ 47]
 X_POSIX       0  write       34    107374182400     33554432     18.6923     18.7749  [ 47]
 X_POSIX       0  write       35    111669149696     33554432     18.9363     19.0245  [ 47]
 X_POSIX       0  write       36    115964116992     33554432     19.1483     19.2379  [ 47]
 X_POSIX       0  write       37    120259084288     33554432     19.3535     19.4656  [ 47]
 X_POSIX       0  write       38    124554051584     33554432     19.5567     19.6965  [ 47]
 X_POSIX       0  write       39    128849018880     33554432     19.8171     19.9220  [ 47]
 X_POSIX       0  write       40    133143986176     33554432     20.0949     20.1805  [ 47]
 X_POSIX       0  write       41    137438953472     33554432     20.2821     20.4009  [ 47]
 X_POSIX       0  write       42    141733920768     33554432     20.4646     20.5663  [ 47]
 X_POSIX       0  write       43    146028888064     33554432     20.6903     20.7455  [ 47]
 X_POSIX       0  write       44    150323855360     33554432     20.8752     20.9501  [ 47]
 X_POSIX       0  write       45    154618822656     33554432     21.1377     21.1853  [ 47]
 X_POSIX       0  write       46    158913789952     33554432     21.5622     21.6313  [ 47]
 X_POSIX       0  write       47    163208757248     33554432     21.6743     21.7273  [ 47]
 X_POSIX       0  write       48    167503724544     33554432     22.1185     22.1654  [ 47]
