# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11542946
# start_time: 1523441904
# start_time_asci: Wed Apr 11 03:18:24 2018
# end_time: 1523441940
# end_time_asci: Wed Apr 11 03:19:00 2018
# nprocs: 128
# run time: 37
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 274 bytes (compressed)
# POSIX module: 15812 bytes (compressed), ver=3
# MPI-IO module: 14949 bytes (compressed), ver=2
# LUSTRE module: 39984 bytes (compressed), ver=1
# STDIO module: 9569 bytes (compressed), ver=1
# DXT_POSIX module: 53032 bytes (compressed), ver=1
# DXT_MPIIO module: 14919 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_h07uHi_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01373
# DXT, write_count: 69, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 117 167 49 185 115 7 135 3 57 95 43 27 191 1 163 51 15 153 187 55 151 239 79 25 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      8.0940      8.0949  [117]
 X_POSIX       0  write        1           34368         4000      8.0981      8.0981  [117]
 X_POSIX       0  write        2      1886632416         8008      8.1401      8.1406  [226]
 X_POSIX       0  write        3           40416     33514016      8.3787      8.5760  [117]
 X_POSIX       0  write        4      1886642472       465500      8.5989      8.5997  [226]
 X_POSIX       0  write        5      1887107972        66500      8.5998      8.6000  [226]
 X_POSIX       0  write        6      8401978568       133008      8.6012      8.6018  [202]
 X_POSIX       0  write        7      4294967296     33554432      8.8668      9.3704  [117]
 X_POSIX       0  write        8      8402111576      4795000     10.1938     10.2725  [202]
 X_POSIX       0  write        9      8406906576       685000     10.2725     10.2735  [202]
 X_POSIX       0  write       10    114734217624      1370008     10.2859     10.3388  [ 68]
 X_POSIX       0  write       11      8589934592     33554432     11.1577     11.9219  [117]
 X_POSIX       0  write       12     12884901888     33554432     12.0963     12.7935  [117]
 X_POSIX       0  write       13     17179869184     33554432     12.9695     13.5196  [117]
 X_POSIX       0  write       14     21474836480     33554432     13.8408     14.4082  [117]
 X_POSIX       0  write       15     25769803776     33554432     14.7574     15.4044  [117]
 X_POSIX       0  write       16     30064771072     33554432     15.5985     15.8504  [117]
 X_POSIX       0  write       17     34359738368     33554432     16.5915     17.2705  [117]
 X_POSIX       0  write       18     38654705664     33554432     17.4870     18.1465  [117]
 X_POSIX       0  write       19     42949672960     33554432     18.2433     18.6111  [117]
 X_POSIX       0  write       20     47244640256     33554432     19.2713     19.9201  [117]
 X_POSIX       0  write       21     51539607552     33554432     20.1349     20.8232  [117]
 X_POSIX       0  write       22     55834574848     33554432     20.9947     21.4918  [117]
 X_POSIX       0  write       23     60129542144     33554432     21.9595     22.5668  [117]
 X_POSIX       0  write       24     64424509440     33554432     22.8828     23.6238  [117]
 X_POSIX       0  write       25     68719476736     33554432     23.7716     24.4285  [117]
 X_POSIX       0  write       26     73014444032     33554432     24.6927     25.3612  [117]
 X_POSIX       0  write       27     77309411328     33554432     25.5758     26.3059  [117]
 X_POSIX       0  write       28     81604378624     33554432     26.4826     27.1774  [117]
 X_POSIX       0  write       29     85899345920     33554432     27.3387     27.4908  [117]
 X_POSIX       0  write       30     90194313216     33554432     28.3158     29.0691  [117]
 X_POSIX       0  write       31     94489280512     33554432     29.3538     30.1243  [117]
 X_POSIX       0  write       32     98784247808     33554432     30.2559     30.9479  [117]
 X_POSIX       0  write       33    103079215104     33554432     31.2397     31.8954  [117]
 X_POSIX       0  write       34    107374182400     33554432     32.1889     32.8931  [117]
 X_POSIX       0  write       35    111669149696     33554432     33.0354     33.5210  [117]
 X_POSIX       0  write       36               0           96     34.6585     34.6590  [117]
 X_POSIX       0  write       37              96           40     34.6590     34.6590  [117]
 X_POSIX       0  write       38             136          544     34.6590     34.6591  [117]
 X_POSIX       0  write       39             680          120     34.6591     34.6591  [117]
 X_POSIX       0  write       40             800           40     34.6591     34.6592  [117]
 X_POSIX       0  write       41             840          544     34.6592     34.6592  [117]
 X_POSIX       0  write       42            1384          120     34.6592     34.6592  [117]
 X_POSIX       0  write       43            1504          328     34.6592     34.6593  [117]
 X_POSIX       0  write       44            1832          160     34.6593     34.6593  [117]
 X_POSIX       0  write       45            1992          560     34.6593     34.6594  [117]
 X_POSIX       0  write       46            2552           40     34.6594     34.6594  [117]
 X_POSIX       0  write       47            2592          544     34.6594     34.6594  [117]
 X_POSIX       0  write       48            3136           32     34.6594     34.6595  [117]
 X_POSIX       0  write       49            3168           40     34.6595     34.6595  [117]
 X_POSIX       0  write       50            3208           48     34.6595     34.6596  [117]
 X_POSIX       0  write       51            3256          672     34.6596     34.6596  [117]
 X_POSIX       0  write       52            3928          392     34.6596     34.7028  [117]
 X_POSIX       0  write       53           32320           80     34.7028     34.7029  [117]
