# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11543439
# start_time: 1523447657
# start_time_asci: Wed Apr 11 04:54:17 2018
# end_time: 1523447669
# end_time_asci: Wed Apr 11 04:54:29 2018
# nprocs: 2048
# run time: 13
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 562 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 138965 bytes (compressed), ver=3
# MPI-IO module: 231223 bytes (compressed), ver=2
# LUSTRE module: 641758 bytes (compressed), ver=1
# STDIO module: 151926 bytes (compressed), ver=1
# DXT_POSIX module: 78995 bytes (compressed), ver=1
# DXT_MPIIO module: 245373 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_our8iT_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00521
# DXT, write_count: 89, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 149 211 169 235 145 201 81 157 21 97 165 175 179 143 161 31 53 41 181 231 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 93 101 109 75 23 99 117 167 49 185 115 7 135 3 57 95 43 27 191 1 163 51 15 153 187 55 151 239 79 25 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      4.6609      4.6615  [149]
 X_POSIX       0  write        1           54752         6912      4.6626      4.6627  [149]
 X_POSIX       0  write        2      3260094688        13832      4.6688      4.6694  [ 83]
 X_POSIX       0  write        3           63712     33490720      4.9848      5.0322  [149]
 X_POSIX       0  write        4      3260110568       804384      5.0557      5.1181  [ 83]
 X_POSIX       0  write        5      3260914952       114912      5.1182      5.1184  [ 83]
 X_POSIX       0  write        6     14518608360       229832      5.1208      5.1468  [109]
 X_POSIX       0  write        7      4294967296     33554432      5.2727      5.3175  [149]
 X_POSIX       0  write        8      8589934592     33554432      5.4615      5.5062  [149]
 X_POSIX       0  write        9     12884901888     33554432      5.5818      5.6198  [149]
 X_POSIX       0  write       10     14518838192      8285760      5.8052      5.9351  [109]
 X_POSIX       0  write       11     14527123952      1183680      5.9352      5.9367  [109]
 X_POSIX       0  write       12    198260715952      2367368      5.9584      6.0321  [225]
 X_POSIX       0  write       13     17179869184     33554432      6.4545      6.4983  [149]
 X_POSIX       0  write       14     21474836480     33554432      6.5448      6.5884  [149]
 X_POSIX       0  write       15     25769803776     33554432      6.6169      6.6615  [149]
 X_POSIX       0  write       16     30064771072     33554432      6.7388      6.7836  [149]
 X_POSIX       0  write       17     34359738368     33554432      6.8246      6.8653  [149]
 X_POSIX       0  write       18     38654705664     33554432      6.8806      6.9242  [149]
 X_POSIX       0  write       19     42949672960     33554432      6.9333      6.9783  [149]
 X_POSIX       0  write       20     47244640256     33554432      7.0144      7.0589  [149]
 X_POSIX       0  write       21     51539607552     33554432      7.0747      7.1217  [149]
 X_POSIX       0  write       22     55834574848     33554432      7.1621      7.2086  [149]
 X_POSIX       0  write       23     60129542144     33554432      7.2267      7.2724  [149]
 X_POSIX       0  write       24     64424509440     33554432      7.7783      7.8262  [149]
 X_POSIX       0  write       25     68719476736     33554432      7.8393      7.8874  [149]
 X_POSIX       0  write       26     73014444032     33554432      7.9051      7.9528  [149]
 X_POSIX       0  write       27     77309411328     33554432      7.9844      8.0315  [149]
 X_POSIX       0  write       28     81604378624     33554432      8.0641      8.1118  [149]
 X_POSIX       0  write       29     85899345920     33554432      8.1414      8.1830  [149]
 X_POSIX       0  write       30     90194313216     33554432      8.5878      8.6355  [149]
 X_POSIX       0  write       31     94489280512     33554432      8.7290      8.7739  [149]
 X_POSIX       0  write       32     98784247808     33554432      8.8210      8.8662  [149]
 X_POSIX       0  write       33    103079215104     33554432      8.9042      8.9473  [149]
 X_POSIX       0  write       34    107374182400     33554432      8.9699      9.0162  [149]
 X_POSIX       0  write       35    111669149696     33554432      9.1238      9.1716  [149]
 X_POSIX       0  write       36    115964116992     33554432      9.1851      9.2267  [149]
 X_POSIX       0  write       37    120259084288     33554432      9.4250      9.4728  [149]
 X_POSIX       0  write       38    124554051584     33554432      9.5282      9.5704  [149]
 X_POSIX       0  write       39    128849018880     33554432      9.5983      9.6435  [149]
 X_POSIX       0  write       40    133143986176     33554432      9.7291      9.7749  [149]
 X_POSIX       0  write       41    137438953472     33554432      9.7883      9.8327  [149]
 X_POSIX       0  write       42    141733920768     33554432      9.9039      9.9468  [149]
 X_POSIX       0  write       43    146028888064     33554432      9.9646     10.0099  [149]
 X_POSIX       0  write       44    150323855360     33554432     10.1941     10.2378  [149]
 X_POSIX       0  write       45    154618822656     33554432     10.3276     10.3746  [149]
 X_POSIX       0  write       46    158913789952     33554432     10.4102     10.4585  [149]
 X_POSIX       0  write       47    163208757248     33554432     10.4888     10.5335  [149]
 X_POSIX       0  write       48    167503724544     33554432     10.5476     10.5932  [149]
 X_POSIX       0  write       49    171798691840     33554432     11.1062     11.1459  [149]
 X_POSIX       0  write       50    176093659136     33554432     11.1608     11.2015  [149]
 X_POSIX       0  write       51    180388626432     33554432     11.3093     11.3508  [149]
