# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11557475
# start_time: 1523498896
# start_time_asci: Wed Apr 11 19:08:16 2018
# end_time: 1523498931
# end_time_asci: Wed Apr 11 19:08:51 2018
# nprocs: 128
# run time: 36
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 564 bytes (compressed)
# record table: 274 bytes (compressed)
# POSIX module: 15943 bytes (compressed), ver=3
# MPI-IO module: 14890 bytes (compressed), ver=2
# LUSTRE module: 40053 bytes (compressed), ver=1
# STDIO module: 9563 bytes (compressed), ver=1
# DXT_POSIX module: 30507 bytes (compressed), ver=1
# DXT_MPIIO module: 14899 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_3Om21y_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid02131
# DXT, write_count: 56, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50 166 56 26 192 180 178 104 170 124 42 122 152 130 70 100 160 88 247 243 227 219 215 177 233 221 223 207 89 229 91 213
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      6.7251      6.7258  [206]
 X_POSIX       0  write        1           34368         4000      6.7298      6.7299  [206]
 X_POSIX       0  write        2      1886632416         8008      6.7660      6.7666  [ 78]
 X_POSIX       0  write        3           40416     67068448      7.1413      7.3634  [206]
 X_POSIX       0  write        4      1886642472       465500      7.3865      7.3871  [ 78]
 X_POSIX       0  write        5      1887107972        66500      7.3871      7.3872  [ 78]
 X_POSIX       0  write        6      8401978568       133008      7.3887      7.3894  [229]
 X_POSIX       0  write        7      8402111576      4795000      9.0736      9.1129  [229]
 X_POSIX       0  write        8      8406906576       685000      9.1129      9.1139  [229]
 X_POSIX       0  write        9    114734217624      1370008      9.1264      9.1626  [ 34]
 X_POSIX       0  write       10      8589934592     67108864     10.1665     11.6076  [206]
 X_POSIX       0  write       11     17179869184     67108864     12.0345     13.5953  [206]
 X_POSIX       0  write       12     25769803776     67108864     13.9625     15.3766  [206]
 X_POSIX       0  write       13     34359738368     67108864     15.6913     16.4588  [206]
 X_POSIX       0  write       14     42949672960     67108864     17.7217     19.2549  [206]
 X_POSIX       0  write       15     51539607552     67108864     19.5295     20.9476  [206]
 X_POSIX       0  write       16     60129542144     67108864     21.4213     22.8667  [206]
 X_POSIX       0  write       17     68719476736     67108864     23.3735     24.9280  [206]
 X_POSIX       0  write       18     77309411328     67108864     25.3065     26.7792  [206]
 X_POSIX       0  write       19     85899345920     67108864     27.1146     28.4219  [206]
 X_POSIX       0  write       20     94489280512     67108864     29.1475     30.5476  [206]
 X_POSIX       0  write       21    103079215104     67108864     30.9753     32.4077  [206]
 X_POSIX       0  write       22    111669149696     67108864     32.4553     32.8539  [206]
 X_POSIX       0  write       23               0           96     34.3849     34.3862  [206]
 X_POSIX       0  write       24              96           40     34.3862     34.3863  [206]
 X_POSIX       0  write       25             136          544     34.3863     34.3863  [206]
 X_POSIX       0  write       26             680          120     34.3863     34.3863  [206]
 X_POSIX       0  write       27             800           40     34.3863     34.3863  [206]
 X_POSIX       0  write       28             840          544     34.3863     34.3864  [206]
 X_POSIX       0  write       29            1384          120     34.3864     34.3864  [206]
 X_POSIX       0  write       30            1504          328     34.3864     34.3864  [206]
 X_POSIX       0  write       31            1832          160     34.3864     34.3864  [206]
 X_POSIX       0  write       32            1992          560     34.3864     34.3865  [206]
 X_POSIX       0  write       33            2552           40     34.3865     34.3865  [206]
 X_POSIX       0  write       34            2592          544     34.3865     34.3865  [206]
 X_POSIX       0  write       35            3136           32     34.3865     34.3865  [206]
 X_POSIX       0  write       36            3168           40     34.3865     34.3866  [206]
 X_POSIX       0  write       37            3208           48     34.3866     34.3866  [206]
 X_POSIX       0  write       38            3256          672     34.3866     34.3866  [206]
 X_POSIX       0  write       39            3928          392     34.3866     34.4844  [206]
 X_POSIX       0  write       40           32320           80     34.4844     34.4845  [206]
 X_POSIX       0  write       41           32400          328     34.4845     34.4845  [206]
 X_POSIX       0  write       42           32728          272     34.4845     34.4845  [206]
 X_POSIX       0  write       43           33000           40     34.4845     34.4845  [206]
 X_POSIX       0  write       44           33040          544     34.4845     34.4846  [206]
 X_POSIX       0  write       45           33584          120     34.4846     34.4846  [206]
 X_POSIX       0  write       46           33704          632     34.4846     34.4846  [206]
 X_POSIX       0  write       47           38368          272     34.4846     34.4846  [206]
 X_POSIX       0  write       48           38640          272     34.4846     34.4847  [206]
 X_POSIX       0  write       49           38912          176     34.4847     34.4847  [206]
 X_POSIX       0  write       50           39088          544     34.4847     34.4847  [206]
 X_POSIX       0  write       51           39632           32     34.4847     34.4847  [206]
 X_POSIX       0  write       52           39664           88     34.4847     34.4848  [206]
 X_POSIX       0  write       53           39752          280     34.4848     34.4848  [206]
 X_POSIX       0  write       54           40032          376     34.4848     34.4848  [206]
