# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/./iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i inputs.r888.555
# uid: 76535
# jobid: 11246777
# start_time: 1522334352
# start_time_asci: Thu Mar 29 07:39:12 2018
# end_time: 1522334364
# end_time_asci: Thu Mar 29 07:39:24 2018
# nprocs: 2048
# run time: 13
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 568 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 138596 bytes (compressed), ver=3
# MPI-IO module: 231364 bytes (compressed), ver=2
# LUSTRE module: 650288 bytes (compressed), ver=1
# STDIO module: 148090 bytes (compressed), ver=1
# DXT_POSIX module: 78426 bytes (compressed), ver=1
# DXT_MPIIO module: 246011 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_ABcDBm_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00447
# DXT, write_count: 89, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50 166 56 26 192 180 178 104 170 124 42 122
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      5.5719      5.5720  [195]
 X_POSIX       0  write        1           54752         6912      5.5743      5.5744  [195]
 X_POSIX       0  write        2      3260094688        13832      5.5750      5.5751  [ 80]
 X_POSIX       0  write        3           63712     33490720      6.0278      6.0742  [195]
 X_POSIX       0  write        4      3260110568       804384      6.1309      6.1805  [ 80]
 X_POSIX       0  write        5      3260914952       114912      6.1805      6.1807  [ 80]
 X_POSIX       0  write        6     14518608360       229832      6.1830      6.2023  [ 78]
 X_POSIX       0  write        7      4294967296     33554432      6.3674      6.4105  [195]
 X_POSIX       0  write        8      8589934592     33554432      6.5248      6.5687  [195]
 X_POSIX       0  write        9     12884901888     33554432      6.6475      6.6847  [195]
 X_POSIX       0  write       10     14518838192      8285760      6.7285      6.8141  [ 78]
 X_POSIX       0  write       11     14527123952      1183680      6.8141      6.8156  [ 78]
 X_POSIX       0  write       12    198260715952      2367368      6.8369      6.9084  [206]
 X_POSIX       0  write       13     17179869184     33554432      7.2920      7.3357  [195]
 X_POSIX       0  write       14     21474836480     33554432      7.3743      7.4185  [195]
 X_POSIX       0  write       15     25769803776     33554432      7.4505      7.4942  [195]
 X_POSIX       0  write       16     30064771072     33554432      7.5808      7.6248  [195]
 X_POSIX       0  write       17     34359738368     33554432      7.6466      7.6860  [195]
 X_POSIX       0  write       18     38654705664     33554432      7.6994      7.7417  [195]
 X_POSIX       0  write       19     42949672960     33554432      7.7760      7.8186  [195]
 X_POSIX       0  write       20     47244640256     33554432      7.8529      7.8955  [195]
 X_POSIX       0  write       21     51539607552     33554432      7.9481      7.9906  [195]
 X_POSIX       0  write       22     55834574848     33554432      8.0155      8.0580  [195]
 X_POSIX       0  write       23     60129542144     33554432      8.0876      8.1330  [195]
 X_POSIX       0  write       24     64424509440     33554432      8.2737      8.3147  [195]
 X_POSIX       0  write       25     68719476736     33554432      8.3366      8.3790  [195]
 X_POSIX       0  write       26     73014444032     33554432      8.4008      8.4418  [195]
 X_POSIX       0  write       27     77309411328     33554432      8.4544      8.4953  [195]
 X_POSIX       0  write       28     81604378624     33554432      8.5488      8.5903  [195]
 X_POSIX       0  write       29     85899345920     33554432      8.6011      8.6423  [195]
 X_POSIX       0  write       30     90194313216     33554432      8.7319      8.7759  [195]
 X_POSIX       0  write       31     94489280512     33554432      8.8533      8.8945  [195]
 X_POSIX       0  write       32     98784247808     33554432      8.9053      8.9476  [195]
 X_POSIX       0  write       33    103079215104     33554432      8.9705      9.0118  [195]
 X_POSIX       0  write       34    107374182400     33554432      9.0331      9.0752  [195]
 X_POSIX       0  write       35    111669149696     33554432      9.0845      9.1248  [195]
 X_POSIX       0  write       36    115964116992     33554432      9.3297      9.3713  [195]
 X_POSIX       0  write       37    120259084288     33554432      9.7090      9.7529  [195]
 X_POSIX       0  write       38    124554051584     33554432      9.8330      9.8727  [195]
 X_POSIX       0  write       39    128849018880     33554432      9.9050      9.9498  [195]
 X_POSIX       0  write       40    133143986176     33554432     10.0204     10.0633  [195]
 X_POSIX       0  write       41    137438953472     33554432     10.0835     10.1277  [195]
 X_POSIX       0  write       42    141733920768     33554432     10.1676     10.2117  [195]
 X_POSIX       0  write       43    146028888064     33554432     10.2258     10.2690  [195]
 X_POSIX       0  write       44    150323855360     33554432     10.3255     10.3653  [195]
 X_POSIX       0  write       45    154618822656     33554432     10.4870     10.5311  [195]
 X_POSIX       0  write       46    158913789952     33554432     10.5705     10.6108  [195]
 X_POSIX       0  write       47    163208757248     33554432     10.6383     10.6795  [195]
 X_POSIX       0  write       48    167503724544     33554432     10.7357     10.7783  [195]
 X_POSIX       0  write       49    171798691840     33554432     10.8203     10.8620  [195]
 X_POSIX       0  write       50    176093659136     33554432     10.8949     10.9354  [195]
