# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11538759
# start_time: 1523424053
# start_time_asci: Tue Apr 10 22:20:53 2018
# end_time: 1523424066
# end_time_asci: Tue Apr 10 22:21:06 2018
# nprocs: 512
# run time: 14
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 566 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 34489 bytes (compressed), ver=3
# MPI-IO module: 60134 bytes (compressed), ver=2
# LUSTRE module: 70061 bytes (compressed), ver=1
# STDIO module: 37132 bytes (compressed), ver=1
# DXT_POSIX module: 40102 bytes (compressed), ver=1
# DXT_MPIIO module: 57648 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_sLRAvW_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00541
# DXT, write_count: 149, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 244 206 212 236 228 242 60 230 66 52 86 200 176 16 224 90 190 112 58 102 32 68 36 48 208 30 194 238 182 126 96 28
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      3.7676      3.7680  [244]
 X_POSIX       0  write        1           34368         4000      3.7834      3.7834  [244]
 X_POSIX       0  write        2      1886632416         8008      3.7839      3.7843  [208]
 X_POSIX       0  write        3           40416     33514016      3.9777      4.0107  [244]
 X_POSIX       0  write        4      1073741824     33554432      4.0283      4.0615  [244]
 X_POSIX       0  write        5      1886642472       465500      4.0905      4.1574  [208]
 X_POSIX       0  write        6      1887107972        66500      4.1574      4.1575  [208]
 X_POSIX       0  write        7      8401978568       133008      4.1591      4.1885  [194]
 X_POSIX       0  write        8      2147483648     33554432      4.2791      4.3153  [244]
 X_POSIX       0  write        9      3221225472     33554432      4.3450      4.3803  [244]
 X_POSIX       0  write       10      4294967296     33554432      4.4076      4.4436  [244]
 X_POSIX       0  write       11      5368709120     33554432      4.4879      4.5235  [244]
 X_POSIX       0  write       12      6442450944     33554432      4.5574      4.5922  [244]
 X_POSIX       0  write       13      7516192768     33554432      4.6798      4.7156  [244]
 X_POSIX       0  write       14      8402111576      4795000      4.7717      4.9276  [194]
 X_POSIX       0  write       15      8406906576       685000      4.9277      4.9283  [194]
 X_POSIX       0  write       16    114734217624      1370008      4.9415      5.0584  [238]
 X_POSIX       0  write       17      8589934592     33554432      5.2887      5.3241  [244]
 X_POSIX       0  write       18      9663676416     33554432      5.3452      5.3826  [244]
 X_POSIX       0  write       19     10737418240     33554432      5.3934      5.4228  [244]
 X_POSIX       0  write       20     11811160064     33554432      6.0124      6.0459  [244]
 X_POSIX       0  write       21     12884901888     33554432      6.0684      6.1012  [244]
 X_POSIX       0  write       22     13958643712     33554432      6.1204      6.1535  [244]
 X_POSIX       0  write       23     15032385536     33554432      6.1844      6.2193  [244]
 X_POSIX       0  write       24     16106127360     33554432      6.2478      6.2840  [244]
 X_POSIX       0  write       25     17179869184     33554432      6.3022      6.3369  [244]
 X_POSIX       0  write       26     18253611008     33554432      6.3638      6.3986  [244]
 X_POSIX       0  write       27     19327352832     33554432      6.4223      6.4565  [244]
 X_POSIX       0  write       28     20401094656     33554432      6.4778      6.5142  [244]
 X_POSIX       0  write       29     21474836480     33554432      6.5428      6.5774  [244]
 X_POSIX       0  write       30     22548578304     33554432      6.6824      6.7107  [244]
 X_POSIX       0  write       31     23622320128     33554432      6.7368      6.7695  [244]
 X_POSIX       0  write       32     24696061952     33554432      6.7951      6.8278  [244]
 X_POSIX       0  write       33     25769803776     33554432      6.8411      6.8840  [244]
 X_POSIX       0  write       34     26843545600     33554432      6.9125      6.9458  [244]
 X_POSIX       0  write       35     27917287424     33554432      6.9603      6.9967  [244]
 X_POSIX       0  write       36     28991029248     33554432      7.0179      7.0543  [244]
 X_POSIX       0  write       37     30064771072     33554432      7.0778      7.1152  [244]
 X_POSIX       0  write       38     31138512896     33554432      7.1341      7.1705  [244]
 X_POSIX       0  write       39     32212254720     33554432      7.1931      7.2284  [244]
 X_POSIX       0  write       40     33285996544     33554432      7.2404      7.2741  [244]
 X_POSIX       0  write       41     34359738368     33554432      7.2902      7.3249  [244]
 X_POSIX       0  write       42     35433480192     33554432      7.3565      7.3903  [244]
 X_POSIX       0  write       43     36507222016     33554432      7.4140      7.4504  [244]
 X_POSIX       0  write       44     37580963840     33554432      7.4768      7.5123  [244]
 X_POSIX       0  write       45     38654705664     33554432      7.5386      7.5720  [244]
 X_POSIX       0  write       46     39728447488     33554432      7.5966      7.6303  [244]
