# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11542195
# start_time: 1523438718
# start_time_asci: Wed Apr 11 02:25:18 2018
# end_time: 1523438791
# end_time_asci: Wed Apr 11 02:26:31 2018
# nprocs: 512
# run time: 74
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 565 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 33934 bytes (compressed), ver=3
# MPI-IO module: 58957 bytes (compressed), ver=2
# LUSTRE module: 81781 bytes (compressed), ver=1
# STDIO module: 37798 bytes (compressed), ver=1
# DXT_POSIX module: 66474 bytes (compressed), ver=1
# DXT_MPIIO module: 59613 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_HoTZ4g_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00540
# DXT, write_count: 227, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      7.2593      7.2599  [ 28]
 X_POSIX       0  write        1           54752         6912      7.2635      7.2636  [ 28]
 X_POSIX       0  write        2      3260094688        13832      7.2772      7.2818  [142]
 X_POSIX       0  write        3           63712     33490720      8.0210      8.0583  [ 28]
 X_POSIX       0  write        4      1073741824     33554432      8.1399      8.1707  [ 28]
 X_POSIX       0  write        5      2147483648     33554432      8.1790      8.2169  [ 28]
 X_POSIX       0  write        6      3221225472     33554432      8.2226      8.2521  [ 28]
 X_POSIX       0  write        7      3260110568       804384      8.2554      8.3706  [142]
 X_POSIX       0  write        8      3260914952       114912      8.3706      8.3708  [142]
 X_POSIX       0  write        9     14518608360       229832      8.3731      8.3734  [ 84]
 X_POSIX       0  write       10      4294967296     33554432      8.4458      8.4779  [ 28]
 X_POSIX       0  write       11      5368709120     33554432      8.5118      8.5473  [ 28]
 X_POSIX       0  write       12      6442450944     33554432      8.5717      8.6082  [ 28]
 X_POSIX       0  write       13      7516192768     33554432      8.6279      8.6704  [ 28]
 X_POSIX       0  write       14      8589934592     33554432      8.6906      8.7274  [ 28]
 X_POSIX       0  write       15      9663676416     33554432      8.7620      8.8052  [ 28]
 X_POSIX       0  write       16     10737418240     33554432      8.8230      8.8624  [ 28]
 X_POSIX       0  write       17     11811160064     33554432      8.8927      8.9302  [ 28]
 X_POSIX       0  write       18     12884901888     33554432      8.9621      8.9964  [ 28]
 X_POSIX       0  write       19     13958643712     33554432      9.0153      9.0577  [ 28]
 X_POSIX       0  write       20     14518838192      8285760      9.1426      9.1511  [ 84]
 X_POSIX       0  write       21     14527123952      1183680      9.1512      9.1523  [ 84]
 X_POSIX       0  write       22    198260715952      2367368      9.1766      9.3757  [ 38]
 X_POSIX       0  write       23     15032385536     33554432      9.6987      9.7286  [ 28]
 X_POSIX       0  write       24     16106127360     33554432      9.7494      9.7863  [ 28]
 X_POSIX       0  write       25     17179869184     33554432      9.8784      9.9121  [ 28]
 X_POSIX       0  write       26     18253611008     33554432      9.9285      9.9646  [ 28]
 X_POSIX       0  write       27     19327352832     33554432      9.9881     10.0240  [ 28]
 X_POSIX       0  write       28     20401094656     33554432     10.0452     10.0821  [ 28]
 X_POSIX       0  write       29     21474836480     33554432     10.0982     10.1401  [ 28]
 X_POSIX       0  write       30     22548578304     33554432     10.1510     10.1877  [ 28]
 X_POSIX       0  write       31     23622320128     33554432     10.2054     10.2660  [ 28]
 X_POSIX       0  write       32     24696061952     33554432     10.2751     10.3284  [ 28]
 X_POSIX       0  write       33     25769803776     33554432     10.3366     10.3711  [ 28]
 X_POSIX       0  write       34     26843545600     33554432     10.3826     10.4499  [ 28]
 X_POSIX       0  write       35     27917287424     33554432     10.4617     10.5155  [ 28]
 X_POSIX       0  write       36     28991029248     33554432     10.5383     10.5701  [ 28]
 X_POSIX       0  write       37     30064771072     33554432     10.5957     10.6294  [ 28]
 X_POSIX       0  write       38     31138512896     33554432     10.6458     10.6824  [ 28]
 X_POSIX       0  write       39     32212254720     33554432     10.6965     10.7325  [ 28]
 X_POSIX       0  write       40     33285996544     33554432     10.7577     10.7935  [ 28]
 X_POSIX       0  write       41     34359738368     33554432     10.8084     10.8549  [ 28]
 X_POSIX       0  write       42     35433480192     33554432     10.8649     10.9004  [ 28]
 X_POSIX       0  write       43     36507222016     33554432     10.9127     10.9638  [ 28]
 X_POSIX       0  write       44     37580963840     33554432     10.9692     11.0152  [ 28]
 X_POSIX       0  write       45     38654705664     33554432     11.0274     11.0742  [ 28]
 X_POSIX       0  write       46     39728447488     33554432     11.0804     11.1152  [ 28]
 X_POSIX       0  write       47     40802189312     33554432     11.1369     11.1733  [ 28]
 X_POSIX       0  write       48     41875931136     33554432     11.1928     11.2293  [ 28]
 X_POSIX       0  write       49     42949672960     33554432     11.2552     11.2923  [ 28]
 X_POSIX       0  write       50     44023414784     33554432     11.3136     11.3626  [ 28]
 X_POSIX       0  write       51     45097156608     33554432     11.3749     11.4096  [ 28]
 X_POSIX       0  write       52     46170898432     33554432     11.4229     11.4593  [ 28]
 X_POSIX       0  write       53     47244640256     33554432     11.4787     11.5452  [ 28]
 X_POSIX       0  write       54     48318382080     33554432     11.5534     11.5856  [ 28]
 X_POSIX       0  write       55     49392123904     33554432     11.5987     11.7254  [ 28]
 X_POSIX       0  write       56     50465865728     33554432     11.7401     11.7748  [ 28]
 X_POSIX       0  write       57     51539607552     33554432     11.7879     11.8241  [ 28]
 X_POSIX       0  write       58     52613349376     33554432     11.8416     11.8772  [ 28]
 X_POSIX       0  write       59     53687091200     33554432     11.9006     11.9340  [ 28]
 X_POSIX       0  write       60     54760833024     33554432     11.9564     11.9923  [ 28]
 X_POSIX       0  write       61     55834574848     33554432     12.0094     12.0460  [ 28]
 X_POSIX       0  write       62     56908316672     33554432     12.3586     12.3892  [ 28]
 X_POSIX       0  write       63     57982058496     33554432     12.4015     12.4365  [ 28]
 X_POSIX       0  write       64     59055800320     33554432     12.4623     12.4973  [ 28]
 X_POSIX       0  write       65     60129542144     33554432     12.5179     12.5532  [ 28]
 X_POSIX       0  write       66     61203283968     33554432     12.5741     12.6088  [ 28]
 X_POSIX       0  write       67     62277025792     33554432     12.6298     12.6775  [ 28]
 X_POSIX       0  write       68     63350767616     33554432     13.1018     13.1325  [ 28]
 X_POSIX       0  write       69     64424509440     33554432     13.1398     13.1789  [ 28]
 X_POSIX       0  write       70     65498251264     33554432     13.2187     13.2550  [ 28]
 X_POSIX       0  write       71     66571993088     33554432     13.2666     13.3046  [ 28]
 X_POSIX       0  write       72     67645734912     33554432     13.3205     13.3597  [ 28]
 X_POSIX       0  write       73     68719476736     33554432     13.3732     13.4142  [ 28]
 X_POSIX       0  write       74     69793218560     33554432     13.4241     13.5001  [ 28]
 X_POSIX       0  write       75     70866960384     33554432     13.5073     13.5378  [ 28]
 X_POSIX       0  write       76     71940702208     33554432     13.7851     56.3430  [ 28]
 X_POSIX       0  write       77     73014444032     33554432     56.3541     56.3847  [ 28]
 X_POSIX       0  write       78     74088185856     33554432     56.3941     56.4424  [ 28]
 X_POSIX       0  write       79     75161927680     33554432     56.4598     56.4954  [ 28]
 X_POSIX       0  write       80     76235669504     33554432     56.5083     56.5452  [ 28]
 X_POSIX       0  write       81     77309411328     33554432     56.5702     56.5996  [ 28]
 X_POSIX       0  write       82     78383153152     33554432     56.6732     56.7089  [ 28]
 X_POSIX       0  write       83     79456894976     33554432     56.7281     56.7629  [ 28]
 X_POSIX       0  write       84     80530636800     33554432     56.7775     56.8070  [ 28]
 X_POSIX       0  write       85     81604378624     33554432     56.8297     56.8627  [ 28]
 X_POSIX       0  write       86     82678120448     33554432     56.8939     56.9302  [ 28]
 X_POSIX       0  write       87     83751862272     33554432     56.9515     56.9836  [ 28]
 X_POSIX       0  write       88     84825604096     33554432     57.0068     57.0432  [ 28]
 X_POSIX       0  write       89     85899345920     33554432     57.0766     57.1130  [ 28]
 X_POSIX       0  write       90     86973087744     33554432     57.1263     57.1609  [ 28]
 X_POSIX       0  write       91     88046829568     33554432     57.1863     57.2269  [ 28]
 X_POSIX       0  write       92     89120571392     33554432     57.8977     58.2139  [ 28]
 X_POSIX       0  write       93     90194313216     33554432     58.2206     58.2537  [ 28]
 X_POSIX       0  write       94     91268055040     33554432     58.2723     58.3078  [ 28]
 X_POSIX       0  write       95     92341796864     33554432     58.3247     58.3556  [ 28]
 X_POSIX       0  write       96     93415538688     33554432     58.3703     58.5663  [ 28]
 X_POSIX       0  write       97     94489280512     33554432     58.5713     58.6052  [ 28]
 X_POSIX       0  write       98     95563022336     33554432     58.8021     58.8328  [ 28]
 X_POSIX       0  write       99     96636764160     33554432     58.9246     58.9612  [ 28]
 X_POSIX       0  write      100     97710505984     33554432     59.3563     59.3867  [ 28]
