# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11538946
# start_time: 1523429640
# start_time_asci: Tue Apr 10 23:54:00 2018
# end_time: 1523429657
# end_time_asci: Tue Apr 10 23:54:17 2018
# nprocs: 1024
# run time: 18
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 565 bytes (compressed)
# record table: 510 bytes (compressed)
# POSIX module: 66898 bytes (compressed), ver=3
# MPI-IO module: 118024 bytes (compressed), ver=2
# LUSTRE module: 142325 bytes (compressed), ver=1
# STDIO module: 74608 bytes (compressed), ver=1
# DXT_POSIX module: 40345 bytes (compressed), ver=1
# DXT_MPIIO module: 120049 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_A0uPgj_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01545
# DXT, write_count: 149, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      2.2598      2.2601  [139]
 X_POSIX       0  write        1           34368         4000      2.2602      2.2602  [139]
 X_POSIX       0  write        2      1886632416         8008      2.3103      2.3106  [204]
 X_POSIX       0  write        3           40416     33514016      2.8793      2.9082  [139]
 X_POSIX       0  write        4      1073741824     33554432      2.9220      2.9507  [139]
 X_POSIX       0  write        5      1886642472       465500      3.0070      3.0817  [204]
 X_POSIX       0  write        6      1887107972        66500      3.0817      3.0818  [204]
 X_POSIX       0  write        7      8401978568       133008      3.0833      3.0966  [ 66]
 X_POSIX       0  write        8      2147483648     33554432      3.1718      3.1996  [139]
 X_POSIX       0  write        9      3221225472     33554432      3.2947      3.3235  [139]
 X_POSIX       0  write       10      4294967296     33554432      3.3526      3.3798  [139]
 X_POSIX       0  write       11      5368709120     33554432      3.4152      3.4439  [139]
 X_POSIX       0  write       12      6442450944     33554432      4.3672      4.3965  [139]
 X_POSIX       0  write       13      7516192768     33554432      4.4640      4.4933  [139]
 X_POSIX       0  write       14      8402111576      4795000      4.5543      4.7053  [ 66]
 X_POSIX       0  write       15      8406906576       685000      4.7054      4.7060  [ 66]
 X_POSIX       0  write       16    114734217624      1370008      4.7187      4.8295  [132]
 X_POSIX       0  write       17      8589934592     33554432      5.0184      5.0469  [139]
 X_POSIX       0  write       18      9663676416     33554432      5.0631      5.0923  [139]
 X_POSIX       0  write       19     10737418240     33554432      5.1044      5.1327  [139]
 X_POSIX       0  write       20     11811160064     33554432      5.1617      5.1903  [139]
 X_POSIX       0  write       21     12884901888     33554432      5.2909      5.3197  [139]
 X_POSIX       0  write       22     13958643712     33554432      5.4501      5.4787  [139]
 X_POSIX       0  write       23     15032385536     33554432      5.8900      5.9188  [139]
 X_POSIX       0  write       24     16106127360     33554432      5.9369      5.9676  [139]
 X_POSIX       0  write       25     17179869184     33554432      5.9863      6.0160  [139]
 X_POSIX       0  write       26     18253611008     33554432      6.0283      6.0582  [139]
 X_POSIX       0  write       27     19327352832     33554432      6.0744      6.1049  [139]
 X_POSIX       0  write       28     20401094656     33554432      6.1156      6.1463  [139]
 X_POSIX       0  write       29     21474836480     33554432      6.1595      6.1895  [139]
 X_POSIX       0  write       30     22548578304     33554432      6.2033      6.2332  [139]
 X_POSIX       0  write       31     23622320128     33554432      6.2473      6.2853  [139]
 X_POSIX       0  write       32     24696061952     33554432      6.2984      6.3282  [139]
 X_POSIX       0  write       33     25769803776     33554432      6.3437      6.3769  [139]
 X_POSIX       0  write       34     26843545600     33554432      6.3962      6.4265  [139]
 X_POSIX       0  write       35     27917287424     33554432      6.4435      6.4735  [139]
 X_POSIX       0  write       36     28991029248     33554432      6.4972      6.5265  [139]
 X_POSIX       0  write       37     30064771072     33554432      6.5470      6.5772  [139]
 X_POSIX       0  write       38     31138512896     33554432      6.5991      6.6288  [139]
 X_POSIX       0  write       39     32212254720     33554432      6.6517      6.6817  [139]
 X_POSIX       0  write       40     33285996544     33554432      6.7031      6.7337  [139]
 X_POSIX       0  write       41     34359738368     33554432      6.7557      6.7856  [139]
 X_POSIX       0  write       42     35433480192     33554432      6.8108      6.8412  [139]
 X_POSIX       0  write       43     36507222016     33554432      6.8632      6.8934  [139]
 X_POSIX       0  write       44     37580963840     33554432      6.9059      6.9359  [139]
 X_POSIX       0  write       45     38654705664     33554432      6.9442      6.9745  [139]
