# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11542196
# start_time: 1523439030
# start_time_asci: Wed Apr 11 02:30:30 2018
# end_time: 1523439050
# end_time_asci: Wed Apr 11 02:30:50 2018
# nprocs: 1024
# run time: 21
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 566 bytes (compressed)
# record table: 510 bytes (compressed)
# POSIX module: 66973 bytes (compressed), ver=3
# MPI-IO module: 121532 bytes (compressed), ver=2
# LUSTRE module: 171795 bytes (compressed), ver=1
# STDIO module: 75448 bytes (compressed), ver=1
# DXT_POSIX module: 65860 bytes (compressed), ver=1
# DXT_MPIIO module: 127648 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_9pEzeE_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00561
# DXT, write_count: 227, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 181 231 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 93 101 109 75
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      4.5412      4.5419  [181]
 X_POSIX       0  write        1           54752         6912      4.5449      4.5449  [181]
 X_POSIX       0  write        2      3260094688        13832      4.5777      4.5782  [231]
 X_POSIX       0  write        3           63712     33490720      5.0189      5.0494  [181]
 X_POSIX       0  write        4      1073741824     33554432      5.0717      5.1003  [181]
 X_POSIX       0  write        5      2147483648     33554432      5.1137      5.1428  [181]
 X_POSIX       0  write        6      3221225472     33554432      5.1478      5.1767  [181]
 X_POSIX       0  write        7      3260110568       804384      5.2513      5.3624  [231]
 X_POSIX       0  write        8      3260914952       114912      5.3624      5.3625  [231]
 X_POSIX       0  write        9     14518608360       229832      5.3649      5.4501  [ 11]
 X_POSIX       0  write       10      4294967296     33554432      5.5309      5.5600  [181]
 X_POSIX       0  write       11      5368709120     33554432      5.6844      5.7133  [181]
 X_POSIX       0  write       12      6442450944     33554432      5.7426      5.7717  [181]
 X_POSIX       0  write       13      7516192768     33554432      5.7903      5.8197  [181]
 X_POSIX       0  write       14      8589934592     33554432      5.9413      5.9701  [181]
 X_POSIX       0  write       15      9663676416     33554432      5.9980      6.0268  [181]
 X_POSIX       0  write       16     10737418240     33554432      6.0900      6.1190  [181]
 X_POSIX       0  write       17     11811160064     33554432      6.1406      6.1699  [181]
 X_POSIX       0  write       18     12884901888     33554432      6.1959      6.2246  [181]
 X_POSIX       0  write       19     13958643712     33554432      6.2749      6.3038  [181]
 X_POSIX       0  write       20     14518838192      8285760      6.4178      6.6718  [ 11]
 X_POSIX       0  write       21     14527123952      1183680      6.6719      6.6731  [ 11]
 X_POSIX       0  write       22    198260715952      2367368      6.6944      6.9000  [111]
 X_POSIX       0  write       23     15032385536     33554432      7.1443      7.1734  [181]
 X_POSIX       0  write       24     16106127360     33554432      7.1805      7.2702  [181]
 X_POSIX       0  write       25     17179869184     33554432      7.3617      7.3898  [181]
 X_POSIX       0  write       26     18253611008     33554432      7.3988      7.4280  [181]
 X_POSIX       0  write       27     19327352832     33554432      7.4439      7.4733  [181]
 X_POSIX       0  write       28     20401094656     33554432      7.4906      7.5202  [181]
 X_POSIX       0  write       29     21474836480     33554432      7.5421      7.5712  [181]
 X_POSIX       0  write       30     22548578304     33554432      7.5932      7.6223  [181]
 X_POSIX       0  write       31     23622320128     33554432      7.6345      7.6644  [181]
 X_POSIX       0  write       32     24696061952     33554432      7.6979      7.7264  [181]
 X_POSIX       0  write       33     25769803776     33554432      7.7379      7.7668  [181]
 X_POSIX       0  write       34     26843545600     33554432      7.7785      7.8079  [181]
 X_POSIX       0  write       35     27917287424     33554432      7.8228      7.8528  [181]
 X_POSIX       0  write       36     28991029248     33554432      7.8979      7.9260  [181]
 X_POSIX       0  write       37     30064771072     33554432      7.9456      7.9751  [181]
 X_POSIX       0  write       38     31138512896     33554432      7.9944      8.0235  [181]
 X_POSIX       0  write       39     32212254720     33554432      8.0351      8.0644  [181]
 X_POSIX       0  write       40     33285996544     33554432      8.0844      8.1139  [181]
 X_POSIX       0  write       41     34359738368     33554432      8.1317      8.1611  [181]
 X_POSIX       0  write       42     35433480192     33554432      8.1715      8.2010  [181]
 X_POSIX       0  write       43     36507222016     33554432      8.2227      8.2525  [181]
 X_POSIX       0  write       44     37580963840     33554432      8.2618      8.2920  [181]
 X_POSIX       0  write       45     38654705664     33554432      8.3151      8.3447  [181]
