# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11542199
# start_time: 1523441028
# start_time_asci: Wed Apr 11 03:03:48 2018
# end_time: 1523441066
# end_time_asci: Wed Apr 11 03:04:26 2018
# nprocs: 1024
# run time: 39
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 510 bytes (compressed)
# POSIX module: 66577 bytes (compressed), ver=3
# MPI-IO module: 120092 bytes (compressed), ver=2
# LUSTRE module: 173572 bytes (compressed), ver=1
# STDIO module: 75813 bytes (compressed), ver=1
# DXT_POSIX module: 101898 bytes (compressed), ver=1
# DXT_MPIIO module: 126621 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_Q07hsV_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00443
# DXT, write_count: 336, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 41 181 231 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 93 101 109
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832      7.1751      7.1759  [ 41]
 X_POSIX       0  write        1           83200        10976      7.1769      7.1769  [ 41]
 X_POSIX       0  write        2      5176904672        21960      7.3277      7.3284  [127]
 X_POSIX       0  write        3           96224     33458208      7.7825      7.8125  [ 41]
 X_POSIX       0  write        4      1073741824     33554432      7.8275      7.8564  [ 41]
 X_POSIX       0  write        5      2147483648     33554432      7.8641      7.8934  [ 41]
 X_POSIX       0  write        6      3221225472     33554432      7.9076      7.9374  [ 41]
 X_POSIX       0  write        7      4294967296     33554432      7.9599      7.9891  [ 41]
 X_POSIX       0  write        8      5176928680      1277332      8.0310      8.1901  [127]
 X_POSIX       0  write        9      5178206012       182476      8.1902      8.1903  [127]
 X_POSIX       0  write       10     23055003784       364960      8.1939      8.2894  [  9]
 X_POSIX       0  write       11      5368709120     33554432      8.3766      8.4059  [ 41]
 X_POSIX       0  write       12      6442450944     33554432      8.6141      8.6437  [ 41]
 X_POSIX       0  write       13      7516192768     33554432      8.6571      8.9943  [ 41]
 X_POSIX       0  write       14      8589934592     33554432      9.0053      9.0346  [ 41]
 X_POSIX       0  write       15      9663676416     33554432      9.0485      9.1084  [ 41]
 X_POSIX       0  write       16     10737418240     33554432      9.1137      9.1645  [ 41]
 X_POSIX       0  write       17     11811160064     33554432      9.2748      9.3036  [ 41]
 X_POSIX       0  write       18     12884901888     33554432      9.3197      9.3497  [ 41]
 X_POSIX       0  write       19     13958643712     33554432      9.4747      9.5034  [ 41]
 X_POSIX       0  write       20     15032385536     33554432      9.5124      9.5418  [ 41]
 X_POSIX       0  write       21     16106127360     33554432      9.5635      9.5933  [ 41]
 X_POSIX       0  write       22     17179869184     33554432      9.7548      9.7834  [ 41]
 X_POSIX       0  write       23     18253611008     33554432      9.7950      9.8484  [ 41]
 X_POSIX       0  write       24     19327352832     33554432      9.8765      9.9056  [ 41]
 X_POSIX       0  write       25     20401094656     33554432      9.9302      9.9600  [ 41]
 X_POSIX       0  write       26     21474836480     33554432     10.0063     10.0357  [ 41]
 X_POSIX       0  write       27     22548578304     33554432     10.0433     10.0828  [ 41]
 X_POSIX       0  write       28     23055368744     13157480     10.1740     10.5833  [  9]
 X_POSIX       0  write       29     23068526224      1879640     10.5834     10.5854  [  9]
 X_POSIX       0  write       30    314830664168      3759288     10.6193     10.9827  [129]
 X_POSIX       0  write       31     23622320128     33554432     11.2938     11.3239  [ 41]
 X_POSIX       0  write       32     24696061952     33554432     11.3401     11.3694  [ 41]
 X_POSIX       0  write       33     25769803776     33554432     11.5166     11.5458  [ 41]
 X_POSIX       0  write       34     26843545600     33554432     11.5570     11.5864  [ 41]
 X_POSIX       0  write       35     27917287424     33554432     11.5992     11.6398  [ 41]
 X_POSIX       0  write       36     28991029248     33554432     11.6481     11.6811  [ 41]
 X_POSIX       0  write       37     30064771072     33554432     11.7565     11.7852  [ 41]
 X_POSIX       0  write       38     31138512896     33554432     11.8074     11.8433  [ 41]
 X_POSIX       0  write       39     32212254720     33554432     11.8492     11.8890  [ 41]
 X_POSIX       0  write       40     33285996544     33554432     11.9302     11.9597  [ 41]
 X_POSIX       0  write       41     34359738368     33554432     11.9677     12.0122  [ 41]
 X_POSIX       0  write       42     35433480192     33554432     12.0682     12.0966  [ 41]
 X_POSIX       0  write       43     36507222016     33554432     12.1348     12.1643  [ 41]
 X_POSIX       0  write       44     37580963840     33554432     12.1804     12.2086  [ 41]
 X_POSIX       0  write       45     38654705664     33554432     12.5165     12.5450  [ 41]
 X_POSIX       0  write       46     39728447488     33554432     12.5518     12.5851  [ 41]
 X_POSIX       0  write       47     40802189312     33554432     12.5962     12.6258  [ 41]
 X_POSIX       0  write       48     41875931136     33554432     12.6524     12.6803  [ 41]
 X_POSIX       0  write       49     42949672960     33554432     12.6944     12.7235  [ 41]
 X_POSIX       0  write       50     44023414784     33554432     12.7387     12.7931  [ 41]
 X_POSIX       0  write       51     45097156608     33554432     12.8030     12.8635  [ 41]
 X_POSIX       0  write       52     46170898432     33554432     12.8683     12.8979  [ 41]
 X_POSIX       0  write       53     47244640256     33554432     13.0523     13.0813  [ 41]
 X_POSIX       0  write       54     48318382080     33554432     13.1061     13.1347  [ 41]
 X_POSIX       0  write       55     49392123904     33554432     13.1496     13.1993  [ 41]
 X_POSIX       0  write       56     50465865728     33554432     13.2057     13.2466  [ 41]
 X_POSIX       0  write       57     51539607552     33554432     13.2842     13.3139  [ 41]
 X_POSIX       0  write       58     52613349376     33554432     13.3219     13.3773  [ 41]
 X_POSIX       0  write       59     53687091200     33554432     13.4564     13.4855  [ 41]
 X_POSIX       0  write       60     54760833024     33554432     13.5114     13.5404  [ 41]
 X_POSIX       0  write       61     55834574848     33554432     13.5514     13.5803  [ 41]
 X_POSIX       0  write       62     56908316672     33554432     13.5965     13.6334  [ 41]
 X_POSIX       0  write       63     57982058496     33554432     13.6652     13.6943  [ 41]
 X_POSIX       0  write       64     59055800320     33554432     13.7161     13.7450  [ 41]
 X_POSIX       0  write       65     60129542144     33554432     13.7516     13.7806  [ 41]
 X_POSIX       0  write       66     61203283968     33554432     13.8128     13.8517  [ 41]
 X_POSIX       0  write       67     62277025792     33554432     13.8604     13.8915  [ 41]
 X_POSIX       0  write       68     63350767616     33554432     13.9014     13.9575  [ 41]
 X_POSIX       0  write       69     64424509440     33554432     13.9694     14.0315  [ 41]
 X_POSIX       0  write       70     65498251264     33554432     14.0410     14.0769  [ 41]
 X_POSIX       0  write       71     66571993088     33554432     14.0869     14.1209  [ 41]
 X_POSIX       0  write       72     67645734912     33554432     14.1289     14.1784  [ 41]
 X_POSIX       0  write       73     68719476736     33554432     14.2274     14.2554  [ 41]
 X_POSIX       0  write       74     69793218560     33554432     14.3081     14.3370  [ 41]
 X_POSIX       0  write       75     70866960384     33554432     14.3926     14.4221  [ 41]
 X_POSIX       0  write       76     71940702208     33554432     14.4338     14.4628  [ 41]
 X_POSIX       0  write       77     73014444032     33554432     14.4712     14.5212  [ 41]
 X_POSIX       0  write       78     74088185856     33554432     14.5264     14.5588  [ 41]
 X_POSIX       0  write       79     75161927680     33554432     14.5667     14.6135  [ 41]
 X_POSIX       0  write       80     76235669504     33554432     14.6532     14.6826  [ 41]
 X_POSIX       0  write       81     77309411328     33554432     14.6977     14.7296  [ 41]
 X_POSIX       0  write       82     78383153152     33554432     14.8152     14.8442  [ 41]
 X_POSIX       0  write       83     79456894976     33554432     14.8532     14.8903  [ 41]
 X_POSIX       0  write       84     80530636800     33554432     15.0416     15.0702  [ 41]
 X_POSIX       0  write       85     81604378624     33554432     15.0803     15.1090  [ 41]
 X_POSIX       0  write       86     82678120448     33554432     15.1223     15.1878  [ 41]
 X_POSIX       0  write       87     83751862272     33554432     15.2633     15.2928  [ 41]
 X_POSIX       0  write       88     84825604096     33554432     15.3091     15.3562  [ 41]
 X_POSIX       0  write       89     85899345920     33554432     15.3624     15.3924  [ 41]
 X_POSIX       0  write       90     86973087744     33554432     15.4009     15.4309  [ 41]
 X_POSIX       0  write       91     88046829568     33554432     15.5512     15.5801  [ 41]
 X_POSIX       0  write       92     89120571392     33554432     15.5934     15.6227  [ 41]
 X_POSIX       0  write       93     90194313216     33554432     15.6362     15.7150  [ 41]
 X_POSIX       0  write       94     91268055040     33554432     15.7204     15.7570  [ 41]
 X_POSIX       0  write       95     92341796864     33554432     15.7657     15.7954  [ 41]
