# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11537895
# start_time: 1523421225
# start_time_asci: Tue Apr 10 21:33:45 2018
# end_time: 1523421249
# end_time_asci: Tue Apr 10 21:34:09 2018
# nprocs: 128
# run time: 25
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 566 bytes (compressed)
# record table: 274 bytes (compressed)
# POSIX module: 9957 bytes (compressed), ver=3
# MPI-IO module: 14940 bytes (compressed), ver=2
# LUSTRE module: 17759 bytes (compressed), ver=1
# STDIO module: 9444 bytes (compressed), ver=1
# DXT_POSIX module: 40629 bytes (compressed), ver=1
# DXT_MPIIO module: 15040 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_f2N4Cr_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01582
# DXT, write_count: 149, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 149 211 169 235 145 201 81 157 21 97 165 175 179 143 161 31 53 41 181 231 225 183 67 129 119 85 71 77 5 29 107 61
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      6.7269      6.7275  [149]
 X_POSIX       0  write        1           34368         4000      6.7311      6.7311  [149]
 X_POSIX       0  write        2      1886632416         8008      6.7702      6.7707  [119]
 X_POSIX       0  write        3           40416     33514016      7.0015      7.0747  [149]
 X_POSIX       0  write        4      1073741824     33554432      7.0990      7.1456  [149]
 X_POSIX       0  write        5      1886642472       465500      7.1845      7.1850  [119]
 X_POSIX       0  write        6      1887107972        66500      7.1850      7.1851  [119]
 X_POSIX       0  write        7      8401978568       133008      7.1866      7.2139  [ 71]
 X_POSIX       0  write        8      2147483648     33554432      7.3263      7.3942  [149]
 X_POSIX       0  write        9      3221225472     33554432      7.4845      7.5642  [149]
 X_POSIX       0  write       10      4294967296     33554432      7.6245      7.7075  [149]
 X_POSIX       0  write       11      5368709120     33554432      7.7750      7.8150  [149]
 X_POSIX       0  write       12      6442450944     33554432      7.9040      7.9683  [149]
 X_POSIX       0  write       13      7516192768     33554432      8.0294      8.1011  [149]
 X_POSIX       0  write       14      8402111576      4795000      8.2212      8.3477  [ 71]
 X_POSIX       0  write       15      8406906576       685000      8.3477      8.3484  [ 71]
 X_POSIX       0  write       16    114734217624      1370008      8.3611      8.4987  [ 77]
 X_POSIX       0  write       17      8589934592     33554432      9.1628      9.2398  [149]
 X_POSIX       0  write       18      9663676416     33554432      9.2979      9.3718  [149]
 X_POSIX       0  write       19     10737418240     33554432      9.4183      9.4735  [149]
 X_POSIX       0  write       20     11811160064     33554432      9.5558      9.6386  [149]
 X_POSIX       0  write       21     12884901888     33554432      9.6893      9.7611  [149]
 X_POSIX       0  write       22     13958643712     33554432      9.8250      9.8747  [149]
 X_POSIX       0  write       23     15032385536     33554432      9.9376      9.9997  [149]
 X_POSIX       0  write       24     16106127360     33554432     10.0779     10.1536  [149]
 X_POSIX       0  write       25     17179869184     33554432     10.2215     10.2908  [149]
 X_POSIX       0  write       26     18253611008     33554432     10.3429     10.4096  [149]
 X_POSIX       0  write       27     19327352832     33554432     10.4756     10.5348  [149]
 X_POSIX       0  write       28     20401094656     33554432     10.5880     10.6617  [149]
 X_POSIX       0  write       29     21474836480     33554432     10.7508     10.8198  [149]
 X_POSIX       0  write       30     22548578304     33554432     10.8632     10.9383  [149]
 X_POSIX       0  write       31     23622320128     33554432     10.9894     11.0432  [149]
 X_POSIX       0  write       32     24696061952     33554432     11.1146     11.1966  [149]
 X_POSIX       0  write       33     25769803776     33554432     11.2510     11.3194  [149]
 X_POSIX       0  write       34     26843545600     33554432     11.3669     11.4494  [149]
 X_POSIX       0  write       35     27917287424     33554432     11.5101     11.5888  [149]
 X_POSIX       0  write       36     28991029248     33554432     11.6481     11.7264  [149]
 X_POSIX       0  write       37     30064771072     33554432     11.7805     11.8692  [149]
 X_POSIX       0  write       38     31138512896     33554432     11.9139     11.9915  [149]
 X_POSIX       0  write       39     32212254720     33554432     12.0270     12.1034  [149]
 X_POSIX       0  write       40     33285996544     33554432     12.1601     12.2238  [149]
 X_POSIX       0  write       41     34359738368     33554432     12.2484     12.2833  [149]
 X_POSIX       0  write       42     35433480192     33554432     12.4219     12.4985  [149]
 X_POSIX       0  write       43     36507222016     33554432     12.5487     12.6218  [149]
 X_POSIX       0  write       44     37580963840     33554432     12.6541     12.7178  [149]
 X_POSIX       0  write       45     38654705664     33554432     12.7510     12.7890  [149]
