# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11542945
# start_time: 1523442754
# start_time_asci: Wed Apr 11 03:32:34 2018
# end_time: 1523442784
# end_time_asci: Wed Apr 11 03:33:04 2018
# nprocs: 2048
# run time: 31
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 565 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 131925 bytes (compressed), ver=3
# MPI-IO module: 243375 bytes (compressed), ver=2
# LUSTRE module: 343125 bytes (compressed), ver=1
# STDIO module: 150090 bytes (compressed), ver=1
# DXT_POSIX module: 101683 bytes (compressed), ver=1
# DXT_MPIIO module: 245763 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_QdchAO_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00819
# DXT, write_count: 336, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832      4.7683      4.7688  [ 65]
 X_POSIX       0  write        1           83200        10976      4.7725      4.7726  [ 65]
 X_POSIX       0  write        2      5176904672        21960      4.7762      4.7766  [204]
 X_POSIX       0  write        3           96224     33458208      5.1561      5.1849  [ 65]
 X_POSIX       0  write        4      1073741824     33554432      5.1949      5.2233  [ 65]
 X_POSIX       0  write        5      2147483648     33554432      5.2312      5.2630  [ 65]
 X_POSIX       0  write        6      3221225472     33554432      5.2723      5.3009  [ 65]
 X_POSIX       0  write        7      4294967296     33554432      5.3097      5.3545  [ 65]
 X_POSIX       0  write        8      5176928680      1277332      5.4236      5.5509  [204]
 X_POSIX       0  write        9      5178206012       182476      5.5510      5.5512  [204]
 X_POSIX       0  write       10     23055003784       364960      5.5547      5.6461  [220]
 X_POSIX       0  write       11      5368709120     33554432      5.7494      5.7778  [ 65]
 X_POSIX       0  write       12      6442450944     33554432      5.9262      5.9547  [ 65]
 X_POSIX       0  write       13      7516192768     33554432      5.9740      6.0031  [ 65]
 X_POSIX       0  write       14      8589934592     33554432      6.0159      6.0451  [ 65]
 X_POSIX       0  write       15      9663676416     33554432      6.0645      6.0933  [ 65]
 X_POSIX       0  write       16     10737418240     33554432      6.1059      6.1351  [ 65]
 X_POSIX       0  write       17     11811160064     33554432      6.1567      6.1858  [ 65]
 X_POSIX       0  write       18     12884901888     33554432      6.1983      6.2273  [ 65]
 X_POSIX       0  write       19     13958643712     33554432      6.2558      6.2851  [ 65]
 X_POSIX       0  write       20     15032385536     33554432      6.2959      6.3246  [ 65]
 X_POSIX       0  write       21     16106127360     33554432      6.3447      6.3740  [ 65]
 X_POSIX       0  write       22     17179869184     33554432      6.3988      6.4275  [ 65]
 X_POSIX       0  write       23     18253611008     33554432      6.4468      6.4757  [ 65]
 X_POSIX       0  write       24     19327352832     33554432      6.4993      6.5281  [ 65]
 X_POSIX       0  write       25     20401094656     33554432      6.5437      6.5727  [ 65]
 X_POSIX       0  write       26     21474836480     33554432      6.6000      6.6290  [ 65]
 X_POSIX       0  write       27     22548578304     33554432      6.6397      6.6692  [ 65]
 X_POSIX       0  write       28     23055368744     13157480      6.7179      7.0396  [220]
 X_POSIX       0  write       29     23068526224      1879640      7.0397      7.0416  [220]
 X_POSIX       0  write       30    314830664168      3759288      7.0753      7.4013  [159]
 X_POSIX       0  write       31     23622320128     33554432      7.7105      7.7397  [ 65]
 X_POSIX       0  write       32     24696061952     33554432      7.7507      7.8182  [ 65]
 X_POSIX       0  write       33     25769803776     33554432      7.8798      7.9090  [ 65]
 X_POSIX       0  write       34     26843545600     33554432      7.9170      7.9456  [ 65]
 X_POSIX       0  write       35     27917287424     33554432      7.9537      7.9927  [ 65]
 X_POSIX       0  write       36     28991029248     33554432      8.0296      8.0584  [ 65]
 X_POSIX       0  write       37     30064771072     33554432      8.0684      8.0974  [ 65]
 X_POSIX       0  write       38     31138512896     33554432      8.1097      8.1439  [ 65]
 X_POSIX       0  write       39     32212254720     33554432      8.1539      8.2128  [ 65]
 X_POSIX       0  write       40     33285996544     33554432      8.2212      8.2506  [ 65]
 X_POSIX       0  write       41     34359738368     33554432      8.2603      8.2894  [ 65]
 X_POSIX       0  write       42     35433480192     33554432      8.3009      8.3299  [ 65]
 X_POSIX       0  write       43     36507222016     33554432      8.3773      8.4059  [ 65]
