# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11557588
# start_time: 1523499500
# start_time_asci: Wed Apr 11 19:18:20 2018
# end_time: 1523499514
# end_time_asci: Wed Apr 11 19:18:34 2018
# nprocs: 512
# run time: 15
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 566 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 34226 bytes (compressed), ver=3
# MPI-IO module: 60199 bytes (compressed), ver=2
# LUSTRE module: 70252 bytes (compressed), ver=1
# STDIO module: 37723 bytes (compressed), ver=1
# DXT_POSIX module: 22774 bytes (compressed), ver=1
# DXT_MPIIO module: 57910 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_O0ICcM_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00564
# DXT, write_count: 96, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      3.4491      3.4495  [222]
 X_POSIX       0  write        1           34368         4000      3.4522      3.4522  [222]
 X_POSIX       0  write        2      1886632416         8008      3.4528      3.4532  [ 90]
 X_POSIX       0  write        3           40416     67068448      3.7684      3.8356  [222]
 X_POSIX       0  write        4      1886642472       465500      3.8783      3.9369  [ 90]
 X_POSIX       0  write        5      1887107972        66500      3.9369      3.9370  [ 90]
 X_POSIX       0  write        6      8401978568       133008      3.9385      3.9391  [198]
 X_POSIX       0  write        7      2147483648     67108864      4.0642      4.1292  [222]
 X_POSIX       0  write        8      4294967296     67108864      4.2341      4.2936  [222]
 X_POSIX       0  write        9      6442450944     67108864      4.4123      4.4770  [222]
 X_POSIX       0  write       10      8402111576      4795000      4.6071      4.7506  [198]
 X_POSIX       0  write       11      8406906576       685000      4.7507      4.7513  [198]
 X_POSIX       0  write       12    114734217624      1370008      4.7643      4.8726  [204]
 X_POSIX       0  write       13      8589934592     67108864      5.1203      5.1888  [222]
 X_POSIX       0  write       14     10737418240     67108864      5.5561      5.6272  [222]
 X_POSIX       0  write       15     12884901888     67108864      5.6870      5.7545  [222]
 X_POSIX       0  write       16     15032385536     67108864      5.8296      5.9004  [222]
 X_POSIX       0  write       17     17179869184     67108864      5.9418      6.0858  [222]
 X_POSIX       0  write       18     19327352832     67108864      6.1289      6.2025  [222]
 X_POSIX       0  write       19     21474836480     67108864      6.2587      6.3295  [222]
 X_POSIX       0  write       20     23622320128     67108864      6.3841      6.4542  [222]
 X_POSIX       0  write       21     25769803776     67108864      6.4999      6.5686  [222]
 X_POSIX       0  write       22     27917287424     67108864      6.6080      6.6790  [222]
 X_POSIX       0  write       23     30064771072     67108864      6.7160      6.7886  [222]
 X_POSIX       0  write       24     32212254720     67108864      6.9539      7.0253  [222]
 X_POSIX       0  write       25     34359738368     67108864      7.0729      7.1444  [222]
 X_POSIX       0  write       26     36507222016     67108864      7.2028      7.2741  [222]
 X_POSIX       0  write       27     38654705664     67108864      7.3167      7.3831  [222]
 X_POSIX       0  write       28     40802189312     67108864      7.4274      7.5004  [222]
 X_POSIX       0  write       29     42949672960     67108864      7.5412      7.6109  [222]
 X_POSIX       0  write       30     45097156608     67108864      7.6623      7.7345  [222]
 X_POSIX       0  write       31     47244640256     67108864      7.7822      7.8536  [222]
 X_POSIX       0  write       32     49392123904     67108864      7.9058      7.9741  [222]
 X_POSIX       0  write       33     51539607552     67108864      8.0051      8.0733  [222]
 X_POSIX       0  write       34     53687091200     67108864      8.1565      8.2280  [222]
 X_POSIX       0  write       35     55834574848     67108864      8.2683      8.3365  [222]
 X_POSIX       0  write       36     57982058496     67108864      8.3898      8.4713  [222]
 X_POSIX       0  write       37     60129542144     67108864      8.5247      8.5912  [222]
 X_POSIX       0  write       38     62277025792     67108864      8.6521      8.7239  [222]
 X_POSIX       0  write       39     64424509440     67108864      8.7700      8.8385  [222]
 X_POSIX       0  write       40     66571993088     67108864      8.8962      8.9657  [222]
 X_POSIX       0  write       41     68719476736     67108864      9.0328      9.1165  [222]
 X_POSIX       0  write       42     70866960384     67108864      9.1547      9.2645  [222]
 X_POSIX       0  write       43     73014444032     67108864      9.3108      9.3835  [222]
 X_POSIX       0  write       44     75161927680     67108864      9.4299      9.5061  [222]
 X_POSIX       0  write       45     77309411328     67108864      9.5563      9.6376  [222]
 X_POSIX       0  write       46     79456894976     67108864      9.6521      9.7159  [222]
 X_POSIX       0  write       47     81604378624     67108864      9.7574      9.8280  [222]
 X_POSIX       0  write       48     83751862272     67108864      9.8619      9.9206  [222]
 X_POSIX       0  write       49     85899345920     67108864     10.2148     10.2838  [222]
