# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11557703
# start_time: 1523499172
# start_time_asci: Wed Apr 11 19:12:52 2018
# end_time: 1523499194
# end_time_asci: Wed Apr 11 19:13:14 2018
# nprocs: 512
# run time: 23
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 34141 bytes (compressed), ver=3
# MPI-IO module: 59296 bytes (compressed), ver=2
# LUSTRE module: 87176 bytes (compressed), ver=1
# STDIO module: 37703 bytes (compressed), ver=1
# DXT_POSIX module: 36229 bytes (compressed), ver=1
# DXT_MPIIO module: 58618 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_XCqqMQ_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01548
# DXT, write_count: 135, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      6.2068      6.2074  [220]
 X_POSIX       0  write        1           54752         6912      6.2075      6.2076  [220]
 X_POSIX       0  write        2      3260094688        13832      6.2259      6.2263  [146]
 X_POSIX       0  write        3           63712     67045152      7.0980      7.1684  [220]
 X_POSIX       0  write        4      2147483648     67108864      7.2011      7.2622  [220]
 X_POSIX       0  write        5      3260110568       804384      7.2680      7.2687  [146]
 X_POSIX       0  write        6      3260914952       114912      7.2687      7.2689  [146]
 X_POSIX       0  write        7     14518608360       229832      7.2715      7.3062  [224]
 X_POSIX       0  write        8      4294967296     67108864      7.4452      7.5157  [220]
 X_POSIX       0  write        9      6442450944     67108864      7.5736      7.6402  [220]
 X_POSIX       0  write       10      8589934592     67108864      7.7275      7.8018  [220]
 X_POSIX       0  write       11     10737418240     67108864      7.8679      7.9404  [220]
 X_POSIX       0  write       12     12884901888     67108864      8.0876      8.1648  [220]
 X_POSIX       0  write       13     14518838192      8285760      8.2965      8.5300  [224]
 X_POSIX       0  write       14     14527123952      1183680      8.5301      8.5312  [224]
 X_POSIX       0  write       15    198260715952      2367368      8.5560      8.7937  [ 60]
 X_POSIX       0  write       16     15032385536     67108864      9.1483      9.2190  [220]
 X_POSIX       0  write       17     17179869184     67108864      9.2739      9.3464  [220]
 X_POSIX       0  write       18     19327352832     67108864      9.4767      9.5453  [220]
 X_POSIX       0  write       19     21474836480     67108864      9.6134      9.6905  [220]
 X_POSIX       0  write       20     23622320128     67108864      9.7379      9.8079  [220]
 X_POSIX       0  write       21     25769803776     67108864      9.8394      9.9094  [220]
 X_POSIX       0  write       22     27917287424     67108864      9.9517     10.0255  [220]
 X_POSIX       0  write       23     30064771072     67108864     10.0640     10.1409  [220]
 X_POSIX       0  write       24     32212254720     67108864     10.1783     10.2531  [220]
 X_POSIX       0  write       25     34359738368     67108864     10.2929     10.3689  [220]
 X_POSIX       0  write       26     36507222016     67108864     10.4142     10.4928  [220]
 X_POSIX       0  write       27     38654705664     67108864     10.5376     10.6115  [220]
 X_POSIX       0  write       28     40802189312     67108864     10.6570     10.7350  [220]
 X_POSIX       0  write       29     42949672960     67108864     10.7713     10.8460  [220]
 X_POSIX       0  write       30     45097156608     67108864     10.8833     10.9556  [220]
 X_POSIX       0  write       31     47244640256     67108864     11.0543     11.1329  [220]
 X_POSIX       0  write       32     49392123904     67108864     11.1640     11.2373  [220]
 X_POSIX       0  write       33     51539607552     67108864     11.2781     11.3506  [220]
 X_POSIX       0  write       34     53687091200     67108864     11.3940     11.4641  [220]
 X_POSIX       0  write       35     55834574848     67108864     11.5219     11.5942  [220]
 X_POSIX       0  write       36     57982058496     67108864     11.6274     11.6973  [220]
 X_POSIX       0  write       37     60129542144     67108864     11.7389     11.8161  [220]
 X_POSIX       0  write       38     62277025792     67108864     11.8529     11.9280  [220]
 X_POSIX       0  write       39     64424509440     67108864     11.9677     12.0436  [220]
 X_POSIX       0  write       40     66571993088     67108864     12.1715     12.2389  [220]
 X_POSIX       0  write       41     68719476736     67108864     12.2775     12.3381  [220]
 X_POSIX       0  write       42     70866960384     67108864     12.5637     12.6371  [220]
 X_POSIX       0  write       43     73014444032     67108864     12.6684     12.7354  [220]
 X_POSIX       0  write       44     75161927680     67108864     12.7698     12.8372  [220]
 X_POSIX       0  write       45     77309411328     67108864     12.8788     12.9486  [220]
 X_POSIX       0  write       46     79456894976     67108864     12.9832     13.0436  [220]
