# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11557813
# start_time: 1523501509
# start_time_asci: Wed Apr 11 19:51:49 2018
# end_time: 1523501546
# end_time_asci: Wed Apr 11 19:52:26 2018
# nprocs: 512
# run time: 38
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 33938 bytes (compressed), ver=3
# MPI-IO module: 59857 bytes (compressed), ver=2
# LUSTRE module: 86535 bytes (compressed), ver=1
# STDIO module: 37990 bytes (compressed), ver=1
# DXT_POSIX module: 54392 bytes (compressed), ver=1
# DXT_MPIIO module: 59049 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_6rZLV7_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00557
# DXT, write_count: 189, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 56 26 192 180 178 104 170 124 42 122 152 130 70 100 160 88 247 243 227 219 215 177 233 221 223 207 89 229 91 213 237 199
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832     10.0208     10.0213  [ 56]
 X_POSIX       0  write        1           83200        10976     10.0219     10.0220  [ 56]
 X_POSIX       0  write        2      5176904672        21960     10.0274     10.0279  [100]
 X_POSIX       0  write        3           96224     67012640     10.5816     10.6532  [ 56]
 X_POSIX       0  write        4      2147483648     67108864     10.7034     10.7745  [ 56]
 X_POSIX       0  write        5      4294967296     67108864     10.7868     10.8467  [ 56]
 X_POSIX       0  write        6      5176928680      1277332     10.9533     11.0823  [100]
 X_POSIX       0  write        7      5178206012       182476     11.0824     11.0826  [100]
 X_POSIX       0  write        8     23055003784       364960     11.0862     11.1374  [221]
 X_POSIX       0  write        9      6442450944     67108864     11.2704     11.3856  [ 56]
 X_POSIX       0  write       10      8589934592     67108864     11.6050     11.6785  [ 56]
 X_POSIX       0  write       11     10737418240     67108864     11.7465     11.8155  [ 56]
 X_POSIX       0  write       12     12884901888     67108864     11.8736     11.9459  [ 56]
 X_POSIX       0  write       13     15032385536     67108864     11.9987     12.0694  [ 56]
 X_POSIX       0  write       14     17179869184     67108864     12.1433     12.2186  [ 56]
 X_POSIX       0  write       15     19327352832     67108864     12.2706     12.3341  [ 56]
 X_POSIX       0  write       16     21474836480     67108864     12.3921     12.4590  [ 56]
 X_POSIX       0  write       17     23055368744     13157480     12.6389     12.9537  [221]
 X_POSIX       0  write       18     23068526224      1879640     12.9538     12.9556  [221]
 X_POSIX       0  write       19    314830664168      3759288     12.9895     13.3625  [219]
 X_POSIX       0  write       20     23622320128     67108864     13.8663     13.9388  [ 56]
 X_POSIX       0  write       21     25769803776     67108864     13.9840     14.0510  [ 56]
 X_POSIX       0  write       22     27917287424     67108864     14.2126     14.2827  [ 56]
 X_POSIX       0  write       23     30064771072     67108864     14.3134     14.3742  [ 56]
 X_POSIX       0  write       24     32212254720     67108864     14.4139     14.4807  [ 56]
 X_POSIX       0  write       25     34359738368     67108864     14.5343     14.6035  [ 56]
 X_POSIX       0  write       26     36507222016     67108864     14.6391     14.7087  [ 56]
 X_POSIX       0  write       27     38654705664     67108864     14.8064     14.8704  [ 56]
 X_POSIX       0  write       28     40802189312     67108864     15.0383     15.1095  [ 56]
 X_POSIX       0  write       29     42949672960     67108864     15.1681     15.2379  [ 56]
 X_POSIX       0  write       30     45097156608     67108864     15.2963     15.3642  [ 56]
 X_POSIX       0  write       31     47244640256     67108864     15.4088     15.4800  [ 56]
 X_POSIX       0  write       32     49392123904     67108864     15.5342     15.6067  [ 56]
 X_POSIX       0  write       33     51539607552     67108864     15.6550     15.7265  [ 56]
 X_POSIX       0  write       34     53687091200     67108864     15.7771     15.8488  [ 56]
 X_POSIX       0  write       35     55834574848     67108864     15.9022     15.9723  [ 56]
 X_POSIX       0  write       36     57982058496     67108864     16.0340     16.1066  [ 56]
 X_POSIX       0  write       37     60129542144     67108864     16.2336     16.2933  [ 56]
 X_POSIX       0  write       38     62277025792     67108864     16.4402     16.5116  [ 56]
 X_POSIX       0  write       39     64424509440     67108864     16.5523     16.6195  [ 56]
 X_POSIX       0  write       40     66571993088     67108864     16.6535     16.7224  [ 56]
 X_POSIX       0  write       41     68719476736     67108864     16.7546     16.8218  [ 56]
 X_POSIX       0  write       42     70866960384     67108864     16.8641     16.9461  [ 56]
 X_POSIX       0  write       43     73014444032     67108864     16.9770     17.0462  [ 56]
