# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11557810
# start_time: 1523503070
# start_time_asci: Wed Apr 11 20:17:50 2018
# end_time: 1523503089
# end_time_asci: Wed Apr 11 20:18:09 2018
# nprocs: 1024
# run time: 20
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 510 bytes (compressed)
# POSIX module: 66913 bytes (compressed), ver=3
# MPI-IO module: 120853 bytes (compressed), ver=2
# LUSTRE module: 173468 bytes (compressed), ver=1
# STDIO module: 75359 bytes (compressed), ver=1
# DXT_POSIX module: 36192 bytes (compressed), ver=1
# DXT_MPIIO module: 115934 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_G2W3dq_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00539
# DXT, write_count: 135, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      4.1028      4.1034  [ 24]
 X_POSIX       0  write        1           54752         6912      4.1063      4.1063  [ 24]
 X_POSIX       0  write        2      3260094688        13832      4.1068      4.1072  [ 36]
 X_POSIX       0  write        3           63712     67045152      4.4239      4.4857  [ 24]
 X_POSIX       0  write        4      2147483648     67108864      4.5068      4.5679  [ 24]
 X_POSIX       0  write        5      3260110568       804384      4.5877      4.6895  [ 36]
 X_POSIX       0  write        6      3260914952       114912      4.6896      4.6897  [ 36]
 X_POSIX       0  write        7     14518608360       229832      4.6920      4.7313  [ 96]
 X_POSIX       0  write        8      4294967296     67108864      4.8784      4.9510  [ 24]
 X_POSIX       0  write        9      6442450944     67108864      5.0302      5.0958  [ 24]
 X_POSIX       0  write       10      8589934592     67108864      5.5545      5.6212  [ 24]
 X_POSIX       0  write       11     10737418240     67108864      5.7152      5.7752  [ 24]
 X_POSIX       0  write       12     12884901888     67108864      6.3139      6.3728  [ 24]
 X_POSIX       0  write       13     14518838192      8285760      6.5371      6.7350  [ 96]
 X_POSIX       0  write       14     14527123952      1183680      6.7351      6.7362  [ 96]
 X_POSIX       0  write       15    198260715952      2367368      6.7575      6.9472  [ 58]
 X_POSIX       0  write       16     15032385536     67108864      7.2098      7.2894  [ 24]
 X_POSIX       0  write       17     17179869184     67108864      7.3136      7.3865  [ 24]
 X_POSIX       0  write       18     19327352832     67108864      7.4845      7.5448  [ 24]
 X_POSIX       0  write       19     21474836480     67108864      7.5759      7.6381  [ 24]
 X_POSIX       0  write       20     23622320128     67108864      7.6833      7.7438  [ 24]
 X_POSIX       0  write       21     25769803776     67108864      7.7723      7.8342  [ 24]
 X_POSIX       0  write       22     27917287424     67108864      7.8884      7.9498  [ 24]
 X_POSIX       0  write       23     30064771072     67108864      7.9847      8.0464  [ 24]
 X_POSIX       0  write       24     32212254720     67108864      8.0852      8.1466  [ 24]
 X_POSIX       0  write       25     34359738368     67108864      8.1869      8.2479  [ 24]
 X_POSIX       0  write       26     36507222016     67108864      8.2789      8.3520  [ 24]
 X_POSIX       0  write       27     38654705664     67108864      8.3874      8.4577  [ 24]
 X_POSIX       0  write       28     40802189312     67108864      8.5147      8.5812  [ 24]
 X_POSIX       0  write       29     42949672960     67108864      8.6050      8.6681  [ 24]
 X_POSIX       0  write       30     45097156608     67108864      8.6882      8.7587  [ 24]
 X_POSIX       0  write       31     47244640256     67108864      8.7806      8.8410  [ 24]
 X_POSIX       0  write       32     49392123904     67108864      8.9264      8.9917  [ 24]
 X_POSIX       0  write       33     51539607552     67108864      9.0162      9.0864  [ 24]
 X_POSIX       0  write       34     53687091200     67108864      9.1127      9.1753  [ 24]
 X_POSIX       0  write       35     55834574848     67108864      9.1994      9.2614  [ 24]
 X_POSIX       0  write       36     57982058496     67108864      9.3506      9.4115  [ 24]
 X_POSIX       0  write       37     60129542144     67108864      9.4444      9.5065  [ 24]
 X_POSIX       0  write       38     62277025792     67108864      9.5682      9.6284  [ 24]
 X_POSIX       0  write       39     64424509440     67108864      9.6523      9.7129  [ 24]
 X_POSIX       0  write       40     66571993088     67108864      9.7383      9.8157  [ 24]
 X_POSIX       0  write       41     68719476736     67108864      9.8328      9.8977  [ 24]
 X_POSIX       0  write       42     70866960384     67108864      9.9973     10.0643  [ 24]
 X_POSIX       0  write       43     73014444032     67108864     10.0885     10.1595  [ 24]
 X_POSIX       0  write       44     75161927680     67108864     10.1798     10.2427  [ 24]
 X_POSIX       0  write       45     77309411328     67108864     10.2620     10.3246  [ 24]
 X_POSIX       0  write       46     79456894976     67108864     10.4340     10.5032  [ 24]
 X_POSIX       0  write       47     81604378624     67108864     10.5219     10.5939  [ 24]
 X_POSIX       0  write       48     83751862272     67108864     11.0891     11.1494  [ 24]
 X_POSIX       0  write       49     85899345920     67108864     11.1647     11.2475  [ 24]
 X_POSIX       0  write       50     88046829568     67108864     12.0394     12.1092  [ 24]
 X_POSIX       0  write       51     90194313216     67108864     12.3735     12.4493  [ 24]
 X_POSIX       0  write       52     92341796864     67108864     12.5028     12.5631  [ 24]
 X_POSIX       0  write       53     94489280512     67108864     12.7409     12.8019  [ 24]
 X_POSIX       0  write       54     96636764160     67108864     12.8139     12.8889  [ 24]
 X_POSIX       0  write       55     98784247808     67108864     13.0366     13.1043  [ 24]
 X_POSIX       0  write       56    100931731456     67108864     13.2660     13.3420  [ 24]
