# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11559135
# start_time: 1523504023
# start_time_asci: Wed Apr 11 20:33:43 2018
# end_time: 1523504056
# end_time_asci: Wed Apr 11 20:34:16 2018
# nprocs: 1024
# run time: 34
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 510 bytes (compressed)
# POSIX module: 66441 bytes (compressed), ver=3
# MPI-IO module: 119621 bytes (compressed), ver=2
# LUSTRE module: 174693 bytes (compressed), ver=1
# STDIO module: 75970 bytes (compressed), ver=1
# DXT_POSIX module: 54430 bytes (compressed), ver=1
# DXT_MPIIO module: 117674 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_86c1pL_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid02057
# DXT, write_count: 189, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50 166 56 26 192 180 178 104 170 124 42 122 152 130 70
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832      8.7245      8.7252  [136]
 X_POSIX       0  write        1           83200        10976      8.7318      8.7318  [136]
 X_POSIX       0  write        2      5176904672        21960      8.7432      8.7439  [116]
 X_POSIX       0  write        3           96224     67012640      9.4255      9.4843  [136]
 X_POSIX       0  write        4      2147483648     67108864      9.5061      9.5639  [136]
 X_POSIX       0  write        5      4294967296     67108864      9.5802      9.6428  [136]
 X_POSIX       0  write        6      5176928680      1277332      9.6873      9.7981  [116]
 X_POSIX       0  write        7      5178206012       182476      9.7981      9.7983  [116]
 X_POSIX       0  write        8     23055003784       364960      9.8019      9.9049  [178]
 X_POSIX       0  write        9      6442450944     67108864     10.0290     10.0867  [136]
 X_POSIX       0  write       10      8589934592     67108864     10.2821     10.3384  [136]
 X_POSIX       0  write       11     10737418240     67108864     10.3978     10.4541  [136]
 X_POSIX       0  write       12     12884901888     67108864     10.7838     10.8422  [136]
 X_POSIX       0  write       13     15032385536     67108864     10.8921     10.9494  [136]
 X_POSIX       0  write       14     17179869184     67108864     11.0057     11.0635  [136]
 X_POSIX       0  write       15     19327352832     67108864     11.1503     11.2078  [136]
 X_POSIX       0  write       16     21474836480     67108864     11.2723     11.3297  [136]
 X_POSIX       0  write       17     23055368744     13157480     11.4865     11.8705  [178]
 X_POSIX       0  write       18     23068526224      1879640     11.8706     11.8725  [178]
 X_POSIX       0  write       19    314830664168      3759288     11.9065     12.2199  [ 56]
 X_POSIX       0  write       20     23622320128     67108864     12.5549     12.6147  [136]
 X_POSIX       0  write       21     25769803776     67108864     12.6519     12.7088  [136]
 X_POSIX       0  write       22     27917287424     67108864     12.8186     12.8837  [136]
 X_POSIX       0  write       23     30064771072     67108864     12.9243     12.9911  [136]
 X_POSIX       0  write       24     32212254720     67108864     13.0328     13.0926  [136]
 X_POSIX       0  write       25     34359738368     67108864     13.1303     13.1905  [136]
 X_POSIX       0  write       26     36507222016     67108864     13.2318     13.2921  [136]
 X_POSIX       0  write       27     38654705664     67108864     13.3378     13.3995  [136]
 X_POSIX       0  write       28     40802189312     67108864     13.4553     13.5156  [136]
 X_POSIX       0  write       29     42949672960     67108864     13.5473     13.6085  [136]
 X_POSIX       0  write       30     45097156608     67108864     13.6337     13.6945  [136]
 X_POSIX       0  write       31     47244640256     67108864     13.8969     13.9626  [136]
 X_POSIX       0  write       32     49392123904     67108864     14.0027     14.0619  [136]
 X_POSIX       0  write       33     51539607552     67108864     14.1983     14.2572  [136]
 X_POSIX       0  write       34     53687091200     67108864     14.3235     14.3840  [136]
 X_POSIX       0  write       35     55834574848     67108864     14.4243     14.4852  [136]
 X_POSIX       0  write       36     57982058496     67108864     14.5412     14.6013  [136]
 X_POSIX       0  write       37     60129542144     67108864     14.6398     14.6999  [136]
 X_POSIX       0  write       38     62277025792     67108864     14.7392     14.8004  [136]
 X_POSIX       0  write       39     64424509440     67108864     14.8424     14.9290  [136]
 X_POSIX       0  write       40     66571993088     67108864     14.9717     15.0327  [136]
 X_POSIX       0  write       41     68719476736     67108864     15.0715     15.1494  [136]
 X_POSIX       0  write       42     70866960384     67108864     15.1866     15.2467  [136]
 X_POSIX       0  write       43     73014444032     67108864     15.2870     15.3664  [136]
 X_POSIX       0  write       44     75161927680     67108864     15.4201     15.4811  [136]
 X_POSIX       0  write       45     77309411328     67108864     15.4995     15.5620  [136]
