# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11557812
# start_time: 1523503432
# start_time_asci: Wed Apr 11 20:23:52 2018
# end_time: 1523503451
# end_time_asci: Wed Apr 11 20:24:11 2018
# nprocs: 2048
# run time: 20
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 562 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 131774 bytes (compressed), ver=3
# MPI-IO module: 231342 bytes (compressed), ver=2
# LUSTRE module: 337617 bytes (compressed), ver=1
# STDIO module: 148094 bytes (compressed), ver=1
# DXT_POSIX module: 36200 bytes (compressed), ver=1
# DXT_MPIIO module: 241231 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_wAoja6_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00926
# DXT, write_count: 135, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      3.5059      3.5067  [156]
 X_POSIX       0  write        1           54752         6912      3.5067      3.5068  [156]
 X_POSIX       0  write        2      3260094688        13832      3.5257      3.5262  [ 46]
 X_POSIX       0  write        3           63712     67045152      5.1097      5.1710  [156]
 X_POSIX       0  write        4      2147483648     67108864      5.1894      5.3483  [156]
 X_POSIX       0  write        5      3260110568       804384      5.3567      5.4771  [ 46]
 X_POSIX       0  write        6      3260914952       114912      5.4771      5.4773  [ 46]
 X_POSIX       0  write        7     14518608360       229832      5.4796      5.5118  [  0]
 X_POSIX       0  write        8      4294967296     67108864      5.6667      5.7242  [156]
 X_POSIX       0  write        9      6442450944     67108864      5.8743      5.9321  [156]
 X_POSIX       0  write       10      8589934592     67108864      5.9918      6.0492  [156]
 X_POSIX       0  write       11     10737418240     67108864      6.0984      6.1584  [156]
 X_POSIX       0  write       12     12884901888     67108864      6.2199      6.2800  [156]
 X_POSIX       0  write       13     14518838192      8285760      6.4094      6.6368  [  0]
 X_POSIX       0  write       14     14527123952      1183680      6.6368      6.6380  [  0]
 X_POSIX       0  write       15    198260715952      2367368      6.6592      7.0299  [  8]
 X_POSIX       0  write       16     15032385536     67108864      7.2916      7.3726  [156]
 X_POSIX       0  write       17     17179869184     67108864      7.4035      7.4847  [156]
 X_POSIX       0  write       18     19327352832     67108864      7.6200      7.6777  [156]
 X_POSIX       0  write       19     21474836480     67108864      7.7189      7.7788  [156]
 X_POSIX       0  write       20     23622320128     67108864      7.8127      7.8727  [156]
 X_POSIX       0  write       21     25769803776     67108864      7.9094      7.9776  [156]
 X_POSIX       0  write       22     27917287424     67108864      8.0057      8.0652  [156]
 X_POSIX       0  write       23     30064771072     67108864      8.0965      8.1595  [156]
 X_POSIX       0  write       24     32212254720     67108864      8.2088      8.2767  [156]
 X_POSIX       0  write       25     34359738368     67108864      8.3049      8.3654  [156]
 X_POSIX       0  write       26     36507222016     67108864      8.4124      8.4726  [156]
 X_POSIX       0  write       27     38654705664     67108864      8.5067      8.5675  [156]
 X_POSIX       0  write       28     40802189312     67108864      8.6262      8.6852  [156]
 X_POSIX       0  write       29     42949672960     67108864      8.7166      8.7763  [156]
 X_POSIX       0  write       30     45097156608     67108864      8.8117      8.8763  [156]
 X_POSIX       0  write       31     47244640256     67108864      8.9170      8.9774  [156]
 X_POSIX       0  write       32     49392123904     67108864      9.0373      9.0964  [156]
 X_POSIX       0  write       33     51539607552     67108864      9.1272      9.1874  [156]
 X_POSIX       0  write       34     53687091200     67108864      9.2310      9.2969  [156]
 X_POSIX       0  write       35     55834574848     67108864      9.3221      9.3833  [156]
 X_POSIX       0  write       36     57982058496     67108864      9.4403      9.4999  [156]
 X_POSIX       0  write       37     60129542144     67108864      9.5330      9.5933  [156]
 X_POSIX       0  write       38     62277025792     67108864      9.6600      9.7191  [156]
 X_POSIX       0  write       39     64424509440     67108864      9.7601      9.8191  [156]
 X_POSIX       0  write       40     66571993088     67108864      9.8507      9.9112  [156]
 X_POSIX       0  write       41     68719476736     67108864      9.9762     10.0350  [156]
 X_POSIX       0  write       42     70866960384     67108864     10.0784     10.1383  [156]
 X_POSIX       0  write       43     73014444032     67108864     10.1772     10.2368  [156]
 X_POSIX       0  write       44     75161927680     67108864     10.2638     10.3490  [156]
 X_POSIX       0  write       45     77309411328     67108864     10.3850     10.4449  [156]
