# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11559136
# start_time: 1523504930
# start_time_asci: Wed Apr 11 20:48:50 2018
# end_time: 1523504960
# end_time_asci: Wed Apr 11 20:49:20 2018
# nprocs: 2048
# run time: 31
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 564 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 132528 bytes (compressed), ver=3
# MPI-IO module: 246046 bytes (compressed), ver=2
# LUSTRE module: 341696 bytes (compressed), ver=1
# STDIO module: 149392 bytes (compressed), ver=1
# DXT_POSIX module: 54574 bytes (compressed), ver=1
# DXT_MPIIO module: 234375 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_oKlUbN_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01179
# DXT, write_count: 189, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 32
# DXT, Lustre OST obdidx: 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832      4.7035      4.7041  [ 94]
 X_POSIX       0  write        1           83200        10976      4.7064      4.7064  [ 94]
 X_POSIX       0  write        2      5176904672        21960      4.7166      4.7171  [168]
 X_POSIX       0  write        3           96224     67012640      5.0844      5.1426  [ 94]
 X_POSIX       0  write        4      2147483648     67108864      5.1559      5.2267  [ 94]
 X_POSIX       0  write        5      4294967296     67108864      5.2375      5.2989  [ 94]
 X_POSIX       0  write        6      5176928680      1277332      5.3306      5.5829  [168]
 X_POSIX       0  write        7      5178206012       182476      5.5830      5.5832  [168]
 X_POSIX       0  write        8     23055003784       364960      5.5867      5.6457  [ 10]
 X_POSIX       0  write        9      6442450944     67108864      5.7865      5.8436  [ 94]
 X_POSIX       0  write       10      8589934592     67108864      5.9923      6.0485  [ 94]
 X_POSIX       0  write       11     10737418240     67108864      6.0893      6.1463  [ 94]
 X_POSIX       0  write       12     12884901888     67108864      6.2026      6.2595  [ 94]
 X_POSIX       0  write       13     15032385536     67108864      6.2988      6.3666  [ 94]
 X_POSIX       0  write       14     17179869184     67108864      6.4263      6.4826  [ 94]
 X_POSIX       0  write       15     19327352832     67108864      6.5293      6.5864  [ 94]
 X_POSIX       0  write       16     21474836480     67108864      6.6513      6.7086  [ 94]
 X_POSIX       0  write       17     23055368744     13157480      6.8477      7.1451  [ 10]
 X_POSIX       0  write       18     23068526224      1879640      7.1452      7.1470  [ 10]
 X_POSIX       0  write       19    314830664168      3759288      7.1805      7.5920  [136]
 X_POSIX       0  write       20     23622320128     67108864      7.9040      7.9657  [ 94]
 X_POSIX       0  write       21     25769803776     67108864      7.9952      8.0538  [ 94]
 X_POSIX       0  write       22     27917287424     67108864      8.2283      8.3165  [ 94]
 X_POSIX       0  write       23     30064771072     67108864      8.3528      8.4888  [ 94]
 X_POSIX       0  write       24     32212254720     67108864      8.5293      8.6190  [ 94]
 X_POSIX       0  write       25     34359738368     67108864      8.6529      8.7183  [ 94]
 X_POSIX       0  write       26     36507222016     67108864      8.7610      8.8250  [ 94]
 X_POSIX       0  write       27     38654705664     67108864      8.8666      8.9234  [ 94]
 X_POSIX       0  write       28     40802189312     67108864      8.9659      9.0232  [ 94]
 X_POSIX       0  write       29     42949672960     67108864      9.0507      9.1082  [ 94]
 X_POSIX       0  write       30     45097156608     67108864      9.1276      9.1856  [ 94]
 X_POSIX       0  write       31     47244640256     67108864      9.3454      9.4118  [ 94]
 X_POSIX       0  write       32     49392123904     67108864      9.4471      9.5055  [ 94]
 X_POSIX       0  write       33     51539607552     67108864      9.5363      9.5959  [ 94]
 X_POSIX       0  write       34     53687091200     67108864      9.6320      9.6895  [ 94]
 X_POSIX       0  write       35     55834574848     67108864      9.7296      9.7857  [ 94]
 X_POSIX       0  write       36     57982058496     67108864     10.1907     10.2486  [ 94]
 X_POSIX       0  write       37     60129542144     67108864     10.2828     10.3410  [ 94]
 X_POSIX       0  write       38     62277025792     67108864     10.3821     10.4399  [ 94]
 X_POSIX       0  write       39     64424509440     67108864     10.5761     10.6342  [ 94]
 X_POSIX       0  write       40     66571993088     67108864     10.6723     10.7297  [ 94]
 X_POSIX       0  write       41     68719476736     67108864     11.1835     11.2406  [ 94]
 X_POSIX       0  write       42     70866960384     67108864     11.3970     11.4531  [ 94]
 X_POSIX       0  write       43     73014444032     67108864     11.4874     11.5438  [ 94]
