# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11545653
# start_time: 1523459197
# start_time_asci: Wed Apr 11 08:06:37 2018
# end_time: 1523459227
# end_time_asci: Wed Apr 11 08:07:07 2018
# nprocs: 512
# run time: 31
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 566 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 35952 bytes (compressed), ver=3
# MPI-IO module: 59272 bytes (compressed), ver=2
# LUSTRE module: 113131 bytes (compressed), ver=1
# STDIO module: 37923 bytes (compressed), ver=1
# DXT_POSIX module: 107379 bytes (compressed), ver=1
# DXT_MPIIO module: 58550 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_1HgOPV_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00976
# DXT, write_count: 189, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 64
# DXT, Lustre OST obdidx: 175 179 143 161 31 53 41 181 231 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 93 101 109 75 23 99 117 167 49 185 115 7 135 3 57 95 43 27 191 1 163 51 15 153 187 55 151 239 79
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832     11.6952     11.6959  [175]
 X_POSIX       0  write        1           83200        10976     11.6970     11.6970  [175]
 X_POSIX       0  write        2      5176904672        21960     11.7337     11.7342  [ 13]
 X_POSIX       0  write        3           96224     33458208     11.9787     12.0248  [175]
 X_POSIX       0  write        4      2147483648     33554432     12.0869     12.1267  [175]
 X_POSIX       0  write        5      4294967296     33554432     12.1637     12.2007  [175]
 X_POSIX       0  write        6      5176928680      1277332     12.2231     12.3029  [ 13]
 X_POSIX       0  write        7      5178206012       182476     12.3029     12.3031  [ 13]
 X_POSIX       0  write        8     23055003784       364960     12.3062     12.3225  [135]
 X_POSIX       0  write        9      6442450944     33554432     12.4864     12.5288  [175]
 X_POSIX       0  write       10      8589934592     33554432     12.6187     12.6652  [175]
 X_POSIX       0  write       11     10737418240     33554432     12.7044     12.7523  [175]
 X_POSIX       0  write       12     12884901888     33554432     12.8005     12.8612  [175]
 X_POSIX       0  write       13     15032385536     33554432     12.9069     12.9514  [175]
 X_POSIX       0  write       14     17179869184     33554432     12.9663     13.0078  [175]
 X_POSIX       0  write       15     19327352832     33554432     13.0912     13.1253  [175]
 X_POSIX       0  write       16     21474836480     33554432     13.2351     13.2741  [175]
 X_POSIX       0  write       17     23055368744     13157480     13.4355     13.6312  [135]
 X_POSIX       0  write       18     23068526224      1879640     13.6313     13.6333  [135]
 X_POSIX       0  write       19    314830664168      3759288     13.6686     13.8560  [ 75]
 X_POSIX       0  write       20     23622320128     33554432     14.4682     14.5157  [175]
 X_POSIX       0  write       21     25769803776     33554432     14.5601     14.5995  [175]
 X_POSIX       0  write       22     27917287424     33554432     14.7006     14.7416  [175]
 X_POSIX       0  write       23     30064771072     33554432     14.7791     14.8277  [175]
 X_POSIX       0  write       24     32212254720     33554432     14.8891     14.9391  [175]
 X_POSIX       0  write       25     34359738368     33554432     14.9853     15.0345  [175]
 X_POSIX       0  write       26     36507222016     33554432     15.1142     15.1563  [175]
 X_POSIX       0  write       27     38654705664     33554432     15.2256     15.2813  [175]
 X_POSIX       0  write       28     40802189312     33554432     15.3202     15.3853  [175]
 X_POSIX       0  write       29     42949672960     33554432     15.4500     15.5030  [175]
 X_POSIX       0  write       30     45097156608     33554432     15.5684     15.6113  [175]
 X_POSIX       0  write       31     47244640256     33554432     15.6703     15.7251  [175]
 X_POSIX       0  write       32     49392123904     33554432     15.7729     15.8201  [175]
 X_POSIX       0  write       33     51539607552     33554432     15.8701     15.9310  [175]
 X_POSIX       0  write       34     53687091200     33554432     15.9865     16.0345  [175]
 X_POSIX       0  write       35     55834574848     33554432     16.0695     16.1159  [175]
 X_POSIX       0  write       36     57982058496     33554432     16.1683     16.2204  [175]
 X_POSIX       0  write       37     60129542144     33554432     16.2745     16.3143  [175]
 X_POSIX       0  write       38     62277025792     33554432     16.3889     16.4376  [175]
 X_POSIX       0  write       39     64424509440     33554432     16.4862     16.5273  [175]
 X_POSIX       0  write       40     66571993088     33554432     16.5776     16.6314  [175]
 X_POSIX       0  write       41     68719476736     33554432     16.6645     16.7036  [175]
 X_POSIX       0  write       42     70866960384     33554432     16.8734     16.9112  [175]
 X_POSIX       0  write       43     73014444032     33554432     16.9300     16.9636  [175]
 X_POSIX       0  write       44     75161927680     33554432     17.1452     17.1918  [175]
 X_POSIX       0  write       45     77309411328     33554432     17.2954     17.3396  [175]
 X_POSIX       0  write       46     79456894976     33554432     17.3933     17.4441  [175]
 X_POSIX       0  write       47     81604378624     33554432     17.4746     17.5250  [175]
