# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11545570
# start_time: 1523458442
# start_time_asci: Wed Apr 11 07:54:02 2018
# end_time: 1523458465
# end_time_asci: Wed Apr 11 07:54:25 2018
# nprocs: 1024
# run time: 24
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 568 bytes (compressed)
# record table: 510 bytes (compressed)
# POSIX module: 68847 bytes (compressed), ver=3
# MPI-IO module: 121034 bytes (compressed), ver=2
# LUSTRE module: 228542 bytes (compressed), ver=1
# STDIO module: 74384 bytes (compressed), ver=1
# DXT_POSIX module: 71939 bytes (compressed), ver=1
# DXT_MPIIO module: 118674 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_MOGqHa_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00543
# DXT, write_count: 135, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 64
# DXT, Lustre OST obdidx: 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      4.3656      4.3661  [244]
 X_POSIX       0  write        1           54752         6912      4.3667      4.3668  [244]
 X_POSIX       0  write        2      3260094688        13832      4.3737      4.3742  [ 68]
 X_POSIX       0  write        3           63712     33490720      4.7375      4.7756  [244]
 X_POSIX       0  write        4      2147483648     33554432      4.8032      4.8394  [244]
 X_POSIX       0  write        5      3260110568       804384      4.8494      4.9600  [ 68]
 X_POSIX       0  write        6      3260914952       114912      4.9600      4.9602  [ 68]
 X_POSIX       0  write        7     14518608360       229832      4.9625      4.9808  [ 22]
 X_POSIX       0  write        8      4294967296     33554432      5.0990      8.1628  [244]
 X_POSIX       0  write        9      6442450944     33554432      8.1805      8.2163  [244]
 X_POSIX       0  write       10      8589934592     33554432      8.2811      8.3176  [244]
 X_POSIX       0  write       11     10737418240     33554432      8.3940      8.4671  [244]
 X_POSIX       0  write       12     12884901888     33554432      8.6800      8.7163  [244]
 X_POSIX       0  write       13     14518838192      8285760      8.9275      9.0346  [ 22]
 X_POSIX       0  write       14     14527123952      1183680      9.0347      9.0360  [ 22]
 X_POSIX       0  write       15    198260715952      2367368      9.0573      9.0792  [  6]
 X_POSIX       0  write       16     15032385536     33554432      9.4800      9.5271  [244]
 X_POSIX       0  write       17     17179869184     33554432      9.5411      9.5778  [244]
 X_POSIX       0  write       18     19327352832     33554432      9.7053      9.7406  [244]
 X_POSIX       0  write       19     21474836480     33554432      9.8102      9.8430  [244]
 X_POSIX       0  write       20     23622320128     33554432      9.8581      9.8948  [244]
 X_POSIX       0  write       21     25769803776     33554432     10.0407     10.0771  [244]
 X_POSIX       0  write       22     27917287424     33554432     10.2471     10.2841  [244]
 X_POSIX       0  write       23     30064771072     33554432     10.3169     10.3546  [244]
 X_POSIX       0  write       24     32212254720     33554432     10.3981     10.4300  [244]
 X_POSIX       0  write       25     34359738368     33554432     10.4582     10.4944  [244]
 X_POSIX       0  write       26     36507222016     33554432     10.5991     10.6363  [244]
 X_POSIX       0  write       27     38654705664     33554432     10.6757     10.7112  [244]
 X_POSIX       0  write       28     40802189312     33554432     10.7295     10.7654  [244]
 X_POSIX       0  write       29     42949672960     33554432     10.7920     10.8281  [244]
 X_POSIX       0  write       30     45097156608     33554432     10.8569     10.8945  [244]
 X_POSIX       0  write       31     47244640256     33554432     10.9159     10.9531  [244]
 X_POSIX       0  write       32     49392123904     33554432     11.0623     11.3355  [244]
 X_POSIX       0  write       33     51539607552     33554432     11.3481     11.3830  [244]
 X_POSIX       0  write       34     53687091200     33554432     11.4076     11.4428  [244]
 X_POSIX       0  write       35     55834574848     33554432     11.4667     11.4994  [244]
 X_POSIX       0  write       36     57982058496     33554432     11.5119     11.5444  [244]
 X_POSIX       0  write       37     60129542144     33554432     11.6206     11.6577  [244]
 X_POSIX       0  write       38     62277025792     33554432     12.0185     12.0521  [244]
 X_POSIX       0  write       39     64424509440     33554432     12.0603     12.0928  [244]
 X_POSIX       0  write       40     66571993088     33554432     12.2130     12.2453  [244]
 X_POSIX       0  write       41     68719476736     33554432     12.4421     12.4789  [244]
 X_POSIX       0  write       42     70866960384     33554432     12.5732     12.6087  [244]
 X_POSIX       0  write       43     73014444032     33554432     12.6978     12.7330  [244]
 X_POSIX       0  write       44     75161927680     33554432     12.7983     12.8298  [244]
 X_POSIX       0  write       45     77309411328     33554432     12.8519     12.8858  [244]
 X_POSIX       0  write       46     79456894976     33554432     12.9104     12.9431  [244]
 X_POSIX       0  write       47     81604378624     33554432     12.9759     13.0080  [244]
 X_POSIX       0  write       48     83751862272     33554432     13.4769     13.5107  [244]
 X_POSIX       0  write       49     85899345920     33554432     13.5244     13.5606  [244]
 X_POSIX       0  write       50     88046829568     33554432     13.5885     13.6237  [244]
 X_POSIX       0  write       51     90194313216     33554432     14.1282     14.2430  [244]
 X_POSIX       0  write       52     92341796864     33554432     14.4086     14.4444  [244]
 X_POSIX       0  write       53     94489280512     33554432     14.4739     14.5103  [244]
 X_POSIX       0  write       54     96636764160     33554432     14.5306     14.5684  [244]
 X_POSIX       0  write       55     98784247808     33554432     14.6154     14.6503  [244]
 X_POSIX       0  write       56    100931731456     33554432     14.6841     14.7209  [244]
 X_POSIX       0  write       57    103079215104     33554432     15.1965     15.2309  [244]
 X_POSIX       0  write       58    105226698752     33554432     15.2654     15.3011  [244]
 X_POSIX       0  write       59    107374182400     33554432     15.3453     15.3828  [244]
 X_POSIX       0  write       60    109521666048     33554432     15.4716     15.5074  [244]
 X_POSIX       0  write       61    111669149696     33554432     15.5169     15.5542  [244]
 X_POSIX       0  write       62    113816633344     33554432     15.8729     15.9089  [244]
 X_POSIX       0  write       63    115964116992     33554432     16.1496     16.1824  [244]
 X_POSIX       0  write       64    118111600640     33554432     16.1883     16.2233  [244]
 X_POSIX       0  write       65    120259084288     33554432     16.6983     16.7320  [244]
 X_POSIX       0  write       66    122406567936     33554432     16.7825     16.8203  [244]
 X_POSIX       0  write       67    124554051584     33554432     16.8717     16.9070  [244]
 X_POSIX       0  write       68    126701535232     33554432     16.9227     16.9590  [244]
 X_POSIX       0  write       69    128849018880     33554432     16.9862     17.0244  [244]
