# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11545654
# start_time: 1523460576
# start_time_asci: Wed Apr 11 08:29:36 2018
# end_time: 1523460596
# end_time_asci: Wed Apr 11 08:29:56 2018
# nprocs: 1024
# run time: 21
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 563 bytes (compressed)
# record table: 510 bytes (compressed)
# POSIX module: 68535 bytes (compressed), ver=3
# MPI-IO module: 119466 bytes (compressed), ver=2
# LUSTRE module: 228148 bytes (compressed), ver=1
# STDIO module: 74742 bytes (compressed), ver=1
# DXT_POSIX module: 106876 bytes (compressed), ver=1
# DXT_MPIIO module: 119524 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_oJHdup_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01098
# DXT, write_count: 189, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 64
# DXT, Lustre OST obdidx: 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832      6.0959      6.0966  [236]
 X_POSIX       0  write        1           83200        10976      6.0998      6.0998  [236]
 X_POSIX       0  write        2      5176904672        21960      6.1169      6.1175  [ 78]
 X_POSIX       0  write        3           96224     33458208      6.5373      6.5740  [236]
 X_POSIX       0  write        4      2147483648     33554432      6.5857      6.6203  [236]
 X_POSIX       0  write        5      4294967296     33554432      6.6476      6.6782  [236]
 X_POSIX       0  write        6      5176928680      1277332      6.7562      6.8387  [ 78]
 X_POSIX       0  write        7      5178206012       182476      6.8388      6.8390  [ 78]
 X_POSIX       0  write        8     23055003784       364960      6.8426      6.8791  [ 54]
 X_POSIX       0  write        9      6442450944     33554432      6.9901      7.0278  [236]
 X_POSIX       0  write       10      8589934592     33554432      7.1372      7.1715  [236]
 X_POSIX       0  write       11     10737418240     33554432      7.2090      7.2471  [236]
 X_POSIX       0  write       12     12884901888     33554432      7.3054      7.3389  [236]
 X_POSIX       0  write       13     15032385536     33554432      7.3821      7.4193  [236]
 X_POSIX       0  write       14     17179869184     33554432      7.4840      7.5214  [236]
 X_POSIX       0  write       15     19327352832     33554432      7.5985      7.6378  [236]
 X_POSIX       0  write       16     21474836480     33554432      7.7242      7.7634  [236]
 X_POSIX       0  write       17     23055368744     13157480      7.8627      8.0623  [ 54]
 X_POSIX       0  write       18     23068526224      1879640      8.0624      8.0643  [ 54]
 X_POSIX       0  write       19    314830664168      3759288      8.0985      8.2694  [126]
 X_POSIX       0  write       20     23622320128     33554432      8.7890      8.8262  [236]
 X_POSIX       0  write       21     25769803776     33554432      8.8634      8.9027  [236]
 X_POSIX       0  write       22     27917287424     33554432      8.9683      9.0077  [236]
 X_POSIX       0  write       23     30064771072     33554432      9.0294      9.0699  [236]
 X_POSIX       0  write       24     32212254720     33554432      9.1091      9.1449  [236]
 X_POSIX       0  write       25     34359738368     33554432      9.1658      9.2058  [236]
 X_POSIX       0  write       26     36507222016     33554432      9.2374      9.2769  [236]
 X_POSIX       0  write       27     38654705664     33554432      9.2958      9.3341  [236]
 X_POSIX       0  write       28     40802189312     33554432      9.3542      9.3908  [236]
 X_POSIX       0  write       29     42949672960     33554432      9.4354      9.4758  [236]
 X_POSIX       0  write       30     45097156608     33554432      9.4933      9.5349  [236]
 X_POSIX       0  write       31     47244640256     33554432      9.6263      9.6649  [236]
 X_POSIX       0  write       32     49392123904     33554432      9.7048      9.7417  [236]
 X_POSIX       0  write       33     51539607552     33554432      9.8112      9.8446  [236]
 X_POSIX       0  write       34     53687091200     33554432     10.0535     10.0899  [236]
 X_POSIX       0  write       35     55834574848     33554432     10.1348     10.1677  [236]
 X_POSIX       0  write       36     57982058496     33554432     10.3011     10.3378  [236]
 X_POSIX       0  write       37     60129542144     33554432     10.3492     10.3912  [236]
 X_POSIX       0  write       38     62277025792     33554432     10.4170     10.4583  [236]
 X_POSIX       0  write       39     64424509440     33554432     10.4774     10.5190  [236]
 X_POSIX       0  write       40     66571993088     33554432     10.5343     10.5747  [236]
 X_POSIX       0  write       41     68719476736     33554432     10.6740     10.7078  [236]
 X_POSIX       0  write       42     70866960384     33554432     10.7252     10.7616  [236]
 X_POSIX       0  write       43     73014444032     33554432     10.8104     10.8489  [236]
 X_POSIX       0  write       44     75161927680     33554432     10.8686     10.9057  [236]
 X_POSIX       0  write       45     77309411328     33554432     10.9299     10.9667  [236]
 X_POSIX       0  write       46     79456894976     33554432     11.0048     11.0447  [236]
 X_POSIX       0  write       47     81604378624     33554432     11.0694     11.1091  [236]
 X_POSIX       0  write       48     83751862272     33554432     11.1455     11.1845  [236]
