# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11545181
# start_time: 1523455542
# start_time_asci: Wed Apr 11 07:05:42 2018
# end_time: 1523455566
# end_time_asci: Wed Apr 11 07:06:06 2018
# nprocs: 128
# run time: 25
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 561 bytes (compressed)
# record table: 274 bytes (compressed)
# POSIX module: 11805 bytes (compressed), ver=3
# MPI-IO module: 14914 bytes (compressed), ver=2
# LUSTRE module: 26080 bytes (compressed), ver=1
# STDIO module: 9483 bytes (compressed), ver=1
# DXT_POSIX module: 45256 bytes (compressed), ver=1
# DXT_MPIIO module: 14874 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_O_vrCR_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid02033
# DXT, write_count: 96, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 64
# DXT, Lustre OST obdidx: 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50 166 56 26 192 180 178 104 170 124 42 122 152 130 70 100 160 88 247 243 227 219 215 177
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      6.6281      6.6287  [ 72]
 X_POSIX       0  write        1           34368         4000      6.6330      6.6330  [ 72]
 X_POSIX       0  write        2      1886632416         8008      6.6791      6.6795  [160]
 X_POSIX       0  write        3           40416     33514016      6.8937      7.0486  [ 72]
 X_POSIX       0  write        4      1886642472       465500      7.0571      7.0576  [160]
 X_POSIX       0  write        5      1887107972        66500      7.0576      7.0577  [160]
 X_POSIX       0  write        6      8401978568       133008      7.0592      7.0598  [247]
 X_POSIX       0  write        7      2147483648     33554432      7.2380      7.3587  [ 72]
 X_POSIX       0  write        8      4294967296     33554432      7.5147      7.5580  [ 72]
 X_POSIX       0  write        9      6442450944     33554432      7.8227      7.9784  [ 72]
 X_POSIX       0  write       10      8402111576      4795000      8.1471      8.2342  [247]
 X_POSIX       0  write       11      8406906576       685000      8.2342      8.2350  [247]
 X_POSIX       0  write       12    114734217624      1370008      8.2474      8.3229  [ 10]
 X_POSIX       0  write       13      8589934592     33554432      9.0597      9.2667  [ 72]
 X_POSIX       0  write       14     10737418240     33554432      9.3832      9.5566  [ 72]
 X_POSIX       0  write       15     12884901888     33554432      9.7052      9.8814  [ 72]
 X_POSIX       0  write       16     15032385536     33554432     10.0021     10.0866  [ 72]
 X_POSIX       0  write       17     17179869184     33554432     10.2131     10.3156  [ 72]
 X_POSIX       0  write       18     19327352832     33554432     10.4823     10.5717  [ 72]
 X_POSIX       0  write       19     21474836480     33554432     10.6504     10.8006  [ 72]
 X_POSIX       0  write       20     23622320128     33554432     10.8965     10.9352  [ 72]
 X_POSIX       0  write       21     25769803776     33554432     11.2035     11.3369  [ 72]
 X_POSIX       0  write       22     27917287424     33554432     11.4558     11.6217  [ 72]
 X_POSIX       0  write       23     30064771072     33554432     11.7238     11.8583  [ 72]
 X_POSIX       0  write       24     32212254720     33554432     11.9473     12.1051  [ 72]
 X_POSIX       0  write       25     34359738368     33554432     12.1744     12.2574  [ 72]
 X_POSIX       0  write       26     36507222016     33554432     12.3848     12.4336  [ 72]
 X_POSIX       0  write       27     38654705664     33554432     12.4494     12.5972  [ 72]
 X_POSIX       0  write       28     40802189312     33554432     12.6717     12.8116  [ 72]
 X_POSIX       0  write       29     42949672960     33554432     13.1162     13.1526  [ 72]
 X_POSIX       0  write       30     45097156608     33554432     13.4588     13.6157  [ 72]
 X_POSIX       0  write       31     47244640256     33554432     13.7068     13.7630  [ 72]
 X_POSIX       0  write       32     49392123904     33554432     14.0144     14.1211  [ 72]
 X_POSIX       0  write       33     51539607552     33554432     14.1534     14.3286  [ 72]
 X_POSIX       0  write       34     53687091200     33554432     14.4696     14.5738  [ 72]
 X_POSIX       0  write       35     55834574848     33554432     14.6298     14.7879  [ 72]
 X_POSIX       0  write       36     57982058496     33554432     14.8589     14.9038  [ 72]
 X_POSIX       0  write       37     60129542144     33554432     15.2059     15.3445  [ 72]
 X_POSIX       0  write       38     62277025792     33554432     15.3961     15.4404  [ 72]
 X_POSIX       0  write       39     64424509440     33554432     15.4570     15.5876  [ 72]
 X_POSIX       0  write       40     66571993088     33554432     15.9656     16.0626  [ 72]
 X_POSIX       0  write       41     68719476736     33554432     16.1190     16.2338  [ 72]
 X_POSIX       0  write       42     70866960384     33554432     16.4328     16.6004  [ 72]
 X_POSIX       0  write       43     73014444032     33554432     16.7155     16.8156  [ 72]
 X_POSIX       0  write       44     75161927680     33554432     16.8833     17.0009  [ 72]
 X_POSIX       0  write       45     77309411328     33554432     17.1577     17.2880  [ 72]
