# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11545573
# start_time: 1523464463
# start_time_asci: Wed Apr 11 09:34:23 2018
# end_time: 1523464479
# end_time_asci: Wed Apr 11 09:34:39 2018
# nprocs: 2048
# run time: 17
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 563 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 133850 bytes (compressed), ver=3
# MPI-IO module: 231046 bytes (compressed), ver=2
# LUSTRE module: 459156 bytes (compressed), ver=1
# STDIO module: 151930 bytes (compressed), ver=1
# DXT_POSIX module: 70750 bytes (compressed), ver=1
# DXT_MPIIO module: 242507 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_hPalL8_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00565
# DXT, write_count: 135, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 64
# DXT, Lustre OST obdidx: 152 130 70 100 160 88 247 243 227 219 215 177 233 221 223 207 89 229 91 213 237 199 205 245 209 193 155 189 123 149 211 169 235 145 201 81 157 21 97 165 175 179 143 161 31 53 41 181 231 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      5.1649      5.1654  [152]
 X_POSIX       0  write        1           54752         6912      5.1667      5.1668  [152]
 X_POSIX       0  write        2      3260094688        13832      5.2348      5.2353  [145]
 X_POSIX       0  write        3           63712     33490720      5.7156      5.7487  [152]
 X_POSIX       0  write        4      2147483648     33554432      5.7589      5.7899  [152]
 X_POSIX       0  write        5      3260110568       804384      5.8820      5.9503  [145]
 X_POSIX       0  write        6      3260914952       114912      5.9503      5.9504  [145]
 X_POSIX       0  write        7     14518608360       229832      5.9528      5.9757  [231]
 X_POSIX       0  write        8      4294967296     33554432      6.1143      6.1458  [152]
 X_POSIX       0  write        9      6442450944     33554432      6.2567      6.2888  [152]
 X_POSIX       0  write       10      8589934592     33554432      6.3382      6.3700  [152]
 X_POSIX       0  write       11     10737418240     33554432      6.4023      6.4344  [152]
 X_POSIX       0  write       12     12884901888     33554432      6.5145      6.5459  [152]
 X_POSIX       0  write       13     14518838192      8285760      6.6228      6.8283  [231]
 X_POSIX       0  write       14     14527123952      1183680      6.8283      6.8297  [231]
 X_POSIX       0  write       15    198260715952      2367368      6.8507      7.0265  [237]
 X_POSIX       0  write       16     15032385536     33554432      7.3668      7.3987  [152]
 X_POSIX       0  write       17     17179869184     33554432      7.4180      7.4682  [152]
 X_POSIX       0  write       18     19327352832     33554432      7.4767      7.5085  [152]
 X_POSIX       0  write       19     21474836480     33554432      7.5532      7.5847  [152]
 X_POSIX       0  write       20     23622320128     33554432      7.6003      7.6320  [152]
 X_POSIX       0  write       21     25769803776     33554432      7.7295      7.7606  [152]
 X_POSIX       0  write       22     27917287424     33554432      8.1771      8.2083  [152]
 X_POSIX       0  write       23     30064771072     33554432      8.2283      8.2602  [152]
 X_POSIX       0  write       24     32212254720     33554432      8.2768      8.3084  [152]
 X_POSIX       0  write       25     34359738368     33554432      8.3295      8.3625  [152]
 X_POSIX       0  write       26     36507222016     33554432      8.3724      8.4043  [152]
 X_POSIX       0  write       27     38654705664     33554432      8.4137      8.4466  [152]
 X_POSIX       0  write       28     40802189312     33554432      8.4577      8.4903  [152]
 X_POSIX       0  write       29     42949672960     33554432      8.5047      8.5378  [152]
 X_POSIX       0  write       30     45097156608     33554432      8.5547      8.5872  [152]
 X_POSIX       0  write       31     47244640256     33554432      8.6475      8.6795  [152]
 X_POSIX       0  write       32     49392123904     33554432      8.7465      8.7782  [152]
 X_POSIX       0  write       33     51539607552     33554432      8.7915      8.8240  [152]
 X_POSIX       0  write       34     53687091200     33554432      8.8428      8.8747  [152]
 X_POSIX       0  write       35     55834574848     33554432      9.0047      9.0364  [152]
 X_POSIX       0  write       36     57982058496     33554432      9.0534      9.0850  [152]
 X_POSIX       0  write       37     60129542144     33554432      9.1030      9.1357  [152]
 X_POSIX       0  write       38     62277025792     33554432      9.6392      9.6715  [152]
 X_POSIX       0  write       39     64424509440     33554432      9.7029      9.7809  [152]
 X_POSIX       0  write       40     66571993088     33554432      9.7962      9.8288  [152]
 X_POSIX       0  write       41     68719476736     33554432      9.8524      9.8849  [152]
 X_POSIX       0  write       42     70866960384     33554432      9.9128      9.9451  [152]
 X_POSIX       0  write       43     73014444032     33554432      9.9622      9.9942  [152]
 X_POSIX       0  write       44     75161927680     33554432     10.0104     10.0425  [152]
 X_POSIX       0  write       45     77309411328     33554432     10.0642     10.0970  [152]
 X_POSIX       0  write       46     79456894976     33554432     10.1136     10.1460  [152]
 X_POSIX       0  write       47     81604378624     33554432     10.1591     10.1915  [152]
 X_POSIX       0  write       48     83751862272     33554432     10.2396     10.2719  [152]
 X_POSIX       0  write       49     85899345920     33554432     10.2866     10.3195  [152]
 X_POSIX       0  write       50     88046829568     33554432     10.4425     10.4746  [152]
 X_POSIX       0  write       51     90194313216     33554432     10.8073     10.8395  [152]
 X_POSIX       0  write       52     92341796864     33554432     10.8846     10.9170  [152]
 X_POSIX       0  write       53     94489280512     33554432     10.9308     10.9637  [152]
 X_POSIX       0  write       54     96636764160     33554432     10.9933     11.0248  [152]
 X_POSIX       0  write       55     98784247808     33554432     11.0376     11.0702  [152]
 X_POSIX       0  write       56    100931731456     33554432     11.0805     11.1125  [152]
 X_POSIX       0  write       57    103079215104     33554432     11.1254     11.1573  [152]
 X_POSIX       0  write       58    105226698752     33554432     11.1777     11.2100  [152]
 X_POSIX       0  write       59    107374182400     33554432     11.2345     11.2677  [152]
 X_POSIX       0  write       60    109521666048     33554432     11.2883     11.3199  [152]
 X_POSIX       0  write       61    111669149696     33554432     11.3405     11.3730  [152]
 X_POSIX       0  write       62    113816633344     33554432     11.4125     11.4443  [152]
 X_POSIX       0  write       63    115964116992     33554432     11.4662     11.4979  [152]
 X_POSIX       0  write       64    118111600640     33554432     11.5049     11.5367  [152]
 X_POSIX       0  write       65    120259084288     33554432     11.8449     11.8766  [152]
 X_POSIX       0  write       66    122406567936     33554432     11.9267     11.9585  [152]
