# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11545769
# start_time: 1523462185
# start_time_asci: Wed Apr 11 08:56:25 2018
# end_time: 1523462204
# end_time_asci: Wed Apr 11 08:56:44 2018
# nprocs: 2048
# run time: 20
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 563 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 134695 bytes (compressed), ver=3
# MPI-IO module: 243913 bytes (compressed), ver=2
# LUSTRE module: 450491 bytes (compressed), ver=1
# STDIO module: 152689 bytes (compressed), ver=1
# DXT_POSIX module: 106675 bytes (compressed), ver=1
# DXT_MPIIO module: 238327 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_7HZA76_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00523
# DXT, write_count: 189, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 64
# DXT, Lustre OST obdidx: 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832      5.4671      5.4678  [102]
 X_POSIX       0  write        1           83200        10976      5.4688      5.4689  [102]
 X_POSIX       0  write        2      5176904672        21960      5.5131      5.5137  [ 62]
 X_POSIX       0  write        3           96224     33458208      6.2086      6.2404  [102]
 X_POSIX       0  write        4      2147483648     33554432      6.2558      6.2870  [102]
 X_POSIX       0  write        5      4294967296     33554432      6.2933      6.3251  [102]
 X_POSIX       0  write        6      5176928680      1277332      6.3967      6.4670  [ 62]
 X_POSIX       0  write        7      5178206012       182476      6.4670      6.4672  [ 62]
 X_POSIX       0  write        8     23055003784       364960      6.4708      6.4976  [106]
 X_POSIX       0  write        9      6442450944     33554432      6.6162      6.6479  [102]
 X_POSIX       0  write       10      8589934592     33554432      6.7148      6.7468  [102]
 X_POSIX       0  write       11     10737418240     33554432      6.7672      6.7993  [102]
 X_POSIX       0  write       12     12884901888     33554432      6.8308      6.8629  [102]
 X_POSIX       0  write       13     15032385536     33554432      6.9015      6.9334  [102]
 X_POSIX       0  write       14     17179869184     33554432      6.9794      7.0113  [102]
 X_POSIX       0  write       15     19327352832     33554432      7.0616      7.0930  [102]
 X_POSIX       0  write       16     21474836480     33554432      7.1525      7.1843  [102]
 X_POSIX       0  write       17     23055368744     13157480      7.3914      7.5881  [106]
 X_POSIX       0  write       18     23068526224      1879640      7.5881      7.5902  [106]
 X_POSIX       0  write       19    314830664168      3759288      7.6244      7.7849  [158]
 X_POSIX       0  write       20     23622320128     33554432      8.3581      8.3923  [102]
 X_POSIX       0  write       21     25769803776     33554432      8.4081      8.4455  [102]
 X_POSIX       0  write       22     27917287424     33554432      8.5695      8.6028  [102]
 X_POSIX       0  write       23     30064771072     33554432      8.6132      8.6464  [102]
 X_POSIX       0  write       24     32212254720     33554432      8.6599      8.6934  [102]
 X_POSIX       0  write       25     34359738368     33554432      8.7352      8.7680  [102]
 X_POSIX       0  write       26     36507222016     33554432      8.7953      8.8289  [102]
 X_POSIX       0  write       27     38654705664     33554432      8.8461      8.8800  [102]
 X_POSIX       0  write       28     40802189312     33554432      8.9033      8.9376  [102]
 X_POSIX       0  write       29     42949672960     33554432      8.9683      9.0028  [102]
 X_POSIX       0  write       30     45097156608     33554432      9.0124      9.0459  [102]
 X_POSIX       0  write       31     47244640256     33554432      9.0885      9.1215  [102]
 X_POSIX       0  write       32     49392123904     33554432      9.1519      9.1865  [102]
 X_POSIX       0  write       33     51539607552     33554432      9.2062      9.2402  [102]
 X_POSIX       0  write       34     53687091200     33554432      9.2511      9.2856  [102]
 X_POSIX       0  write       35     55834574848     33554432      9.3047      9.3387  [102]
 X_POSIX       0  write       36     57982058496     33554432      9.3538      9.3873  [102]
 X_POSIX       0  write       37     60129542144     33554432      9.4102      9.4443  [102]
 X_POSIX       0  write       38     62277025792     33554432      9.4552      9.4890  [102]
 X_POSIX       0  write       39     64424509440     33554432      9.5097      9.5445  [102]
 X_POSIX       0  write       40     66571993088     33554432      9.5557      9.5895  [102]
 X_POSIX       0  write       41     68719476736     33554432      9.6005      9.6343  [102]
 X_POSIX       0  write       42     70866960384     33554432      9.6462      9.6801  [102]
 X_POSIX       0  write       43     73014444032     33554432      9.7374      9.7710  [102]
 X_POSIX       0  write       44     75161927680     33554432      9.8137      9.8472  [102]
 X_POSIX       0  write       45     77309411328     33554432      9.8583      9.8920  [102]
 X_POSIX       0  write       46     79456894976     33554432      9.9000      9.9340  [102]
 X_POSIX       0  write       47     81604378624     33554432      9.9484      9.9821  [102]
 X_POSIX       0  write       48     83751862272     33554432     10.0423     10.0760  [102]
 X_POSIX       0  write       49     85899345920     33554432     10.1000     10.1345  [102]
 X_POSIX       0  write       50     88046829568     33554432     10.1667     10.2016  [102]
 X_POSIX       0  write       51     90194313216     33554432     10.2212     10.2554  [102]
 X_POSIX       0  write       52     92341796864     33554432     10.2695     10.3031  [102]
 X_POSIX       0  write       53     94489280512     33554432     10.3299     10.3642  [102]
 X_POSIX       0  write       54     96636764160     33554432     10.3806     10.4145  [102]
 X_POSIX       0  write       55     98784247808     33554432     10.4313     10.4647  [102]
 X_POSIX       0  write       56    100931731456     33554432     10.4752     10.5086  [102]
 X_POSIX       0  write       57    103079215104     33554432     10.5213     10.5560  [102]
 X_POSIX       0  write       58    105226698752     33554432     10.6807     10.7140  [102]
 X_POSIX       0  write       59    107374182400     33554432     10.7193     10.7636  [102]
 X_POSIX       0  write       60    109521666048     33554432     10.7741     10.8084  [102]
 X_POSIX       0  write       61    111669149696     33554432     10.8175     10.8514  [102]
 X_POSIX       0  write       62    113816633344     33554432     10.8833     10.9171  [102]
 X_POSIX       0  write       63    115964116992     33554432     10.9285     10.9624  [102]
 X_POSIX       0  write       64    118111600640     33554432     10.9995     11.0329  [102]
 X_POSIX       0  write       65    120259084288     33554432     11.6361     11.6689  [102]
 X_POSIX       0  write       66    122406567936     33554432     11.6819     11.7147  [102]
 X_POSIX       0  write       67    124554051584     33554432     11.7919     11.8248  [102]
 X_POSIX       0  write       68    126701535232     33554432     11.8487     11.8814  [102]
 X_POSIX       0  write       69    128849018880     33554432     11.8957     11.9277  [102]
 X_POSIX       0  write       70    130996502528     33554432     11.9752     12.0071  [102]
 X_POSIX       0  write       71    133143986176     33554432     12.0324     12.0652  [102]
 X_POSIX       0  write       72    135291469824     33554432     12.0937     12.1256  [102]
 X_POSIX       0  write       73    137438953472     33554432     12.1419     12.1745  [102]
