# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11559525
# start_time: 1523505798
# start_time_asci: Wed Apr 11 21:03:18 2018
# end_time: 1523505827
# end_time_asci: Wed Apr 11 21:03:47 2018
# nprocs: 512
# run time: 30
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 568 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 36105 bytes (compressed), ver=3
# MPI-IO module: 59282 bytes (compressed), ver=2
# LUSTRE module: 113046 bytes (compressed), ver=1
# STDIO module: 37430 bytes (compressed), ver=1
# DXT_POSIX module: 59456 bytes (compressed), ver=1
# DXT_MPIIO module: 58370 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_KLALZW_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00486
# DXT, write_count: 116, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 64
# DXT, Lustre OST obdidx: 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50 166 56 26 192
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832      9.3734      9.3739  [194]
 X_POSIX       0  write        1           83200        10976      9.3752      9.3752  [194]
 X_POSIX       0  write        2      5176904672        21960      9.3759      9.3765  [140]
 X_POSIX       0  write        3           96224     67012640      9.7163      9.8163  [194]
 X_POSIX       0  write        4      4294967296     67108864      9.8340      9.9012  [194]
 X_POSIX       0  write        5      5176928680      1277332      9.9404     10.0307  [140]
 X_POSIX       0  write        6      5178206012       182476     10.0307     10.0310  [140]
 X_POSIX       0  write        7     23055003784       364960     10.0345     10.0685  [ 94]
 X_POSIX       0  write        8      8589934592     67108864     10.2867     10.4258  [194]
 X_POSIX       0  write        9     12884901888     67108864     10.5628     10.6545  [194]
 X_POSIX       0  write       10     17179869184     67108864     10.8206     10.9187  [194]
 X_POSIX       0  write       11     21474836480     67108864     11.0090     11.0768  [194]
 X_POSIX       0  write       12     23055368744     13157480     11.3646     11.5743  [ 94]
 X_POSIX       0  write       13     23068526224      1879640     11.5744     11.5764  [ 94]
 X_POSIX       0  write       14    314830664168      3759288     11.6103     11.8037  [ 72]
 X_POSIX       0  write       15     25769803776     67108864     12.4392     12.5552  [194]
 X_POSIX       0  write       16     30064771072     67108864     12.6307     12.7370  [194]
 X_POSIX       0  write       17     34359738368     67108864     12.8137     12.9134  [194]
 X_POSIX       0  write       18     38654705664     67108864     13.0122     13.1122  [194]
 X_POSIX       0  write       19     42949672960     67108864     13.2203     13.3551  [194]
 X_POSIX       0  write       20     47244640256     67108864     13.4659     13.6018  [194]
 X_POSIX       0  write       21     51539607552     67108864     13.7065     13.8242  [194]
 X_POSIX       0  write       22     55834574848     67108864     13.9190     14.0310  [194]
 X_POSIX       0  write       23     60129542144     67108864     14.1034     14.2085  [194]
 X_POSIX       0  write       24     64424509440     67108864     14.2782     14.3771  [194]
 X_POSIX       0  write       25     68719476736     67108864     14.4691     14.5779  [194]
 X_POSIX       0  write       26     73014444032     67108864     14.6335     14.7306  [194]
 X_POSIX       0  write       27     77309411328     67108864     14.8393     14.9489  [194]
 X_POSIX       0  write       28     81604378624     67108864     14.9969     15.0814  [194]
 X_POSIX       0  write       29     85899345920     67108864     15.2644     15.3965  [194]
 X_POSIX       0  write       30     90194313216     67108864     15.5127     15.6469  [194]
 X_POSIX       0  write       31     94489280512     67108864     15.7202     15.8159  [194]
 X_POSIX       0  write       32     98784247808     67108864     15.8469     15.9288  [194]
 X_POSIX       0  write       33    103079215104     67108864     16.1029     16.1906  [194]
 X_POSIX       0  write       34    107374182400     67108864     16.3082     16.4176  [194]
 X_POSIX       0  write       35    111669149696     67108864     16.5064     16.6131  [194]
 X_POSIX       0  write       36    115964116992     67108864     16.6943     16.7766  [194]
 X_POSIX       0  write       37    120259084288     67108864     16.8620     16.9377  [194]
 X_POSIX       0  write       38    124554051584     67108864     17.0546     17.1846  [194]
 X_POSIX       0  write       39    128849018880     67108864     17.2851     17.4140  [194]
 X_POSIX       0  write       40    133143986176     67108864     17.5112     17.6042  [194]
 X_POSIX       0  write       41    137438953472     67108864     17.6649     17.7486  [194]
 X_POSIX       0  write       42    141733920768     67108864     17.7872     17.8699  [194]
 X_POSIX       0  write       43    146028888064     67108864     17.8927     17.9655  [194]
 X_POSIX       0  write       44    150323855360     67108864     18.4836     18.5717  [194]
 X_POSIX       0  write       45    154618822656     67108864     18.6219     18.7203  [194]
 X_POSIX       0  write       46    158913789952     67108864     19.0744     19.1774  [194]
 X_POSIX       0  write       47    163208757248     67108864     19.2735     19.3522  [194]
