# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11559206
# start_time: 1523506101
# start_time_asci: Wed Apr 11 21:08:21 2018
# end_time: 1523506116
# end_time_asci: Wed Apr 11 21:08:36 2018
# nprocs: 2048
# run time: 16
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 564 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 134439 bytes (compressed), ver=3
# MPI-IO module: 231226 bytes (compressed), ver=2
# LUSTRE module: 409198 bytes (compressed), ver=1
# STDIO module: 152559 bytes (compressed), ver=1
# DXT_POSIX module: 26517 bytes (compressed), ver=1
# DXT_MPIIO module: 251027 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_MtlPeh_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01934
# DXT, write_count: 69, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 64
# DXT, Lustre OST obdidx: 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      5.2745      5.2750  [ 36]
 X_POSIX       0  write        1           34368         4000      5.2761      5.2762  [ 36]
 X_POSIX       0  write        2      1886632416         8008      5.2856      5.2860  [128]
 X_POSIX       0  write        3           40416     67068448      5.6184      5.6809  [ 36]
 X_POSIX       0  write        4      1886642472       465500      5.7386      5.7947  [128]
 X_POSIX       0  write        5      1887107972        66500      5.7947      5.7948  [128]
 X_POSIX       0  write        6      8401978568       133008      5.7963      5.7968  [ 64]
 X_POSIX       0  write        7      4294967296     67108864      5.9663      6.0411  [ 36]
 X_POSIX       0  write        8      8402111576      4795000      6.4255      6.4997  [ 64]
 X_POSIX       0  write        9      8406906576       685000      6.4998      6.5004  [ 64]
 X_POSIX       0  write       10    114734217624      1370008      6.5132      6.5827  [  0]
 X_POSIX       0  write       11      8589934592     67108864      6.8267      6.8935  [ 36]
 X_POSIX       0  write       12     12884901888     67108864      7.0232      7.0856  [ 36]
 X_POSIX       0  write       13     17179869184     67108864      7.1974      7.2622  [ 36]
 X_POSIX       0  write       14     21474836480     67108864      7.3485      7.4145  [ 36]
 X_POSIX       0  write       15     25769803776     67108864      7.5201      7.5866  [ 36]
 X_POSIX       0  write       16     30064771072     67108864      7.6931      7.7745  [ 36]
 X_POSIX       0  write       17     34359738368     67108864      7.9866      8.0526  [ 36]
 X_POSIX       0  write       18     38654705664     67108864      8.2763      8.3424  [ 36]
 X_POSIX       0  write       19     42949672960     67108864      8.6498      8.7157  [ 36]
 X_POSIX       0  write       20     47244640256     67108864      8.9411      9.0065  [ 36]
 X_POSIX       0  write       21     51539607552     67108864      9.0606      9.1271  [ 36]
 X_POSIX       0  write       22     55834574848     67108864     10.3493     10.4207  [ 36]
 X_POSIX       0  write       23     60129542144     67108864     10.5816     10.6470  [ 36]
 X_POSIX       0  write       24     64424509440     67108864     10.7906     10.8556  [ 36]
 X_POSIX       0  write       25     68719476736     67108864     10.9412     11.0071  [ 36]
 X_POSIX       0  write       26     73014444032     67108864     11.0911     11.1569  [ 36]
 X_POSIX       0  write       27     77309411328     67108864     11.2236     11.2894  [ 36]
 X_POSIX       0  write       28     81604378624     67108864     11.3623     11.4277  [ 36]
 X_POSIX       0  write       29     85899345920     67108864     11.5087     11.5747  [ 36]
 X_POSIX       0  write       30     90194313216     67108864     11.6146     11.6801  [ 36]
 X_POSIX       0  write       31     94489280512     67108864     11.7980     11.8704  [ 36]
 X_POSIX       0  write       32     98784247808     67108864     12.5191     12.5845  [ 36]
 X_POSIX       0  write       33    103079215104     67108864     13.0039     13.0765  [ 36]
 X_POSIX       0  write       34    107374182400     67108864     13.1920     13.2586  [ 36]
 X_POSIX       0  write       35    111669149696     67108864     13.3070     13.3725  [ 36]
 X_POSIX       0  write       36               0           96     14.1994     14.1998  [ 36]
 X_POSIX       0  write       37              96           40     14.1998     14.1999  [ 36]
 X_POSIX       0  write       38             136          544     14.1999     14.1999  [ 36]
 X_POSIX       0  write       39             680          120     14.1999     14.1999  [ 36]
 X_POSIX       0  write       40             800           40     14.1999     14.1999  [ 36]
 X_POSIX       0  write       41             840          544     14.1999     14.1999  [ 36]
 X_POSIX       0  write       42            1384          120     14.1999     14.1999  [ 36]
 X_POSIX       0  write       43            1504          328     14.1999     14.1999  [ 36]
 X_POSIX       0  write       44            1832          160     14.2000     14.2000  [ 36]
 X_POSIX       0  write       45            1992          560     14.2000     14.2000  [ 36]
 X_POSIX       0  write       46            2552           40     14.2000     14.2000  [ 36]
