# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11544403
# start_time: 1523451595
# start_time_asci: Wed Apr 11 05:59:55 2018
# end_time: 1523451612
# end_time_asci: Wed Apr 11 06:00:12 2018
# nprocs: 512
# run time: 18
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 38166 bytes (compressed), ver=3
# MPI-IO module: 58932 bytes (compressed), ver=2
# LUSTRE module: 128853 bytes (compressed), ver=1
# STDIO module: 37160 bytes (compressed), ver=1
# DXT_POSIX module: 76841 bytes (compressed), ver=1
# DXT_MPIIO module: 58878 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_VP0VgU_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00598
# DXT, write_count: 104, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 51 15 153 187 55 151 239 79 25 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      5.6621      5.6626  [ 51]
 X_POSIX       0  write        1           54752         6912      5.6661      5.6661  [ 51]
 X_POSIX       0  write        2      3260094688        13832      5.6992      5.6997  [ 15]
 X_POSIX       0  write        3           63712     33490720      5.8170      5.8838  [ 51]
 X_POSIX       0  write        4      3221225472     33554432      5.8906      5.9308  [ 51]
 X_POSIX       0  write        5      3260110568       804384      6.0110      6.0835  [ 15]
 X_POSIX       0  write        6      3260914952       114912      6.0835      6.0837  [ 15]
 X_POSIX       0  write        7     14518608360       229832      6.0861      6.0864  [240]
 X_POSIX       0  write        8      6442450944     33554432      6.1963      6.2333  [ 51]
 X_POSIX       0  write        9      9663676416     33554432      6.3132      6.3709  [ 51]
 X_POSIX       0  write       10     12884901888     33554432      6.5838      6.6862  [ 51]
 X_POSIX       0  write       11     14518838192      8285760      6.8538      6.8640  [240]
 X_POSIX       0  write       12     14527123952      1183680      6.8641      6.8659  [240]
 X_POSIX       0  write       13    198260715952      2367368      6.8883      6.9790  [230]
 X_POSIX       0  write       14     16106127360     33554432      7.4959      7.5585  [ 51]
 X_POSIX       0  write       15     19327352832     33554432      7.6257      7.7010  [ 51]
 X_POSIX       0  write       16     22548578304     33554432      7.7715      7.8454  [ 51]
 X_POSIX       0  write       17     25769803776     33554432      7.9544      8.0162  [ 51]
 X_POSIX       0  write       18     28991029248     33554432      8.0610      8.1460  [ 51]
 X_POSIX       0  write       19     32212254720     33554432      8.2307      8.3102  [ 51]
 X_POSIX       0  write       20     35433480192     33554432      8.3984      8.4826  [ 51]
 X_POSIX       0  write       21     38654705664     33554432      8.5424      8.6104  [ 51]
 X_POSIX       0  write       22     41875931136     33554432      8.6586      8.7202  [ 51]
 X_POSIX       0  write       23     45097156608     33554432      8.7919      8.8703  [ 51]
 X_POSIX       0  write       24     48318382080     33554432      9.2092      9.2623  [ 51]
 X_POSIX       0  write       25     51539607552     33554432      9.4553      9.5162  [ 51]
 X_POSIX       0  write       26     54760833024     33554432      9.5691      9.6096  [ 51]
 X_POSIX       0  write       27     57982058496     33554432      9.6334      9.7155  [ 51]
 X_POSIX       0  write       28     61203283968     33554432      9.7861      9.8525  [ 51]
 X_POSIX       0  write       29     64424509440     33554432      9.9034      9.9477  [ 51]
 X_POSIX       0  write       30     67645734912     33554432     10.0075     10.0529  [ 51]
 X_POSIX       0  write       31     70866960384     33554432     10.2080     10.2484  [ 51]
 X_POSIX       0  write       32     74088185856     33554432     10.3393     10.3809  [ 51]
 X_POSIX       0  write       33     77309411328     33554432     10.4972     10.5421  [ 51]
 X_POSIX       0  write       34     80530636800     33554432     10.6170     10.6865  [ 51]
 X_POSIX       0  write       35     83751862272     33554432     10.7425     10.8274  [ 51]
 X_POSIX       0  write       36     86973087744     33554432     10.8701     10.9404  [ 51]
 X_POSIX       0  write       37     90194313216     33554432     11.0536     11.1273  [ 51]
 X_POSIX       0  write       38     93415538688     33554432     11.1901     11.2633  [ 51]
 X_POSIX       0  write       39     96636764160     33554432     11.3615     11.4276  [ 51]
 X_POSIX       0  write       40     99857989632     33554432     11.4822     11.5520  [ 51]
 X_POSIX       0  write       41    103079215104     33554432     11.6316     11.7034  [ 51]
 X_POSIX       0  write       42    106300440576     33554432     11.7649     11.8307  [ 51]
 X_POSIX       0  write       43    109521666048     33554432     11.9328     11.9848  [ 51]
 X_POSIX       0  write       44    112742891520     33554432     12.0629     12.1279  [ 51]
 X_POSIX       0  write       45    115964116992     33554432     12.1963     12.2435  [ 51]
 X_POSIX       0  write       46    119185342464     33554432     12.3181     12.3615  [ 51]
 X_POSIX       0  write       47    122406567936     33554432     12.5136     12.5757  [ 51]
