# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11544817
# start_time: 1523453726
# start_time_asci: Wed Apr 11 06:35:26 2018
# end_time: 1523453755
# end_time_asci: Wed Apr 11 06:35:55 2018
# nprocs: 512
# run time: 30
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 563 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 37941 bytes (compressed), ver=3
# MPI-IO module: 59032 bytes (compressed), ver=2
# LUSTRE module: 128184 bytes (compressed), ver=1
# STDIO module: 37808 bytes (compressed), ver=1
# DXT_POSIX module: 116060 bytes (compressed), ver=1
# DXT_MPIIO module: 58781 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_PxKaHd_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00537
# DXT, write_count: 140, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 170 124 42 122 152 130 70 100 160 88 247 243 227 219 215 177 233 221 223 207 89 229 91 213 237 199 205 245 209 193 155 189 123 149 211 169 235 145 201 81 157 21 97 165 175 179 143 161 31 53 41 181 231 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 93 101 109 75 23 99 117 167 49 185 115 7 135 3 57 95 43
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832     11.6983     11.6990  [170]
 X_POSIX       0  write        1           83200        10976     11.7021     11.7022  [170]
 X_POSIX       0  write        2      5176904672        21960     11.7191     11.7195  [ 85]
 X_POSIX       0  write        3           96224     33458208     11.9979     12.0731  [170]
 X_POSIX       0  write        4      3221225472     33554432     12.1482     12.1921  [170]
 X_POSIX       0  write        5      5176928680      1277332     12.2141     12.2939  [ 85]
 X_POSIX       0  write        6      5178206012       182476     12.2939     12.2942  [ 85]
 X_POSIX       0  write        7     23055003784       364960     12.2978     12.3687  [177]
 X_POSIX       0  write        8      6442450944     33554432     12.5167     12.5911  [170]
 X_POSIX       0  write        9      9663676416     33554432     12.6813     12.7193  [170]
 X_POSIX       0  write       10     12884901888     33554432     12.7857     12.8447  [170]
 X_POSIX       0  write       11     16106127360     33554432     12.9830     13.0495  [170]
 X_POSIX       0  write       12     19327352832     33554432     13.5949     13.6313  [170]
 X_POSIX       0  write       13     22548578304     33554432     13.6409     13.6838  [170]
 X_POSIX       0  write       14     23055368744     13157480     13.7706     13.9406  [177]
 X_POSIX       0  write       15     23068526224      1879640     13.9407     13.9429  [177]
 X_POSIX       0  write       16    314830664168      3759288     13.9771     14.1029  [ 13]
 X_POSIX       0  write       17     25769803776     33554432     14.7479     14.8144  [170]
 X_POSIX       0  write       18     28991029248     33554432     14.8975     14.9563  [170]
 X_POSIX       0  write       19     32212254720     33554432     15.0683     15.1444  [170]
 X_POSIX       0  write       20     35433480192     33554432     15.2070     15.2895  [170]
 X_POSIX       0  write       21     38654705664     33554432     15.3654     15.4447  [170]
 X_POSIX       0  write       22     41875931136     33554432     15.5150     15.6130  [170]
 X_POSIX       0  write       23     45097156608     33554432     15.6924     15.7666  [170]
 X_POSIX       0  write       24     48318382080     33554432     15.8354     15.9153  [170]
 X_POSIX       0  write       25     51539607552     33554432     15.9831     16.0478  [170]
 X_POSIX       0  write       26     54760833024     33554432     16.1339     16.2133  [170]
 X_POSIX       0  write       27     57982058496     33554432     16.2794     16.3677  [170]
 X_POSIX       0  write       28     61203283968     33554432     16.4445     16.5084  [170]
 X_POSIX       0  write       29     64424509440     33554432     16.5726     16.6589  [170]
 X_POSIX       0  write       30     67645734912     33554432     16.7224     16.8117  [170]
 X_POSIX       0  write       31     70866960384     33554432     16.8360     16.8942  [170]
 X_POSIX       0  write       32     74088185856     33554432     16.9595     17.0044  [170]
 X_POSIX       0  write       33     77309411328     33554432     17.1439     17.2216  [170]
 X_POSIX       0  write       34     80530636800     33554432     17.2699     17.3237  [170]
 X_POSIX       0  write       35     83751862272     33554432     17.4208     17.5138  [170]
 X_POSIX       0  write       36     86973087744     33554432     17.5959     17.6641  [170]
 X_POSIX       0  write       37     90194313216     33554432     17.7012     17.7390  [170]
 X_POSIX       0  write       38     93415538688     33554432     17.8934     17.9349  [170]
 X_POSIX       0  write       39     96636764160     33554432     18.0340     18.0748  [170]
 X_POSIX       0  write       40     99857989632     33554432     18.2113     18.2899  [170]
 X_POSIX       0  write       41    103079215104     33554432     18.3686     18.4544  [170]
 X_POSIX       0  write       42    106300440576     33554432     18.5218     18.5897  [170]
 X_POSIX       0  write       43    109521666048     33554432     18.7228     18.7913  [170]
 X_POSIX       0  write       44    112742891520     33554432     18.8021     18.8664  [170]
 X_POSIX       0  write       45    115964116992     33554432     18.8984     18.9471  [170]
 X_POSIX       0  write       46    119185342464     33554432     19.0781     19.1280  [170]
 X_POSIX       0  write       47    122406567936     33554432     19.2244     19.2658  [170]
 X_POSIX       0  write       48    125627793408     33554432     19.5602     19.6551  [170]
 X_POSIX       0  write       49    128849018880     33554432     19.7410     19.8223  [170]
