# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11544013
# start_time: 1523449083
# start_time_asci: Wed Apr 11 05:18:03 2018
# end_time: 1523449114
# end_time_asci: Wed Apr 11 05:18:34 2018
# nprocs: 128
# run time: 32
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 567 bytes (compressed)
# record table: 274 bytes (compressed)
# POSIX module: 13766 bytes (compressed), ver=3
# MPI-IO module: 14925 bytes (compressed), ver=2
# LUSTRE module: 31516 bytes (compressed), ver=1
# STDIO module: 9532 bytes (compressed), ver=1
# DXT_POSIX module: 51263 bytes (compressed), ver=1
# DXT_MPIIO module: 14976 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_D3YMcz_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00616
# DXT, write_count: 78, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      6.4845      6.4852  [137]
 X_POSIX       0  write        1           34368         4000      6.4884      6.4885  [137]
 X_POSIX       0  write        2      1886632416         8008      6.5556      6.5561  [ 76]
 X_POSIX       0  write        3           40416     33514016      6.8034      6.9928  [137]
 X_POSIX       0  write        4      1886642472       465500      7.0003      7.0009  [ 76]
 X_POSIX       0  write        5      1887107972        66500      7.0009      7.0010  [ 76]
 X_POSIX       0  write        6      8401978568       133008      7.0025      7.0032  [198]
 X_POSIX       0  write        7      3221225472     33554432      7.2221      7.6458  [137]
 X_POSIX       0  write        8      6442450944     33554432      7.8484      8.1972  [137]
 X_POSIX       0  write        9      8402111576      4795000      8.4909      8.6867  [198]
 X_POSIX       0  write       10      8406906576       685000      8.6868      8.6876  [198]
 X_POSIX       0  write       11    114734217624      1370008      8.7008      8.7343  [190]
 X_POSIX       0  write       12      9663676416     33554432      9.5311     10.0279  [137]
 X_POSIX       0  write       13     12884901888     33554432     10.2147     10.6612  [137]
 X_POSIX       0  write       14     16106127360     33554432     10.7696     11.2443  [137]
 X_POSIX       0  write       15     19327352832     33554432     11.3599     11.8534  [137]
 X_POSIX       0  write       16     22548578304     33554432     11.9724     12.4620  [137]
 X_POSIX       0  write       17     25769803776     33554432     12.5730     13.0373  [137]
 X_POSIX       0  write       18     28991029248     33554432     13.1161     13.4482  [137]
 X_POSIX       0  write       19     32212254720     33554432     13.7730     14.1639  [137]
 X_POSIX       0  write       20     35433480192     33554432     14.3481     14.8560  [137]
 X_POSIX       0  write       21     38654705664     33554432     14.9990     15.3699  [137]
 X_POSIX       0  write       22     41875931136     33554432     15.4535     15.7289  [137]
 X_POSIX       0  write       23     45097156608     33554432     16.2330     16.7084  [137]
 X_POSIX       0  write       24     48318382080     33554432     16.7785     16.9273  [137]
 X_POSIX       0  write       25     51539607552     33554432     17.4374     17.9686  [137]
 X_POSIX       0  write       26     54760833024     33554432     18.0538     18.5870  [137]
 X_POSIX       0  write       27     57982058496     33554432     18.6253     18.9995  [137]
 X_POSIX       0  write       28     61203283968     33554432     19.0945     19.4265  [137]
 X_POSIX       0  write       29     64424509440     33554432     19.7065     19.9350  [137]
 X_POSIX       0  write       30     67645734912     33554432     20.4213     20.9083  [137]
 X_POSIX       0  write       31     70866960384     33554432     20.9692     21.4915  [137]
 X_POSIX       0  write       32     74088185856     33554432     21.5585     22.0124  [137]
 X_POSIX       0  write       33     77309411328     33554432     22.1976     22.6278  [137]
 X_POSIX       0  write       34     80530636800     33554432     22.7866     23.3320  [137]
 X_POSIX       0  write       35     83751862272     33554432     23.4080     23.9106  [137]
 X_POSIX       0  write       36     86973087744     33554432     23.9888     24.5076  [137]
 X_POSIX       0  write       37     90194313216     33554432     24.6010     25.1533  [137]
 X_POSIX       0  write       38     93415538688     33554432     25.1922     25.7175  [137]
 X_POSIX       0  write       39     96636764160     33554432     25.8410     26.3951  [137]
 X_POSIX       0  write       40     99857989632     33554432     26.4303     26.8967  [137]
 X_POSIX       0  write       41    103079215104     33554432     26.9897     27.5018  [137]
 X_POSIX       0  write       42    106300440576     33554432     27.5765     28.0722  [137]
 X_POSIX       0  write       43    109521666048     33554432     28.1037     28.5308  [137]
 X_POSIX       0  write       44    112742891520     33554432     28.5873     29.0322  [137]
 X_POSIX       0  write       45               0           96     30.2735     30.2747  [137]
 X_POSIX       0  write       46              96           40     30.2747     30.2747  [137]
 X_POSIX       0  write       47             136          544     30.2747     30.2748  [137]
 X_POSIX       0  write       48             680          120     30.2748     30.2748  [137]
 X_POSIX       0  write       49             800           40     30.2748     30.2748  [137]
 X_POSIX       0  write       50             840          544     30.2748     30.2748  [137]
