# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11545184
# start_time: 1523462586
# start_time_asci: Wed Apr 11 09:03:06 2018
# end_time: 1523462609
# end_time_asci: Wed Apr 11 09:03:29 2018
# nprocs: 2048
# run time: 24
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 563 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 135714 bytes (compressed), ver=3
# MPI-IO module: 245085 bytes (compressed), ver=2
# LUSTRE module: 566513 bytes (compressed), ver=1
# STDIO module: 155177 bytes (compressed), ver=1
# DXT_POSIX module: 115596 bytes (compressed), ver=1
# DXT_MPIIO module: 240687 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_asUn9i_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00502
# DXT, write_count: 140, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832      9.6348      9.6354  [203]
 X_POSIX       0  write        1           83200        10976      9.6362      9.6363  [203]
 X_POSIX       0  write        2      5176904672        21960      9.6430      9.6436  [ 36]
 X_POSIX       0  write        3           96224     33458208     10.0741     10.1162  [203]
 X_POSIX       0  write        4      3221225472     33554432     10.1239     10.1592  [203]
 X_POSIX       0  write        5      5176928680      1277332     10.1901     10.2781  [ 36]
 X_POSIX       0  write        6      5178206012       182476     10.2782     10.2784  [ 36]
 X_POSIX       0  write        7     23055003784       364960     10.2820     10.3087  [  2]
 X_POSIX       0  write        8      6442450944     33554432     10.4537     10.4910  [203]
 X_POSIX       0  write        9      9663676416     33554432     10.5992     10.6399  [203]
 X_POSIX       0  write       10     12884901888     33554432     10.7269     10.7677  [203]
 X_POSIX       0  write       11     16106127360     33554432     10.8291     10.8689  [203]
 X_POSIX       0  write       12     19327352832     33554432     10.9455     10.9868  [203]
 X_POSIX       0  write       13     22548578304     33554432     11.0603     11.1015  [203]
 X_POSIX       0  write       14     23055368744     13157480     11.1434     11.2778  [  2]
 X_POSIX       0  write       15     23068526224      1879640     11.2779     11.2800  [  2]
 X_POSIX       0  write       16    314830664168      3759288     11.3134     11.4487  [ 34]
 X_POSIX       0  write       17     25769803776     33554432     12.0354     12.0754  [203]
 X_POSIX       0  write       18     28991029248     33554432     12.1020     12.1437  [203]
 X_POSIX       0  write       19     32212254720     33554432     12.1729     12.2153  [203]
 X_POSIX       0  write       20     35433480192     33554432     12.2681     12.3066  [203]
 X_POSIX       0  write       21     38654705664     33554432     12.4578     12.4965  [203]
 X_POSIX       0  write       22     41875931136     33554432     12.5798     12.6204  [203]
 X_POSIX       0  write       23     45097156608     33554432     12.6508     12.6926  [203]
 X_POSIX       0  write       24     48318382080     33554432     12.7427     12.7822  [203]
 X_POSIX       0  write       25     51539607552     33554432     12.8473     12.8881  [203]
 X_POSIX       0  write       26     54760833024     33554432     12.9034     12.9448  [203]
 X_POSIX       0  write       27     57982058496     33554432     12.9762     13.0178  [203]
 X_POSIX       0  write       28     61203283968     33554432     13.0476     13.0889  [203]
 X_POSIX       0  write       29     64424509440     33554432     13.1119     13.1503  [203]
 X_POSIX       0  write       30     67645734912     33554432     13.1960     13.2371  [203]
 X_POSIX       0  write       31     70866960384     33554432     13.2577     13.2986  [203]
 X_POSIX       0  write       32     74088185856     33554432     13.3311     13.3720  [203]
 X_POSIX       0  write       33     77309411328     33554432     13.3890     13.4456  [203]
 X_POSIX       0  write       34     80530636800     33554432     13.4622     13.5179  [203]
 X_POSIX       0  write       35     83751862272     33554432     14.0551     14.0951  [203]
 X_POSIX       0  write       36     86973087744     33554432     14.1359     14.1764  [203]
 X_POSIX       0  write       37     90194313216     33554432     14.2114     14.2526  [203]
 X_POSIX       0  write       38     93415538688     33554432     14.2937     14.3343  [203]
 X_POSIX       0  write       39     96636764160     33554432     14.3515     14.3935  [203]
 X_POSIX       0  write       40     99857989632     33554432     14.5342     14.5694  [203]
 X_POSIX       0  write       41    103079215104     33554432     14.5755     14.6138  [203]
 X_POSIX       0  write       42    106300440576     33554432     14.7291     14.7642  [203]
 X_POSIX       0  write       43    109521666048     33554432     14.7782     14.8155  [203]
 X_POSIX       0  write       44    112742891520     33554432     14.8641     14.9052  [203]
 X_POSIX       0  write       45    115964116992     33554432     14.9475     14.9828  [203]
 X_POSIX       0  write       46    119185342464     33554432     15.0112     15.0467  [203]
 X_POSIX       0  write       47    122406567936     33554432     15.0653     15.1021  [203]
 X_POSIX       0  write       48    125627793408     33554432     15.2478     15.2870  [203]
 X_POSIX       0  write       49    128849018880     33554432     15.3308     15.3699  [203]
