# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11560097
# start_time: 1523508463
# start_time_asci: Wed Apr 11 21:47:43 2018
# end_time: 1523508486
# end_time_asci: Wed Apr 11 21:48:06 2018
# nprocs: 512
# run time: 24
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 566 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 38158 bytes (compressed), ver=3
# MPI-IO module: 58900 bytes (compressed), ver=2
# LUSTRE module: 128730 bytes (compressed), ver=1
# STDIO module: 37477 bytes (compressed), ver=1
# DXT_POSIX module: 45645 bytes (compressed), ver=1
# DXT_MPIIO module: 59576 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_xLIvqn_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01297
# DXT, write_count: 73, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 89 229 91 213 237 199 205 245 209 193 155 189 123 149 211 169 235 145 201 81 157 21 97 165 175 179 143 161 31 53 41 181 231 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 93 101 109 75 23 99 117 167 49 185 115 7 135 3 57 95 43 27 191 1 163 51 15 153 187 55 151 239 79 25 137 47 217 17 39 59 171
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384      5.1552      5.1557  [ 89]
 X_POSIX       0  write        1           54752         6912      5.1558      5.1558  [ 89]
 X_POSIX       0  write        2      3260094688        13832      5.1563      5.1568  [147]
 X_POSIX       0  write        3           63712     67045152      5.7827      5.8886  [ 89]
 X_POSIX       0  write        4      3260110568       804384      5.8994      5.9004  [147]
 X_POSIX       0  write        5      3260914952       114912      5.9005      5.9006  [147]
 X_POSIX       0  write        6     14518608360       229832      5.9031      5.9710  [175]
 X_POSIX       0  write        7      6442450944     67108864      6.2013      6.3758  [ 89]
 X_POSIX       0  write        8     12884901888     67108864      6.5638      6.6528  [ 89]
 X_POSIX       0  write        9     14518838192      8285760      6.8231      7.0123  [175]
 X_POSIX       0  write       10     14527123952      1183680      7.0124      7.0138  [175]
 X_POSIX       0  write       11    198260715952      2367368      7.0356      7.1118  [ 95]
 X_POSIX       0  write       12     19327352832     67108864      7.6455      7.8185  [ 89]
 X_POSIX       0  write       13     25769803776     67108864      7.9811      8.1651  [ 89]
 X_POSIX       0  write       14     32212254720     67108864      8.2481      8.4447  [ 89]
 X_POSIX       0  write       15     38654705664     67108864      8.4997      8.6101  [ 89]
 X_POSIX       0  write       16     45097156608     67108864     10.2795     10.4050  [ 89]
 X_POSIX       0  write       17     51539607552     67108864     10.5024     10.6012  [ 89]
 X_POSIX       0  write       18     57982058496     67108864     10.6370     10.7391  [ 89]
 X_POSIX       0  write       19     64424509440     67108864     11.0386     11.1551  [ 89]
 X_POSIX       0  write       20     70866960384     67108864     11.6299     11.7248  [ 89]
 X_POSIX       0  write       21     77309411328     67108864     11.7861     11.9314  [ 89]
 X_POSIX       0  write       22     83751862272     67108864     12.0942     12.1960  [ 89]
 X_POSIX       0  write       23     90194313216     67108864     13.1042     13.1985  [ 89]
 X_POSIX       0  write       24     96636764160     67108864     13.4624     13.5570  [ 89]
 X_POSIX       0  write       25    103079215104     67108864     13.6185     13.7405  [ 89]
 X_POSIX       0  write       26    109521666048     67108864     13.8317     13.9178  [ 89]
 X_POSIX       0  write       27    115964116992     67108864     14.6397     14.7690  [ 89]
 X_POSIX       0  write       28    122406567936     67108864     14.8301     14.9815  [ 89]
 X_POSIX       0  write       29    128849018880     67108864     15.4748     15.5712  [ 89]
 X_POSIX       0  write       30    135291469824     67108864     16.1100     16.2664  [ 89]
 X_POSIX       0  write       31    141733920768     67108864     16.3292     16.4158  [ 89]
 X_POSIX       0  write       32    148176371712     67108864     16.8982     17.0361  [ 89]
 X_POSIX       0  write       33    154618822656     67108864     17.3361     17.4264  [ 89]
 X_POSIX       0  write       34    161061273600     67108864     17.5660     17.7171  [ 89]
 X_POSIX       0  write       35    167503724544     67108864     17.7650     17.8652  [ 89]
 X_POSIX       0  write       36    173946175488     67108864     18.4331     18.5578  [ 89]
 X_POSIX       0  write       37    180388626432     67108864     19.0385     19.1403  [ 89]
 X_POSIX       0  write       38    186831077376     67108864     19.4449     19.5328  [ 89]
 X_POSIX       0  write       39    193273528320     67108864     20.1486     20.2287  [ 89]
 X_POSIX       0  write       40               0           96     22.3230     22.3239  [ 89]
 X_POSIX       0  write       41              96           40     22.3239     22.3239  [ 89]
 X_POSIX       0  write       42             136          544     22.3239     22.3240  [ 89]
 X_POSIX       0  write       43             680          120     22.3240     22.3240  [ 89]
 X_POSIX       0  write       44             800           40     22.3240     22.3240  [ 89]
 X_POSIX       0  write       45             840          544     22.3240     22.3240  [ 89]
 X_POSIX       0  write       46            1384          120     22.3240     22.3240  [ 89]
 X_POSIX       0  write       47            1504          328     22.3240     22.3241  [ 89]
 X_POSIX       0  write       48            1832          160     22.3241     22.3241  [ 89]
