# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.777
# uid: 76535
# jobid: 11560530
# start_time: 1523510901
# start_time_asci: Wed Apr 11 22:28:21 2018
# end_time: 1523510936
# end_time_asci: Wed Apr 11 22:28:56 2018
# nprocs: 512
# run time: 36
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 564 bytes (compressed)
# record table: 353 bytes (compressed)
# POSIX module: 37886 bytes (compressed), ver=3
# MPI-IO module: 59358 bytes (compressed), ver=2
# LUSTRE module: 142263 bytes (compressed), ver=1
# STDIO module: 37658 bytes (compressed), ver=1
# DXT_POSIX module: 64887 bytes (compressed), ver=1
# DXT_MPIIO module: 58439 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_RWFNTo_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00534
# DXT, write_count: 91, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 231 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 93 101 109 75 23 99 117 167 49 185 115 7 135 3 57 95 43 27 191 1 163 51 15 153 187 55 151 239 79 25 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        76832     11.7210     11.7218  [231]
 X_POSIX       0  write        1           83200        10976     11.7251     11.7252  [231]
 X_POSIX       0  write        2      5176904672        21960     11.7618     11.7624  [241]
 X_POSIX       0  write        3           96224     67012640     12.1079     12.2430  [231]
 X_POSIX       0  write        4      5176928680      1277332     12.2761     12.3210  [241]
 X_POSIX       0  write        5      5178206012       182476     12.3211     12.3213  [241]
 X_POSIX       0  write        6     23055003784       364960     12.3249     12.3585  [ 79]
 X_POSIX       0  write        7      6442450944     67108864     12.6024     12.7977  [231]
 X_POSIX       0  write        8     12884901888     67108864     13.0284     13.2062  [231]
 X_POSIX       0  write        9     19327352832     67108864     13.3592     13.4998  [231]
 X_POSIX       0  write       10     23055368744     13157480     13.6971     13.8821  [ 79]
 X_POSIX       0  write       11     23068526224      1879640     13.8821     13.8842  [ 79]
 X_POSIX       0  write       12    314830664168      3759288     13.9183     14.0182  [216]
 X_POSIX       0  write       13     25769803776     67108864     14.7447     14.9203  [231]
 X_POSIX       0  write       14     32212254720     67108864     15.0140     15.1779  [231]
 X_POSIX       0  write       15     38654705664     67108864     15.3686     15.5698  [231]
 X_POSIX       0  write       16     45097156608     67108864     15.7690     15.9672  [231]
 X_POSIX       0  write       17     51539607552     67108864     16.1298     16.2475  [231]
 X_POSIX       0  write       18     57982058496     67108864     16.6331     16.7384  [231]
 X_POSIX       0  write       19     64424509440     67108864     16.8203     17.0034  [231]
 X_POSIX       0  write       20     70866960384     67108864     17.0794     17.2373  [231]
 X_POSIX       0  write       21     77309411328     67108864     17.3386     17.4745  [231]
 X_POSIX       0  write       22     83751862272     67108864     17.6541     17.8538  [231]
 X_POSIX       0  write       23     90194313216     67108864     18.0015     18.2015  [231]
 X_POSIX       0  write       24     96636764160     67108864     18.3102     18.4371  [231]
 X_POSIX       0  write       25    103079215104     67108864     18.5712     18.6672  [231]
 X_POSIX       0  write       26    109521666048     67108864     18.8283     18.9415  [231]
 X_POSIX       0  write       27    115964116992     67108864     19.1348     19.2471  [231]
 X_POSIX       0  write       28    122406567936     67108864     20.0639     20.2645  [231]
 X_POSIX       0  write       29    128849018880     67108864     20.4276     20.6301  [231]
 X_POSIX       0  write       30    135291469824     67108864     20.7705     20.9258  [231]
 X_POSIX       0  write       31    141733920768     67108864     21.0005     21.1055  [231]
 X_POSIX       0  write       32    148176371712     67108864     22.1883     22.3037  [231]
 X_POSIX       0  write       33    154618822656     67108864     22.3563     22.4517  [231]
 X_POSIX       0  write       34    161061273600     67108864     22.5595     22.6880  [231]
 X_POSIX       0  write       35    167503724544     67108864     22.8604     23.0548  [231]
 X_POSIX       0  write       36    173946175488     67108864     23.9051     23.9929  [231]
 X_POSIX       0  write       37    180388626432     67108864     24.0269     24.1124  [231]
 X_POSIX       0  write       38    186831077376     67108864     24.2668     24.3717  [231]
 X_POSIX       0  write       39    193273528320     67108864     24.4230     24.5109  [231]
 X_POSIX       0  write       40    199715979264     67108864     24.7627     24.8662  [231]
 X_POSIX       0  write       41    206158430208     67108864     25.3858     25.5369  [231]
 X_POSIX       0  write       42    212600881152     67108864     25.7034     25.7908  [231]
 X_POSIX       0  write       43    219043332096     67108864     25.9703     26.0597  [231]
 X_POSIX       0  write       44    225485783040     67108864     26.2571     26.3801  [231]
 X_POSIX       0  write       45    231928233984     67108864     27.3428     27.4219  [231]
 X_POSIX       0  write       46    238370684928     67108864     27.4425     27.5291  [231]
 X_POSIX       0  write       47    244813135872     67108864     27.7022     27.8636  [231]
 X_POSIX       0  write       48    251255586816     67108864     30.6650     30.8118  [231]
 X_POSIX       0  write       49    257698037760     67108864     31.0189     31.1926  [231]
