# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.666
# uid: 76535
# jobid: 11560098
# start_time: 1523513465
# start_time_asci: Wed Apr 11 23:11:05 2018
# end_time: 1523513493
# end_time_asci: Wed Apr 11 23:11:33 2018
# nprocs: 1024
# run time: 29
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 565 bytes (compressed)
# record table: 510 bytes (compressed)
# POSIX module: 70602 bytes (compressed), ver=3
# MPI-IO module: 121778 bytes (compressed), ver=2
# LUSTRE module: 284569 bytes (compressed), ver=1
# STDIO module: 76854 bytes (compressed), ver=1
# DXT_POSIX module: 44997 bytes (compressed), ver=1
# DXT_MPIIO module: 122717 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_Q07hsV_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00443
# DXT, write_count: 73, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50 166 56 26 192 180 178 104 170 124 42 122 152 130 70 100 160 88 247 243 227 219 215 177 233 221 223
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        48384     10.1543     10.1550  [ 58]
 X_POSIX       0  write        1           54752         6912     10.1604     10.1604  [ 58]
 X_POSIX       0  write        2      3260094688        13832     10.1628     10.1631  [ 82]
 X_POSIX       0  write        3           63712     67045152     10.7128     10.7986  [ 58]
 X_POSIX       0  write        4      3260110568       804384     10.8438     11.0024  [ 82]
 X_POSIX       0  write        5      3260914952       114912     11.0025     11.0026  [ 82]
 X_POSIX       0  write        6     14518608360       229832     11.0051     11.0270  [ 92]
 X_POSIX       0  write        7      6442450944     67108864     11.6275     11.7155  [ 58]
 X_POSIX       0  write        8     12884901888     67108864     12.1656     12.2494  [ 58]
 X_POSIX       0  write        9     14518838192      8285760     12.4539     12.5516  [ 92]
 X_POSIX       0  write       10     14527123952      1183680     12.5517     12.5531  [ 92]
 X_POSIX       0  write       11    198260715952      2367368     12.5755     12.6367  [180]
 X_POSIX       0  write       12     19327352832     67108864     13.1130     13.2288  [ 58]
 X_POSIX       0  write       13     25769803776     67108864     13.3343     13.4111  [ 58]
 X_POSIX       0  write       14     32212254720     67108864     14.1828     14.3149  [ 58]
 X_POSIX       0  write       15     38654705664     67108864     14.3842     14.5083  [ 58]
 X_POSIX       0  write       16     45097156608     67108864     15.7741     15.8746  [ 58]
 X_POSIX       0  write       17     51539607552     67108864     16.0013     16.1095  [ 58]
 X_POSIX       0  write       18     57982058496     67108864     16.2800     16.4021  [ 58]
 X_POSIX       0  write       19     64424509440     67108864     16.6594     16.7532  [ 58]
 X_POSIX       0  write       20     70866960384     67108864     16.9516     17.0463  [ 58]
 X_POSIX       0  write       21     77309411328     67108864     17.1159     17.2080  [ 58]
 X_POSIX       0  write       22     83751862272     67108864     17.7564     17.8552  [ 58]
 X_POSIX       0  write       23     90194313216     67108864     17.9788     18.0801  [ 58]
 X_POSIX       0  write       24     96636764160     67108864     18.8414     18.9335  [ 58]
 X_POSIX       0  write       25    103079215104     67108864     19.3409     19.4366  [ 58]
 X_POSIX       0  write       26    109521666048     67108864     19.4952     19.5961  [ 58]
 X_POSIX       0  write       27    115964116992     67108864     19.8971     19.9977  [ 58]
 X_POSIX       0  write       28    122406567936     67108864     20.3366     20.4255  [ 58]
 X_POSIX       0  write       29    128849018880     67108864     20.5854     20.6588  [ 58]
 X_POSIX       0  write       30    135291469824     67108864     20.8635     20.9689  [ 58]
 X_POSIX       0  write       31    141733920768     67108864     22.0609     22.1386  [ 58]
 X_POSIX       0  write       32    148176371712     67108864     22.3116     22.4051  [ 58]
 X_POSIX       0  write       33    154618822656     67108864     22.7210     22.8098  [ 58]
 X_POSIX       0  write       34    161061273600     67108864     22.9304     23.0491  [ 58]
 X_POSIX       0  write       35    167503724544     67108864     23.7061     23.8396  [ 58]
 X_POSIX       0  write       36    173946175488     67108864     23.9937     24.0911  [ 58]
 X_POSIX       0  write       37    180388626432     67108864     24.2213     24.3144  [ 58]
 X_POSIX       0  write       38    186831077376     67108864     24.5576     24.6704  [ 58]
 X_POSIX       0  write       39    193273528320     67108864     25.2500     25.3557  [ 58]
 X_POSIX       0  write       40               0           96     27.2976     27.3013  [ 58]
 X_POSIX       0  write       41              96           40     27.3013     27.3013  [ 58]
 X_POSIX       0  write       42             136          544     27.3013     27.3013  [ 58]
 X_POSIX       0  write       43             680          120     27.3013     27.3014  [ 58]
 X_POSIX       0  write       44             800           40     27.3014     27.3014  [ 58]
 X_POSIX       0  write       45             840          544     27.3014     27.3014  [ 58]
 X_POSIX       0  write       46            1384          120     27.3014     27.3014  [ 58]
 X_POSIX       0  write       47            1504          328     27.3014     27.3014  [ 58]
 X_POSIX       0  write       48            1832          160     27.3014     27.3015  [ 58]
