# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11557474
# start_time: 1523498613
# start_time_asci: Wed Apr 11 19:03:33 2018
# end_time: 1523498644
# end_time_asci: Wed Apr 11 19:04:04 2018
# nprocs: 128
# run time: 32
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 565 bytes (compressed)
# record table: 274 bytes (compressed)
# POSIX module: 14022 bytes (compressed), ver=3
# MPI-IO module: 14909 bytes (compressed), ver=2
# LUSTRE module: 31814 bytes (compressed), ver=1
# STDIO module: 9495 bytes (compressed), ver=1
# DXT_POSIX module: 29281 bytes (compressed), ver=1
# DXT_MPIIO module: 14964 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_IbAASX_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid01386
# DXT, write_count: 60, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      6.4724      6.4729  [220]
 X_POSIX       0  write        1           34368         4000      6.4730      6.4730  [220]
 X_POSIX       0  write        2      1886632416         8008      6.4735      6.4739  [190]
 X_POSIX       0  write        3           40416     67068448      7.1478      7.3192  [220]
 X_POSIX       0  write        4      1886642472       465500      7.3283      7.3289  [190]
 X_POSIX       0  write        5      1887107972        66500      7.3289      7.3290  [190]
 X_POSIX       0  write        6      8401978568       133008      7.3305      7.3312  [112]
 X_POSIX       0  write        7      6442450944     67108864      7.7027      8.6778  [220]
 X_POSIX       0  write        8      8402111576      4795000      9.0004      9.1210  [112]
 X_POSIX       0  write        9      8406906576       685000      9.1211      9.1219  [112]
 X_POSIX       0  write       10    114734217624      1370008      9.1348      9.1703  [168]
 X_POSIX       0  write       11     12884901888     67108864     10.1154     11.0394  [220]
 X_POSIX       0  write       12     19327352832     67108864     11.2775     12.2233  [220]
 X_POSIX       0  write       13     25769803776     67108864     12.5067     13.4254  [220]
 X_POSIX       0  write       14     32212254720     67108864     13.6507     14.6112  [220]
 X_POSIX       0  write       15     38654705664     67108864     14.8304     15.8113  [220]
 X_POSIX       0  write       16     45097156608     67108864     16.0393     16.9773  [220]
 X_POSIX       0  write       17     51539607552     67108864     17.1254     18.0615  [220]
 X_POSIX       0  write       18     57982058496     67108864     18.3213     19.1681  [220]
 X_POSIX       0  write       19     64424509440     67108864     19.6409     20.6763  [220]
 X_POSIX       0  write       20     70866960384     67108864     20.8773     21.8511  [220]
 X_POSIX       0  write       21     77309411328     67108864     22.0528     22.9626  [220]
 X_POSIX       0  write       22     83751862272     67108864     23.1729     24.1768  [220]
 X_POSIX       0  write       23     90194313216     67108864     24.3380     25.3769  [220]
 X_POSIX       0  write       24     96636764160     67108864     25.5546     26.5332  [220]
 X_POSIX       0  write       25    103079215104     67108864     26.7330     27.7879  [220]
 X_POSIX       0  write       26    109521666048     67108864     27.8344     28.8254  [220]
 X_POSIX       0  write       27               0           96     30.5195     30.5202  [220]
 X_POSIX       0  write       28              96           40     30.5202     30.5202  [220]
 X_POSIX       0  write       29             136          544     30.5202     30.5202  [220]
 X_POSIX       0  write       30             680          120     30.5202     30.5203  [220]
 X_POSIX       0  write       31             800           40     30.5203     30.5203  [220]
 X_POSIX       0  write       32             840          544     30.5203     30.5203  [220]
 X_POSIX       0  write       33            1384          120     30.5203     30.5203  [220]
 X_POSIX       0  write       34            1504          328     30.5203     30.5203  [220]
 X_POSIX       0  write       35            1832          160     30.5203     30.5204  [220]
 X_POSIX       0  write       36            1992          560     30.5204     30.5204  [220]
 X_POSIX       0  write       37            2552           40     30.5204     30.5204  [220]
 X_POSIX       0  write       38            2592          544     30.5204     30.5204  [220]
 X_POSIX       0  write       39            3136           32     30.5204     30.5204  [220]
 X_POSIX       0  write       40            3168           40     30.5204     30.5205  [220]
 X_POSIX       0  write       41            3208           48     30.5205     30.5205  [220]
 X_POSIX       0  write       42            3256          672     30.5205     30.5205  [220]
 X_POSIX       0  write       43            3928          392     30.5205     30.5881  [220]
 X_POSIX       0  write       44           32320           80     30.5881     30.5882  [220]
 X_POSIX       0  write       45           32400          328     30.5882     30.5882  [220]
 X_POSIX       0  write       46           32728          272     30.5882     30.5882  [220]
 X_POSIX       0  write       47           33000           40     30.5882     30.5882  [220]
 X_POSIX       0  write       48           33040          544     30.5882     30.5882  [220]
 X_POSIX       0  write       49           33584          120     30.5882     30.5883  [220]
 X_POSIX       0  write       50           33704          632     30.5883     30.5883  [220]
 X_POSIX       0  write       51           38368          272     30.5883     30.5883  [220]
 X_POSIX       0  write       52           38640          272     30.5883     30.5883  [220]
