# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/s20/iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.171030 -i /global/cscratch1/sd/dhkoo/s20/inputs.r888.555
# uid: 76535
# jobid: 11560096
# start_time: 1523513211
# start_time_asci: Wed Apr 11 23:06:51 2018
# end_time: 1523513235
# end_time_asci: Wed Apr 11 23:07:15 2018
# nprocs: 2048
# run time: 25
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 564 bytes (compressed)
# record table: 750 bytes (compressed)
# POSIX module: 135918 bytes (compressed), ver=3
# MPI-IO module: 231513 bytes (compressed), ver=2
# LUSTRE module: 503058 bytes (compressed), ver=1
# STDIO module: 151781 bytes (compressed), ver=1
# DXT_POSIX module: 28509 bytes (compressed), ver=1
# DXT_MPIIO module: 253130 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_9RJa7o_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5892279968651459672, file_name: /global/cscratch1/sd/dhkoo/s20/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00566
# DXT, write_count: 60, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 239 79 25 137 47 217 17 39 59 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      9.4368      9.4385  [239]
 X_POSIX       0  write        1           34368         4000      9.5658      9.5659  [239]
 X_POSIX       0  write        2      1886632416         8008     10.1967     10.1972  [  2]
 X_POSIX       0  write        3           40416     67068448     13.6542     13.7250  [239]
 X_POSIX       0  write        4      1886642472       465500     14.1783     14.3257  [  2]
 X_POSIX       0  write        5      1887107972        66500     14.3258     14.3259  [  2]
 X_POSIX       0  write        6      8401978568       133008     14.3274     14.3285  [216]
 X_POSIX       0  write        7      6442450944     67108864     14.8368     14.9163  [239]
 X_POSIX       0  write        8      8402111576      4795000     15.1371     15.2054  [216]
 X_POSIX       0  write        9      8406906576       685000     15.2055     15.2063  [216]
 X_POSIX       0  write       10    114734217624      1370008     15.2189     15.2452  [182]
 X_POSIX       0  write       11     12884901888     67108864     15.5263     15.6108  [239]
 X_POSIX       0  write       12     19327352832     67108864     15.7520     15.8462  [239]
 X_POSIX       0  write       13     25769803776     67108864     16.0646     16.1752  [239]
 X_POSIX       0  write       14     32212254720     67108864     16.2182     16.3003  [239]
 X_POSIX       0  write       15     38654705664     67108864     16.6283     16.7342  [239]
 X_POSIX       0  write       16     45097156608     67108864     17.3946     17.5096  [239]
 X_POSIX       0  write       17     51539607552     67108864     17.8736     17.9548  [239]
 X_POSIX       0  write       18     57982058496     67108864     18.0723     18.1545  [239]
 X_POSIX       0  write       19     64424509440     67108864     18.2896     18.3679  [239]
 X_POSIX       0  write       20     70866960384     67108864     18.5029     18.5826  [239]
 X_POSIX       0  write       21     77309411328     67108864     19.0812     19.1568  [239]
 X_POSIX       0  write       22     83751862272     67108864     19.2993     19.4083  [239]
 X_POSIX       0  write       23     90194313216     67108864     20.1570     20.2378  [239]
 X_POSIX       0  write       24     96636764160     67108864     20.3686     20.4549  [239]
 X_POSIX       0  write       25    103079215104     67108864     20.9878     21.0711  [239]
 X_POSIX       0  write       26    109521666048     67108864     21.2419     21.3299  [239]
 X_POSIX       0  write       27               0           96     22.5938     22.5987  [239]
 X_POSIX       0  write       28              96           40     22.5987     22.5987  [239]
 X_POSIX       0  write       29             136          544     22.5987     22.5987  [239]
 X_POSIX       0  write       30             680          120     22.5987     22.5988  [239]
 X_POSIX       0  write       31             800           40     22.5988     22.5988  [239]
 X_POSIX       0  write       32             840          544     22.5988     22.5988  [239]
 X_POSIX       0  write       33            1384          120     22.5988     22.5988  [239]
 X_POSIX       0  write       34            1504          328     22.5988     22.5988  [239]
 X_POSIX       0  write       35            1832          160     22.5988     22.5989  [239]
 X_POSIX       0  write       36            1992          560     22.5989     22.5989  [239]
 X_POSIX       0  write       37            2552           40     22.5989     22.5989  [239]
 X_POSIX       0  write       38            2592          544     22.5989     22.5989  [239]
 X_POSIX       0  write       39            3136           32     22.5989     22.5989  [239]
 X_POSIX       0  write       40            3168           40     22.5989     22.5990  [239]
 X_POSIX       0  write       41            3208           48     22.5990     22.5990  [239]
 X_POSIX       0  write       42            3256          672     22.5990     22.5990  [239]
 X_POSIX       0  write       43            3928          392     22.5990     22.5990  [239]
 X_POSIX       0  write       44           32320           80     22.5990     22.5990  [239]
 X_POSIX       0  write       45           32400          328     22.5990     22.5991  [239]
 X_POSIX       0  write       46           32728          272     22.5991     22.5991  [239]
 X_POSIX       0  write       47           33000           40     22.5991     22.5991  [239]
 X_POSIX       0  write       48           33040          544     22.5991     22.5991  [239]
 X_POSIX       0  write       49           33584          120     22.5991     22.5991  [239]
 X_POSIX       0  write       50           33704          632     22.5991     22.5992  [239]
 X_POSIX       0  write       51           38368          272     22.5992     22.5992  [239]
 X_POSIX       0  write       52           38640          272     22.5992     22.5992  [239]
