# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/husung/vpicio_uni/vpicio_uni /global/cscratch1/sd/husung/vpic-runs/vtest01.h5 80
# uid: 76505
# jobid: 11545170
# start_time: 1523455543
# start_time_asci: Wed Apr 11 07:05:43 2018
# end_time: 1523455629
# end_time_asci: Wed Apr 11 07:07:09 2018
# nprocs: 128
# run time: 87
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 519 bytes (compressed)
# record table: 112 bytes (compressed)
# POSIX module: 15583 bytes (compressed), ver=3
# MPI-IO module: 12530 bytes (compressed), ver=2
# LUSTRE module: 36456 bytes (compressed), ver=1
# STDIO module: 3138 bytes (compressed), ver=1
# DXT_POSIX module: 128740 bytes (compressed), ver=1
# DXT_MPIIO module: 19779 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_6m1v7u_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 2246639182210371270, file_name: /global/cscratch1/sd/husung/vpic-runs/vtest01.h5
# DXT, rank: 0, hostname: nid02029
# DXT, write_count: 92, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 171 69 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50 166 56
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            2184     33552248     10.7169     11.2758  [171]
 X_POSIX       0  write        1      4294967296     33554432     11.3422     11.9913  [171]
 X_POSIX       0  write        2      8589934592     33554432     12.1567     12.8853  [171]
 X_POSIX       0  write        3     12884901888     33554432     13.2676     13.8532  [171]
 X_POSIX       0  write        4     17179869184     33554432     14.2752     14.9591  [171]
 X_POSIX       0  write        5     21474836480     33554432     15.1547     15.8908  [171]
 X_POSIX       0  write        6     25769803776     33554432     15.9165     16.7007  [171]
 X_POSIX       0  write        7     30064771072     33554432     16.7904     17.6456  [171]
 X_POSIX       0  write        8     34359738368     33554432     17.6598     18.5129  [171]
 X_POSIX       0  write        9     38654705664     33554432     18.5278     19.2495  [171]
 X_POSIX       0  write       10     42949672960         2184     19.2495     19.2496  [171]
 X_POSIX       0  write       11     42949677192     33550200     19.4863     20.1978  [171]
 X_POSIX       0  write       12     47244640256     33554432     20.2434     20.9648  [171]
 X_POSIX       0  write       13     51539607552     33554432     21.0006     21.7434  [171]
 X_POSIX       0  write       14     55834574848     33554432     22.4249     23.1785  [171]
 X_POSIX       0  write       15     60129542144     33554432     23.2565     24.0084  [171]
 X_POSIX       0  write       16     64424509440     33554432     24.1563     25.0022  [171]
 X_POSIX       0  write       17     68719476736     33554432     25.0322     25.8562  [171]
 X_POSIX       0  write       18     73014444032     33554432     25.8637     26.7313  [171]
 X_POSIX       0  write       19     77309411328     33554432     26.7552     27.6018  [171]
 X_POSIX       0  write       20     81604378624     33554432     27.6091     28.2515  [171]
 X_POSIX       0  write       21     85899345920         4232     28.2516     28.2517  [171]
 X_POSIX       0  write       22     85899350152     33550200     28.3757     29.0855  [171]
 X_POSIX       0  write       23     90194313216     33554432     29.1404     29.8311  [171]
 X_POSIX       0  write       24     94489280512     33554432     29.8643     30.5652  [171]
 X_POSIX       0  write       25     98784247808     33554432     30.8548     31.5978  [171]
 X_POSIX       0  write       26    103079215104     33554432     32.0768     32.8371  [171]
 X_POSIX       0  write       27    107374182400     33554432     32.9882     33.8096  [171]
 X_POSIX       0  write       28    111669149696     33554432     33.8196     34.6381  [171]
 X_POSIX       0  write       29    115964116992     33554432     34.6487     35.4800  [171]
 X_POSIX       0  write       30    120259084288     33554432     35.5101     36.3846  [171]
 X_POSIX       0  write       31    124554051584     33554432     36.3992     37.0809  [171]
 X_POSIX       0  write       32    128849018880         4232     37.0809     37.0810  [171]
 X_POSIX       0  write       33    128849023112     33550200     37.2340     37.9700  [171]
 X_POSIX       0  write       34    133143986176     33554432     38.0252     38.7452  [171]
 X_POSIX       0  write       35    137438953472     33554432     38.7797     39.5487  [171]
 X_POSIX       0  write       36    141733920768     33554432     40.1428     40.8232  [171]
 X_POSIX       0  write       37    146028888064     33554432     41.0314     41.6760  [171]
 X_POSIX       0  write       38    150323855360     33554432     41.8906     42.7782  [171]
 X_POSIX       0  write       39    154618822656     33554432     42.7890     43.6586  [171]
 X_POSIX       0  write       40    158913789952     33554432     43.6646     44.5386  [171]
 X_POSIX       0  write       41    163208757248     33554432     44.5509     45.4625  [171]
 X_POSIX       0  write       42    167503724544     33554432     45.4697     46.0876  [171]
 X_POSIX       0  write       43    171798691840         4232     46.0877     46.0878  [171]
 X_POSIX       0  write       44    171798696072     33550200     46.3314     47.2199  [171]
 X_POSIX       0  write       45    176093659136     33554432     47.2744     48.0620  [171]
 X_POSIX       0  write       46    180388626432     33554432     48.1088     48.9874  [171]
 X_POSIX       0  write       47    184683593728     33554432     49.1616     49.8020  [171]
 X_POSIX       0  write       48    188978561024     33554432     50.0485     50.9021  [171]
 X_POSIX       0  write       49    193273528320     33554432     51.0021     51.9016  [171]
 X_POSIX       0  write       50    197568495616     33554432     51.9362     52.8418  [171]
