# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/husung/vpicio_uni/vpicio_uni /global/cscratch1/sd/husung/vpic-runs/vtest01.h5 80
# uid: 76505
# jobid: 11543539
# start_time: 1523445367
# start_time_asci: Wed Apr 11 04:16:07 2018
# end_time: 1523445446
# end_time_asci: Wed Apr 11 04:17:26 2018
# nprocs: 128
# run time: 80
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 524 bytes (compressed)
# record table: 112 bytes (compressed)
# POSIX module: 11741 bytes (compressed), ver=3
# MPI-IO module: 12572 bytes (compressed), ver=2
# LUSTRE module: 22927 bytes (compressed), ver=1
# STDIO module: 3138 bytes (compressed), ver=1
# DXT_POSIX module: 117886 bytes (compressed), ver=1
# DXT_MPIIO module: 21058 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_OJGttt_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 2246639182210371270, file_name: /global/cscratch1/sd/husung/vpic-runs/vtest01.h5
# DXT, rank: 0, hostname: nid01367
# DXT, write_count: 172, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 64
# DXT, Lustre OST obdidx: 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50 166 56 26 192 180 178 104 170 124 42 122 152 130 70 100 160 88 247 243 227 219 215 177 233 221 223 207 89 229 91 213 237 199 205 245 209 193 155 189 123 149 211 169
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            2184     33552248     13.3040     13.5196  [106]
 X_POSIX       0  write        1      2147483648     33554432     13.5383     13.6871  [106]
 X_POSIX       0  write        2      4294967296     33554432     14.0549     14.3442  [106]
 X_POSIX       0  write        3      6442450944     33554432     14.3627     14.6621  [106]
 X_POSIX       0  write        4      8589934592     33554432     14.6826     14.9437  [106]
 X_POSIX       0  write        5     10737418240     33554432     15.0896     15.3872  [106]
 X_POSIX       0  write        6     12884901888     33554432     15.4105     15.7628  [106]
 X_POSIX       0  write        7     15032385536     33554432     16.0029     16.3178  [106]
 X_POSIX       0  write        8     17179869184     33554432     16.3449     16.6900  [106]
 X_POSIX       0  write        9     19327352832     33554432     16.6979     17.0625  [106]
 X_POSIX       0  write       10     21474836480     33554432     17.0754     17.4277  [106]
 X_POSIX       0  write       11     23622320128     33554432     17.4372     17.7830  [106]
 X_POSIX       0  write       12     25769803776     33554432     17.7953     18.1579  [106]
 X_POSIX       0  write       13     27917287424     33554432     18.1755     18.4751  [106]
 X_POSIX       0  write       14     30064771072     33554432     18.4806     18.7333  [106]
 X_POSIX       0  write       15     32212254720     33554432     18.7420     19.0386  [106]
 X_POSIX       0  write       16     34359738368     33554432     19.2551     19.6029  [106]
 X_POSIX       0  write       17     36507222016     33554432     19.6277     19.9610  [106]
 X_POSIX       0  write       18     38654705664     33554432     19.9853     20.3224  [106]
 X_POSIX       0  write       19     40802189312     33554432     20.3348     20.4932  [106]
 X_POSIX       0  write       20     42949672960         2184     20.4932     20.4933  [106]
 X_POSIX       0  write       21     42949677192     33550200     20.8572     21.0077  [106]
 X_POSIX       0  write       22     45097156608     33554432     21.0957     21.2580  [106]
 X_POSIX       0  write       23     47244640256     33554432     21.5458     21.9316  [106]
 X_POSIX       0  write       24     49392123904     33554432     21.9523     22.2899  [106]
 X_POSIX       0  write       25     51539607552     33554432     22.3108     22.5225  [106]
 X_POSIX       0  write       26     53687091200     33554432     22.7298     22.9015  [106]
 X_POSIX       0  write       27     55834574848     33554432     23.0841     23.3059  [106]
 X_POSIX       0  write       28     57982058496     33554432     23.4148     23.7601  [106]
 X_POSIX       0  write       29     60129542144     33554432     23.7661     24.1242  [106]
 X_POSIX       0  write       30     62277025792     33554432     24.1358     24.4729  [106]
 X_POSIX       0  write       31     64424509440     33554432     24.4952     24.8180  [106]
 X_POSIX       0  write       32     66571993088     33554432     24.8386     25.1729  [106]
 X_POSIX       0  write       33     68719476736     33554432     25.1955     25.5332  [106]
 X_POSIX       0  write       34     70866960384     33554432     25.5541     25.9003  [106]
 X_POSIX       0  write       35     73014444032     33554432     25.9163     26.2780  [106]
 X_POSIX       0  write       36     75161927680     33554432     26.2865     26.6512  [106]
 X_POSIX       0  write       37     77309411328     33554432     26.6608     27.0178  [106]
 X_POSIX       0  write       38     79456894976     33554432     27.0348     27.3850  [106]
 X_POSIX       0  write       39     81604378624     33554432     27.4000     27.7446  [106]
 X_POSIX       0  write       40     83751862272     33554432     27.7509     28.0295  [106]
 X_POSIX       0  write       41     85899345920         4232     28.0295     28.0297  [106]
 X_POSIX       0  write       42     85899350152     33550200     28.2042     28.4946  [106]
 X_POSIX       0  write       43     88046829568     33554432     28.5329     28.8254  [106]
 X_POSIX       0  write       44     90194313216     33554432     28.9422     29.2794  [106]
 X_POSIX       0  write       45     92341796864     33554432     29.2987     29.6737  [106]
 X_POSIX       0  write       46     94489280512     33554432     29.6942     29.9702  [106]
