# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/husung/vpicio_uni/vpicio_uni /global/cscratch1/sd/husung/vpic-runs/vtest01.h5 80
# uid: 76505
# jobid: 11544307
# start_time: 1523450745
# start_time_asci: Wed Apr 11 05:45:45 2018
# end_time: 1523450824
# end_time_asci: Wed Apr 11 05:47:04 2018
# nprocs: 128
# run time: 80
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 524 bytes (compressed)
# record table: 112 bytes (compressed)
# POSIX module: 13562 bytes (compressed), ver=3
# MPI-IO module: 12605 bytes (compressed), ver=2
# LUSTRE module: 29158 bytes (compressed), ver=1
# STDIO module: 3137 bytes (compressed), ver=1
# DXT_POSIX module: 127066 bytes (compressed), ver=1
# DXT_MPIIO module: 21272 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_D3YMcz_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 2246639182210371270, file_name: /global/cscratch1/sd/husung/vpic-runs/vtest01.h5
# DXT, rank: 0, hostname: nid00616
# DXT, write_count: 111, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 33554432, Lustre stripe_count: 96
# DXT, Lustre OST obdidx: 173 37 203 125 131 87 19 195 65 45 139 105 241 83 159 73 197 2 216 234 218 222 246 220 226 232 244 206 212 236 228 240 242 60 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156 62 72 150 84 144 94 128 38 202 8 148 134 158 186
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            2184     33552248     10.0406     10.4983  [173]
 X_POSIX       0  write        1      3221225472     33554432     10.5313     11.0344  [173]
 X_POSIX       0  write        2      6442450944     33554432     11.0642     11.5626  [173]
 X_POSIX       0  write        3      9663676416     33554432     11.5806     12.1076  [173]
 X_POSIX       0  write        4     12884901888     33554432     12.4373     12.9616  [173]
 X_POSIX       0  write        5     16106127360     33554432     13.0544     13.5001  [173]
 X_POSIX       0  write        6     19327352832     33554432     13.5070     14.0610  [173]
 X_POSIX       0  write        7     22548578304     33554432     14.4533     14.9474  [173]
 X_POSIX       0  write        8     25769803776     33554432     15.0077     15.6107  [173]
 X_POSIX       0  write        9     28991029248     33554432     15.6977     16.2070  [173]
 X_POSIX       0  write       10     32212254720     33554432     16.2419     16.8547  [173]
 X_POSIX       0  write       11     35433480192     33554432     16.8826     17.4983  [173]
 X_POSIX       0  write       12     38654705664     33554432     17.5036     17.9414  [173]
 X_POSIX       0  write       13     41875931136     33554432     17.9463     18.0952  [173]
 X_POSIX       0  write       14     45097156608     33554432     18.4770     18.8843  [173]
 X_POSIX       0  write       15     48318382080     33554432     18.9111     19.4154  [173]
 X_POSIX       0  write       16     51539607552     33554432     19.4365     19.9174  [173]
 X_POSIX       0  write       17     54760833024     33554432     19.9692     20.4992  [173]
 X_POSIX       0  write       18     57982058496     33554432     20.9423     21.3553  [173]
 X_POSIX       0  write       19     61203283968     33554432     21.3697     21.9127  [173]
 X_POSIX       0  write       20     64424509440     33554432     21.9996     22.4468  [173]
 X_POSIX       0  write       21     67645734912     33554432     22.7485     23.1552  [173]
 X_POSIX       0  write       22     70866960384     33554432     23.2499     23.8167  [173]
 X_POSIX       0  write       23     74088185856     33554432     23.8606     24.2844  [173]
 X_POSIX       0  write       24     77309411328     33554432     24.4062     24.7865  [173]
 X_POSIX       0  write       25     80530636800     33554432     24.8853     25.4582  [173]
 X_POSIX       0  write       26     83751862272     33554432     25.4748     26.0601  [173]
 X_POSIX       0  write       27     86973087744     33554432     26.6537     27.1056  [173]
 X_POSIX       0  write       28     90194313216     33554432     27.1255     27.6091  [173]
 X_POSIX       0  write       29     93415538688     33554432     27.6267     28.1227  [173]
 X_POSIX       0  write       30     96636764160     33554432     28.2394     28.7903  [173]
 X_POSIX       0  write       31     99857989632     33554432     28.7962     28.9611  [173]
 X_POSIX       0  write       32    103079215104     33554432     29.2104     29.7884  [173]
 X_POSIX       0  write       33    106300440576     33554432     29.7956     30.3803  [173]
 X_POSIX       0  write       34    109521666048     33554432     30.7427     31.1501  [173]
 X_POSIX       0  write       35    112742891520     33554432     31.2196     31.7409  [173]
 X_POSIX       0  write       36    115964116992     33554432     31.7460     32.3480  [173]
 X_POSIX       0  write       37    119185342464     33554432     32.5955     33.1303  [173]
 X_POSIX       0  write       38    122406567936     33554432     33.1470     33.7187  [173]
 X_POSIX       0  write       39    125627793408     33554432     33.7287     34.2836  [173]
 X_POSIX       0  write       40    128849018880         4232     34.2836     34.2838  [173]
 X_POSIX       0  write       41    128849023112     33550200     34.6506     35.0314  [173]
 X_POSIX       0  write       42    132070244352     33554432     35.0698     35.5168  [173]
 X_POSIX       0  write       43    135291469824     33554432     35.6149     36.1226  [173]
 X_POSIX       0  write       44    138512695296     33554432     36.1426     36.7107  [173]
 X_POSIX       0  write       45    141733920768     33554432     37.1940     37.7756  [173]
 X_POSIX       0  write       46    144955146240     33554432     37.7861     38.3349  [173]
 X_POSIX       0  write       47    148176371712     33554432     38.3413     38.9200  [173]
 X_POSIX       0  write       48    151397597184     33554432     38.9501     39.3935  [173]
