# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/dhkoo/vpicio_uni/vpicio_uni /global/cscratch1/sd/dhkoo/vpic-runs/vtest01.h5 80
# uid: 76535
# jobid: 11242576
# start_time: 1522287886
# start_time_asci: Wed Mar 28 18:44:46 2018
# end_time: 1522287982
# end_time_asci: Wed Mar 28 18:46:22 2018
# nprocs: 512
# run time: 97
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 524 bytes (compressed)
# record table: 111 bytes (compressed)
# POSIX module: 40026 bytes (compressed), ver=3
# MPI-IO module: 50486 bytes (compressed), ver=2
# LUSTRE module: 149919 bytes (compressed), ver=1
# STDIO module: 12354 bytes (compressed), ver=1
# DXT_POSIX module: 239807 bytes (compressed), ver=1
# DXT_MPIIO module: 86769 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle6.0up04.20180322080737	squashfs
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_LOrAYR_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	squashfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	squashfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/var/spool/cron	overlay
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/cvmfs_nfs	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/java	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 17576835753493996602, file_name: /global/cscratch1/sd/dhkoo/vpic-runs/vtest01.h5
# DXT, rank: 0, hostname: nid12672
# DXT, write_count: 172, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 67108864, Lustre stripe_count: 128
# DXT, Lustre OST obdidx: 158 186 98 46 138 154 168 108 82 106 80 0 136 210 118 4 10 40 14 184 196 172 18 12 174 116 162 64 120 50 166 56 26 192 180 178 104 170 124 42 122 152 130 70 100 160 88 247 243 227 219 215 177 233 221 223 207 89 229 91 213 237 199 205 245 209 193 155 189 123 149 211 169 235 145 201 81 157 21 97 165 175 179 143 161 31 53 41 181 231 225 183 67 129 119 85 71 77 5 29 107 61 9 113 11 147 103 13 111 133 33 63 121 127 141 35 93 101 109 75 23 99 117 167 49 185 115 7
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            2184     67106680     11.3653     11.6910  [158]
 X_POSIX       0  write        1      8589934592     67108864     11.7288     11.8465  [158]
 X_POSIX       0  write        2     17179869184     67108864     12.5724     12.8314  [158]
 X_POSIX       0  write        3     25769803776     67108864     13.3402     13.7053  [158]
 X_POSIX       0  write        4     34359738368     67108864     13.8111     14.0509  [158]
 X_POSIX       0  write        5     42949672960     67108864     14.4731     14.6540  [158]
 X_POSIX       0  write        6     51539607552     67108864     14.6685     14.7754  [158]
 X_POSIX       0  write        7     60129542144     67108864     15.0750     15.2340  [158]
 X_POSIX       0  write        8     68719476736     67108864     15.5745     15.7558  [158]
 X_POSIX       0  write        9     77309411328     67108864     16.1674     16.4572  [158]
 X_POSIX       0  write       10     85899345920     67108864     16.8875     17.1472  [158]
 X_POSIX       0  write       11     94489280512     67108864     17.1614     17.4582  [158]
 X_POSIX       0  write       12    103079215104     67108864     17.4775     17.7477  [158]
 X_POSIX       0  write       13    111669149696     67108864     17.8891     18.1265  [158]
 X_POSIX       0  write       14    120259084288     67108864     18.2981     18.4895  [158]
 X_POSIX       0  write       15    128849018880     67108864     18.7918     18.9530  [158]
 X_POSIX       0  write       16    137438953472     67108864     19.1488     19.3552  [158]
 X_POSIX       0  write       17    146028888064     67108864     19.6592     19.8407  [158]
 X_POSIX       0  write       18    154618822656     67108864     20.0639     20.2061  [158]
 X_POSIX       0  write       19    163208757248     67108864     20.2785     20.3925  [158]
 X_POSIX       0  write       20    171798691840         2184     20.3926     20.3926  [158]
 X_POSIX       0  write       21    171798696072     67104632     22.0942     22.4333  [158]
 X_POSIX       0  write       22    180388626432     67108864     22.4733     22.6063  [158]
 X_POSIX       0  write       23    188978561024     67108864     23.0653     23.1970  [158]
 X_POSIX       0  write       24    197568495616     67108864     23.4881     23.5764  [158]
 X_POSIX       0  write       25    206158430208     67108864     24.0598     24.3043  [158]
 X_POSIX       0  write       26    214748364800     67108864     24.4282     24.7504  [158]
 X_POSIX       0  write       27    223338299392     67108864     25.0751     25.3942  [158]
 X_POSIX       0  write       28    231928233984     67108864     25.4056     25.7297  [158]
 X_POSIX       0  write       29    240518168576     67108864     25.7705     26.1466  [158]
 X_POSIX       0  write       30    249108103168     67108864     26.1682     26.5213  [158]
 X_POSIX       0  write       31    257698037760     67108864     26.5351     26.8425  [158]
 X_POSIX       0  write       32    266287972352     67108864     27.2437     27.3470  [158]
 X_POSIX       0  write       33    274877906944     67108864     27.4884     27.7963  [158]
 X_POSIX       0  write       34    283467841536     67108864     27.8940     28.0814  [158]
 X_POSIX       0  write       35    292057776128     67108864     28.1958     28.4709  [158]
 X_POSIX       0  write       36    300647710720     67108864     28.8166     29.0326  [158]
 X_POSIX       0  write       37    309237645312     67108864     29.3799     29.5870  [158]
 X_POSIX       0  write       38    317827579904     67108864     29.9188     30.2119  [158]
 X_POSIX       0  write       39    326417514496     67108864     30.5647     30.7052  [158]
 X_POSIX       0  write       40    335007449088     67108864     30.8348     30.9830  [158]
 X_POSIX       0  write       41    343597383680         4232     30.9830     30.9831  [158]
 X_POSIX       0  write       42    343597387912     67104632     32.3693     32.6895  [158]
 X_POSIX       0  write       43    352187318272     67108864     32.7273     32.8749  [158]
 X_POSIX       0  write       44    360777252864     67108864     33.4387     33.5418  [158]
 X_POSIX       0  write       45    369367187456     67108864     34.0631     34.1742  [158]
 X_POSIX       0  write       46    377957122048     67108864     34.5350     34.7591  [158]
 X_POSIX       0  write       47    386547056640     67108864     34.9424     35.2384  [158]
 X_POSIX       0  write       48    395136991232     67108864     35.4323     35.6624  [158]
 X_POSIX       0  write       49    403726925824     67108864     35.7310     36.0049  [158]
 X_POSIX       0  write       50    412316860416     67108864     36.1302     36.4207  [158]
